CertificationNO,Provider Name,State
47000,AR DEPT OF HEALTH-SECTION OF I,AR
47001,CHI ST VINCENT HEALTH AT HOME,AR
47004,AR METH MED CTR HH,AR
47006,CHI ST VINCENT HOT SPRINGS HEALTH AT HOME,AR
47008,SOUTHEAST ARKANSAS HOME HEALTH AGENCY,AR
47009,SPARKS HEALTH SYSTEM HOME HEALTH,AR
47010,AMEDISYS HOME HEALTH CARE OF ARKANSAS,AR
47011,MERCY HOME HEALTH,AR
47016,BAXTER COUNTY HOME HEALTH,AR
47020,NORTHWEST HOME HEALTH,AR
47021,SOUTH ARKANSAS HOME CARE,AR
47024,SPRING RIVER HOME HEALTH AGENCY,AR
47025,DOCTORS HOME CARE,AR
47028,ELITE HOME HEALTH,AR
47029,GENTIVA HEALTH SERVICES,AR
47030,AREA AGENCY ON AGING OF SE AR INC JEFFERSON CO,AR
47031,PIGGOTT COMMUNITY HOSPITAL HHA,AR
47032,ARKANSAS HOME HEALTH PROVIDERS-II,AR
47033,ST BERNARDS HOME CARE,AR
47034,VISITING NURSES AGENCY OF WESTERN ARKANSAS INC,AR
47035,WHITE COUNTY MEDICAL CENTER - SOUTH HOME HEALTH,AR
47038,GENTIVA HEALTH SERVICES,AR
47043,HOME HEALTH & HOSPICE SERV OF SALINE MEM HOSPITAL,AR
47044,EXTENDED FAMILY ENTERPRISES,AR
47046,NORTH ARKANSAS HOMECARE,AR
47048,CROSSRIDGE COMM HOSPITAL HOME HEALTH,AR
47052,UNITY HEALTH HARRIS HOME HEALTH,AR
47056,AMEDISYS HOME HEALTH,AR
47057,AMEDISYS HOME HEALTH OF SEARCY,AR
47070,INTREPID USA HEALTHCARE SERVICES,AR
47080,AMEDISYS HOME HEALTH,AR
47081,MAGNOLIA HOSPITAL HOME HEALTH AGENCY,AR
47082,DREW MEMORIAL HOSPITAL HOME HEALTH AGENCY,AR
47083,CONWAY REGIONAL HOMECARE SVCS,AR
47087,HHA OF N AR REGIONAL MED CTR,AR
47088,INTREPID USA HEALTHCARE SERVICES,AR
47090,BAPTIST HEALTH HOME HEALTH-LR,AR
47093,JEFFERSON HOMECARE,AR
47096,JOHN ED CHAMBERS MEMORIAL INC HHA,AR
47097,BAPTIST HEALTH HOME HEALTH - HEBER SPRINGS,AR
47099,CHI ST VINCENT HEALTH AT HOME,AR
47100,ELITE HOME HEALTH,AR
47102,WASHINGTON REG MED CTR HH,AR
47103,BAPTIST HEALTH HOME HEALTH NETWORK-HOT SPRINGS COU,AR
47104,CHICOT MEMORIAL MEDICAL CENTER HOME HEALTH AGENC,AR
47105,GENTIVA HEALTH SERVICES,AR
47108,AMEDISYS HOME HEALTH OF MOUNTAIN VIEW,AR
47109,ACMC FAMILY HOME HEALTH,AR
47110,MERCY HOME HEALTH,AR
47112,REGIONAL HOME CARE HELENA,AR
47114,JORDAN HEALTH SERVICES,AR
47115,NORTH ARKANSAS HOMECARE,AR
47116,HOME HEALTH PROFESSIONALS INC,AR
47117,NORTH METRO MEDICAL CENTER HOME HEALTH AGENCY,AR
47118,APPROVE HOME MEDICAL SERVICES,AR
47122,ARKANSAS HOME HEALTH PROVIDERS-WEST MEMPHIS,AR
47127,DELTA MEMORIAL HOSPITAL HHA,AR
47128,NORTHEAST ARKANSAS HOMECARE,AR
47133,ELITE HOME HEALTH,AR
47134,ELITE HOME HEALTH,AR
47135,HOME HEALTH PROFESSIONALS & HOSPICE,AR
47138,ELITE HOME HEALTH,AR
47139,LITTLE RIVER MEMORIAL HOSPITAL HOME HEALTH,AR
47140,BRADLEY COUNTY MEDICAL CENTER HOME HEALTH,AR
47145,ARKANSAS HOME HEALTH PROVIDERS-TRUMANN,AR
47147,ARKANSAS HOME HEALTH PROVIDERS-I,AR
47148,FIVE RIVERS MEDICAL CENTER HOME HEALTH,AR
47149,MERCY HOME HEALTH,AR
47151,ELITE HOME HEALTH,AR
47153,JOHNSON REGIONAL HOMECARE,AR
47156,VISITING NURSES AGENCY,AR
47157,VISITING NURSES AGENCY,AR
47158,VISITING NURSES AGENCY OF WESTERN ARKANSAS INC,AR
47162,VISITING NURSES AGENCY,AR
47167,OZARK HEALTH HOME CARE,AR
