CertificationNO,Provider Name,State
77001,STRATFORD VNA,CT
77003,VISITING NURSE & HEALTH SERVICES OF CONNECTICUT,CT
77005,HOME & COMMUNITY HEALTH SERVICES INC,CT
77006,VNA COMMUNITY HEALTHCARE INC,CT
77009,WESTBROOK VISITING NURSES & PUBLIC HEALTH,CT
77012,VNA OF SOUTH CENTRAL CT INC,CT
77015,VNA OF SOUTHEASTERN CT INC,CT
77020,BERLIN VISITING NURSE ASSOCIATION,CT
77028,VISITING NURSE SERVICES OF CT,CT
77038,VNA NORTHWEST INC,CT
77041,HARTFORD HEALTHCARE AT HOME,CT
77063,NEW MILFORD VNA INC,CT
77065,LEDYARD REGIONAL VISITING NURSE AGENCY,CT
77066,VNA OF RIDGEFIELD INC,CT
77074,VISITING NURSE & HOSPICE OF FAIRFIELD COUNTY INC,CT
77078,ORANGE VISITING NURSE ASSOCIATION,CT
77079,VISITING NURSES OF THE LOWER V,CT
77085,VNA HEALTH AT HOME INC,CT
77086,MIDDLESEX HOSPITAL HOMECARE,CT
77088,WESTERN CONNECTICUT HOME CARE INC,CT
77089,FOOTHILLS VN HOME CARE INC,CT
77097,DAY KIMBALL HOMECARE,CT
77112,SALISBURY VISITING NURSE ASSOC,CT
77113,BETHEL VNA INC,CT
77119,CT HOSPICE INC THE,CT
77120,MASONICARE PARTNERS HOME HEALTH AND HOSPICE INC,CT
77133,INTERIM HEALTHCARE,CT
77134,INTERIM HEALTHCARE OF HARTFORD,CT
77135,INTERIM HEALTHCARE OF EASTERN CT INC,CT
77136,AMEDISYS HOME HEALTH,CT
77143,HOME CARE PLUS INC,CT
77158,PATIENT CARE,CT
77159,MASONICARE HOME HEALTH & HOSPICE INC,CT
77162,KINDRED AT HOME,CT
77163,NEW ENGLAND HOME CARE INC,CT
77166,MCLEAN HOME CARE AND HOSPICE,CT
77172,REGIONAL HOSPICE AND HOME CARE OF WESTERN CT,CT
77173,FRANCISCAN HOME CARE,CT
77175,WILLCARE,CT
77176,FARMINGTON VALLEY VNA,CT
77177,CENTER FOR HOSPICE CARE SOUTHEAST CONNECTICUT INC,CT
77181,SHAMROCK VNA  HHA AGENCY INC,CT
77182,AVERY HEIGHTS HOME HEALTH AGENCY,CT
77187,STAFF MATES HOMECARE,CT
77191,NURSING SERVICES INC,CT
77198,BRISTOL HOSP HOME CARE AGENCY,CT
77199,PEDIATRIC SERVICES OF AMERICA,CT
77200,CONSTELLATION HOME CARE,CT
77205,FAMILY CARE VISITING NURSE & HOME CARE AGENCY,CT
77216,HEALTH AT HOME,CT
77218,KINDRED AT HOME,CT
77223,UTOPIA HOME CARE INC,CT
77224,WAVENY HOME HEALTHCARE,CT
77225,VISITING NURSE SERVICES INC OF SO CT,CT
77226,UNISON HOME CARE SERVICES,CT
77227,SEABURY HOME CARE,CT
77228,CONTINUUM HOME HEALTH INC,CT
77229,ALL ABOUT YOU HOME CARE SERVICES,CT
77232,EQUINOX HOME CARE LLC,CT
77233,UNICARE LLC,CT
77234,BAYADA HOME HEALTH CARE INC,CT
77237,LIFESPRINGS HOME CARE OF CT,CT
77239,EXCELLA HOME HEALTH AN ENCOMPASS COMPANY,CT
77240,ATHENA HOME HEALTH & HOSPICE,CT
77242,ADVANCED HOME HEALTH CARE AGENCY INC,CT
77243,BROOKDALE HOME HEALTH HARTFORD,CT
77244,MEDICAL MANAGEMENT PLUS LLC,CT
77245,SALUTE HOMECARE LLC,CT
77246,TOTALCARE HOMECARE,CT
77247,FRIEDMAN HOME CARE AND CHAIFEZ FAMILY HOSPICE,CT
77248,KEEPMEHOME,CT
77250,AMERICAN HOME HEALTH INC,CT
77251,ALL POINTE HOMECARE LLC,CT
77252,STERLING CARE HOME HEALTH SERVICES,CT
77253,DANIELCARE LLC,CT
77254,ATRINITY HOME HEALTH LLC,CT
77255,PRIMARY PREVENTION HOME CARE LLC,CT
77256,LIGHTHOUSE HOME HEALTH CARE LLC,CT
77257,COMPASSIONATE HOME CARE LLC,CT
77259,INFINITY HOMECARE SERVICES LLC,CT
77260,THERE FOR YOU HOME CARE SERVICES,CT
77261,COMPASSION N CARE NURSING,CT
77262,TOTALITY HOME HEALTH CARE AGENCY LLC,CT
77263,HARRIOTT HOME HEALTH SERVICES LLC,CT
77264,MASTERS IN HOME CARE LLC,CT
77265,HOPE HOME HEALTH AGENCY INC,CT
77266,HOME HEALTH SPECIALTY SERVICES INC,CT
77267,PREFERRED HOME CARE LLC,CT
77268,GLOBAL HORIZON HOME CARE,CT
77269,CARECO MEDICAL INC,CT
77270,TOUCHPOINTS AT HOME,CT
