CertificationNO,Provider Name,State
117000,VISITING NURSE HEALTH SYSTEM,GA
117002,ISLAND HEALTH CARE INC.,GA
117009,PUBLIC HEALTH HOME HEALTH INC,GA
117010,FLOYD HOMECARE,GA
117012,COMMUNITY HOME CARE,GA
117019,ST MARY'S HOME HEALTH SERVICES,GA
117021,CARESOUTH HOMECARE PROFESSIONALS,GA
117022,SUNCREST HOME HEALTH,GA
117023,CENTRAL GEORGIA HOME HEALTH,GA
117024,ARCHBOLD HOME HEALTH SERVICES,GA
117025,TRINITY HOME HEALTH,GA
117026,CENTRAL HOME HEALTH CARE AN AMEDISYS COMPANY,GA
117027,GENTIVA HEALTH SERVICES,GA
117028,NORTH GEORGIA HOME HEALTH AGENCY AN AMEDYSIS COMP,GA
117031,UNIVERSITY HOME HEALTH,GA
117032,WEST GEORGIA HOME CARE,GA
117033,GENTIVA HEALTH SERVICES,GA
117036,TUGALOO HOME HEALTH AGENCY AN AMEDISYS COMPANY,GA
117039,CENTRAL HH CARE AN AMEDISYS COMPANY,GA
117040,VNA OF SOUTHWEST GEORGIA INC,GA
117041,COOSA VALLEY HOME HEALTH AN AMEDISYS,GA
117044,COLQUITT REGIONAL HOME CARE,GA
117045,AMEDISYS HOME HEALTH OF GRIFFIN,GA
117046,VNA OF GREATER TIFT INC,GA
117050,CENTRAL HOME HEALTH CARE AN AMEDISYS COMPANY,GA
117053,THREE RIVERS HOME HEALTH SERVICES INC,GA
117054,AMICITA HOME HEALTH LLC,GA
117056,GENTIVA HEALTH SERVICES,GA
117058,GEORGIA HOME HEALTH SERVICES,GA
117062,HAMILTON HOME HEALTH,GA
117064,AMEDISYS NORTHWEST HOME HEALTH,GA
117065,AMEDISYS HOME HEALTH OF COVINGTON,GA
117067,INTERIM HEALTHCARE OF ATLANTA INC,GA
117068,UNIVERSITY HOME HEALTH (WAYNESBORO),GA
117069,CARESOUTH HOMECARE PROFESSIONALS,GA
117072,VNA OF TELFAIR CO INC,GA
117073,INTREPID USA HEALTHCARE SERVICES,GA
117074,ALTAMAHA HOMECARE INC,GA
117075,AMEDISYS HOME HEALTH,GA
117076,AMEDISYS HOME HEALTH,GA
117077,AMEDISYS HOME HEALTH,GA
117078,AMEDISYS HOME HEALTH,GA
117080,PRUITTHEALTH HOME HEALTH-CUMMING,GA
117081,AMEDISYS HOME HEALTH CARE,GA
117082,ST JOSEPH'S/ CANDLER HOME HEALTHCARE,GA
117083,STAFF BUILDERS HOME HEALTH AN AMEDISYS COMPANY,GA
117087,SUNCREST HOME HEALTH,GA
117088,ADVANTAGE HOME HEALTH,GA
117090,GENTIVA HEALTH SERVICES,GA
117091,TAYLOR HOME HEALTH CARE,GA
117092,PRUITTHEALTH HOME HEALTH-GRIFFIN,GA
117093,AMEDISYS HOME HEALTH OF MACON,GA
117095,APPALACHIAN HOME HEALTH CARE INC,GA
117096,GEORGIA HOME HEALTH,GA
117097,AMICITA HOME HEALTH LLC,GA
117100,PHOEBE HOME CARE,GA
117101,HCMC HOME CARE,GA
117102,WELLSTAR HOME HEALTH LLC,GA
117105,SUNCREST HOME HEALTH,GA
117106,GORDON HOME CARE,GA
117108,CSRA HOME HEALTH AGENCY COLUMBIA,GA
117111,BRIDGEWAY HOME HEALTH,GA
117113,PIEDMONT NEWTON HOME HEALTH,GA
117114,AMEDISYS HOME HEALTH OF VALDOSTA,GA
117118,PRUITTHEALTH HOME HEALTH-ATLANTA,GA
117121,MUSCOGEE HOME HEALTH AGENCY,GA
117123,THREE RIVERS HOME HEALTH SERVICES INC,GA
117125,ATHENS REGIONAL HOME HEALTH,GA
117126,MEDSIDE HOME HEALTH AGENCY,GA
117127,SUNCREST HOME HEALTH,GA
117128,PEDIATRIC SERVICES OF AMERICA,GA
117129,PRUITTHEALTH HOME HEALTH-GAINESVILLE,GA
117130,COMMUNITY HOME HEALTH AN AMEDISYS COMPANY,GA
117131,GUARDIAN HOME CARE LLC,GA
117132,GENTIVA HEALTH SERVICES,GA
117133,PEDIATRIC SERVICES OF AMERICA - GROVETOWN,GA
117135,THREE RIVERS HOME HEALTH SERVICES INC,GA
117136,GENTIVA HEALTH SERVICES,GA
117137,GENTIVA HEALTH SERVICES,GA
117138,PSA HEALTHCARE,GA
117139,GUARDIAN HOME CARE OF NORTHEAST GEORGIA LLC,GA
117140,ULTRA CARE OF GEORGIA INC,GA
117141,INTREPID USA HEALTHCARE SERVICES,GA
117142,WARE VISITING NURSES SERVICE INC,GA
117143,ST JOSEPH'S/CANDLER HOME HEALTHCARE INC,GA
117144,INTREPID USA HEALTHCARE SERVICES,GA
117145,GUARDIAN HOME CARE OF CENTRAL GEORGIA,GA
117147,AMICITA HOME HEALTH LLC,GA
117148,PRUITTHEALTH HOME HEALTH-ROME,GA
117149,ENCOMPASS HOME HEALTH AND HOSPICE,GA
117150,CHARLTON VISITING NURSES SERVICES- GREATER SAVAN,GA
117151,GENTIVA HEALTH SERVICES,GA
117152,CARESOUTH HOMECARE PROFESSIONALS,GA
117153,SUNCREST HOME HEALTH,GA
117155,AGILITY HOME HEALTH,GA
117156,SUNCREST HOME HEALTH OF GEORGIA INC,GA
117157,CARE ONE HEALTH SERVICES LLC,GA
117158,SUNCREST HOME HEALTH,GA
117305,TUGALOO HOME HEALTH AGENCY AN AMEDISY COMPANY,GA
117306,CARESOUTH HOMECARE PROFESSIONALS,GA
117308,HOME CARE SOLUTIONS,GA
117309,CARESOUTH AN AFFILIATE OF CRISP REG HOSPITAL,GA
117316,ATKINSON VISITING NURSES SERVICE INC,GA
117317,CHARLTON VISITING NURSES SERVICE,GA
117318,GEORGIA HOME HEALTH,GA
117319,TANNER HOME HEALTH SERVICES,GA
