CertificationNO,Provider Name,State
377011,HILLTOP HEALTHCARE LLC,OK
377031,HEALTHBACK OF MCALESTER,OK
377035,SSM HEALTH AT HOME HOME HEALTH - OKLAHOMA,OK
377048,MERCY HOME HEALTH,OK
377050,INTEGRIS HOME CARE MIAMI,OK
377051,INTEGRIS HOME CARE OKLAHOMA CITY,OK
377056,TILLMAN COUNTY-CITY OF FREDERICK HOSP AUTHORITY,OK
377059,HOMECALL,OK
377068,HILLCREST REGIONAL HOME HEALTH SOUTH,OK
377070,COMANCHE COUNTY MEMORIAL HOSPITAL HOME HEALTH CARE,OK
377072,AMEDISYS HOME HEALTH,OK
377073,ST JOHN MEDICAL CENTER HOME HEALTH CARE,OK
377078,MEDICAL CENTER OF SOUTHEASTERN OKLAHOMA HOME HLTH,OK
377081,ALLIANCE OKLAHOMA HOME HEALTH NORTHEAST,OK
377089,ALLIANCE OKLAHOMA HOME HEALTH NORTH CENTRAL,OK
377090,MCALESTER REGIONAL HEALTH CENTER AUTHORITY,OK
377091,MERCY HOSPITAL EL RENO,OK
377094,MUSCOGEE (CREEK) NATION HOME HEALTH,OK
377096,OKLAHOMA HOME HEALTH PROVIDERS - 1,OK
377107,SAINT FRANCIS HOME HEALTH,OK
377121,MERCY HOME HEALTH ARDMORE,OK
377126,BROOKDALE HOME HEALTH TULSA,OK
377131,CREATIVE HOME CARE INC,OK
377137,JACKSON COUNTY MEMORIAL HOSPITAL HOME CARE,OK
377138,CLEVELAND HOME HEALTH,OK
377142,DUNCAN REGIONAL HOSPITAL HOMECARE,OK
377146,GENTIVA HEALTH SERVICES,OK
377158,HEARTLAND HOME HEALTH CARE AND HOSPICE,OK
377161,MEMORIAL HOSPITAL HOME CARE,OK
377162,HEALTHBACK HOME HEALTH OF STIGLER,OK
377164,GENTIVA HEALTH SERVICES-LAWTON,OK
377166,COMPLETE HOME HEALTH OF STIGLER,OK
377167,COMPLETE HOME HEALTH OF WESTERN OKLAHOMA,OK
377169,MCCURTAIN MEMORIAL HOME HEALTH,OK
377170,KINDRED AT HOME,OK
377171,ANGELS CARE HOME HEALTH OF EAST OKLAHOMA,OK
377173,CHEROKEE NATION HOME HEALTH SERVICES,OK
377174,ALLIANCE OKLAHOMA HOME HEALTH WOODWARD,OK
377177,COMMUNITY HOME HEALTH INC,OK
377179,SEQUOYAH COUNTY-CITY OF SALLISAW HOSP AUTHORITY,OK
377180,AMEDISYS HOME HEALTH,OK
377187,MAYS HOUSECALL HOME HEALTH OF ANTLERS LLC,OK
377189,CARTER HEALTHCARE OF WESTERN OKLAHOMA LLC,OK
377193,HCIPS IN-HOME SERVICES OF HUGO,OK
377195,RESTORE HOME HEALTHCARE OF OKLAHOMA LLC,OK
377196,ENCOMPASS HOME HEALTH OF CENTRAL OKLAHOMA,OK
377199,MARSHALL COUNTY HOME HEALTH INC,OK
377202,TENDERCARE HOME HEALTH,OK
377204,STILLWATER MEDICAL CENTER HOME HEALTH SERVICES,OK
377205,SOUTHWEST HOME HEALTH CARE INC,OK
377206,GREEN COUNTRY HOME CARE INC,OK
377208,INTEGRIS HOME CARE ENID,OK
377211,THE CARING CONNECTION INC,OK
377219,LIFESPRING HOME CARE OF SAYRE LLC,OK
377222,MED-CORP HOME HEALTH INC,OK
377227,GOOD HEALTH CARE PROFESSIONALS INC,OK
377234,INTEGRIS HOME CARE GROVE,OK
377236,HILLCREST REGIONAL HOME HEALTH,OK
377237,INTERIM HEALTHCARE OF TULSA,OK
377238,HEALTHBACK  CHICKASHA,OK
377248,GUYMON HOME HEALTHPANHANDLE HOME HEALTH,OK
377258,MERCY HOME HEALTH CAMERON,OK
377269,ALLIANCE OKLAHOMA HOME HEALTH MIDWEST CITY,OK
377272,JANE PHILLIPS REGIONAL HOME CARE LLC,OK
377273,TEAM SELECT HOME CARE,OK
377277,ALLIANCE OKLAHOMA HOME HEALTH WESTERN OK,OK
377286,COMPLETECARE HOME HEALTH PLUS LLC,OK
377296,HEALTH WATCH HEALTH CARE OF DUNCAN LLC,OK
377400,DOCTORS PARK HOME HEALTHINC,OK
377418,GREAT PLAINS HOME CARE,OK
377420,ALLIANCE OKLAHOMA HOME HEALTH OKC,OK
377425,ELKVIEW HOME HEALTH,OK
377437,ALLIED HOME HEALTH SERVICES INC,OK
377442,GENTIVA HEALTH SERVICES,OK
377445,PERRY MEMORIAL HOME HEALTH,OK
377447,ANGELS CARE HOME HEALTH OF OKLAHOMA,OK
377448,SOONER HEALTH SERVICES IIIINC,OK
377454,ENTRUSTED HEARTS,OK
377461,HOMETOWN HOME HEALTH NORTHEASTERN,OK
377464,ENCOMPASS HOME HEALTH OF CENTRAL OKLAHOMA,OK
377468,OKLAHOMA HEALTHCARE SOLUTIONS I,OK
377471,BARNES HOME HEALTH CARE INC,OK
377472,HARMON COUNTY HOME HEALTH CARE,OK
377478,CARTER HEALTHCARE LLC,OK
377483,DAVID'S HEALTH CENTER INC,OK
377487,SUNSHINE HOME CARE INC,OK
377497,MAGNA HOME HEALTH CARE INC,OK
377502,HCIPS IN-HOME SERVICES OF PURCELL,OK
377509,OSAGE HOME HEALTH,OK
377518,OKLAHOMA HERITAGE HOME CARE INC,OK
377520,HEALTHBACK OF PURCELL,OK
377522,AGAPE COMPREHENSIVE HEALTH SERVICES INC,OK
377524,LIFELINE HOME HEALTH CARE INC,OK
377534,EXCELL HOME CARE & HOSPICE INC,OK
377538,HEALTHBACK HOME HEALTH OF PONCA CITY,OK
377550,GOLDEN AGE HOME HEALTH INC,OK
377568,ASPIRE HOME CARE I,OK
377569,QUANTUM HEALTH CARE INC,OK
377572,ENCOMPASS HOME HEALTH OF NORTHEAST OKLAHOMA,OK
377574,VICTORY HOME HEALTH LLC,OK
377580,HOMETOWN HOME HEALTH CENTRAL,OK
377588,PROFESSIONAL HOME HEALTH,OK
377589,HEALTHBACK OF ENID,OK
377598,ADVANCED HOMECARE SERVICES,OK
377604,LOVING CARE IN HOME HEALTH SERVICES LLC,OK
377614,21ST CENTURY HOME HEALTH AGENCY,OK
377615,GREEN COUNTRY HOME HEALTH CARE INC,OK
377616,ADVANCED HOMECARE,OK
377617,EMBERTON & CO HOME HEALTH LLC,OK
377619,ENTRUSTED HEARTS,OK
377623,CORNERSTONE HEALTH CARE INC,OK
377625,ALL FAITH HOMECARE,OK
377626,S-Q HOME CARE SPECIALTIES INC.,OK
377627,OKLAHOMA HEALTHCARE SOLUTIONS VII,OK
377628,ELITE HOME CARE L L C,OK
377629,OKLAHOMA HEALTHCARE SOLUTIONS VIII,OK
377630,RAINBOW HOME HEALTH INC,OK
377631,OKLAHOMA HEALTHCARE SOLUTIONS X,OK
377632,OKLAHOMA HEALTHCARE SOLUTIONS I X,OK
377633,ENCOMPASS HOME HEALTH OF SOUTHEAST OKLAHOMA,OK
377635,SANS BOIS HEALTH SERVICES,OK
377636,CARTER HEALTHCARE,OK
377637,CARTER HEALTHCARE,OK
377639,ENTRUST HOME HEALTH,OK
377640,HEART CARE AT HOME LLC,OK
377641,GIRLING HEALTH CARE INC,OK
377642,AMEDISYS HOME HEALTH,OK
377643,ENCOMPASS HOME HEALTH OF EASTERN OKLAHOMA,OK
377644,CHOICE HOME HEALTH INC,OK
377645,PROVIDENCE HOME CARE,OK
377647,TRADITIONS HOME CARE INC,OK
377648,HEALTHCARE INNOVATIONS-HOME SERVICES OF OKC LLC,OK
377649,BAYADA HOME HEALTH CARE INC,OK
377650,NURSES TO GO INC,OK
377651,ACCENTRA HOME HEALTHCARE INC,OK
377652,LORETTA'S HOME HEALTH CARE INC,OK
377653,PERSONAL TOUCH HEALTH SERVICES,OK
377654,MILLENNIUM HOME HEALTH CARE INC,OK
377655,MILLENNIUM HOME CARE OF  SE OKLAHOMA,OK
377656,ENCOMPASS HOME HEALTH OF WESTERN OKLAHOMA,OK
377657,CORNERSTONE AT HOME CARE,OK
377658,INTERIM HEALTHCARE OF OKLAHOMA CITY INC,OK
377659,SOUTHWESTERN HOME HEALTH INC,OK
377660,ASPIRE HOME CARE II,OK
377661,HEALTHBACK OF IDABEL,OK
377662,ACCESS HEALTH TEAM INC,OK
377663,HEALTHCARE INNOVATIONS IN-HOME SERVICES V LLC,OK
377664,LIFESPRING HOME HEALTH,OK
377665,GENTLE SHEPHERD HOME HEALTH INC,OK
377666,BROOKDALE HOME HEALTH OKC,OK
377667,ASPIRE HOME CARE III,OK
377668,UNIVERSAL HEALTHCARE,OK
377669,VICTORY HOME HEALTH LLC,OK
377670,MAYS HOUSECALL HOME HEALTH OF ADA LLC,OK
377671,ADVANTAGE HOME HEALTH & HOSPICE L L C,OK
377673,FAMILY CARE HOME HEALTH INC,OK
377674,CARE PLUS HOME HEALTH CARE INC,OK
377675,ABIDING HOME HEALTH OF OKLAHOMA CITY,OK
377676,CARTER HEALTHCARE AND HOSPICE,OK
377677,SOONER HEALTH SERVICES INC,OK
377678,IDEAL HOME CARE LP,OK
377679,HEALTHBACK HOME HEALTH OF NORMAN INC,OK
377682,MASHOVIN HOME HEALTH CARE INC,OK
377683,COMPANION HOME HEALTH,OK
377684,HEALTHBACK HOME HEALTH OF O K C,OK
377686,AGAPE HEALTH CARE SERVICES INC,OK
377688,EXPRESS HOME HELPINC,OK
377689,VIALIFE HOME HEALTH CARE,OK
377690,ROSS HEALTH CARE SERVICES OF SOUTHWEST OKLAHOMA,OK
377691,MAYS HOUSECALL HOME HEALTH OF TULSA LLC,OK
377692,CARTER HEALTHCARE OF OKLAHOMA LLC,OK
377694,RAINBOW HOME HEALTH,OK
377695,ALLWOOD HOME HEALTH LLC,OK
377696,CARING HOME HEALTH AGENCY INC,OK
377697,GOOD JOURNEY HOME HEALTH LLC,OK
377698,BEST HOME HEALTH CARE INC.,OK
377699,CYPRESS HOME CARE,OK
377700,ONHL MEDICAL HOME HEALTH SERVICES LLC,OK
377701,LIFESPRING EDMOND HOME HEALTH,OK
377702,SHEPHERD HOME HEALTH AND HOSPICE LLC,OK
377703,PETERS AGENCY HOME HEALTH SERVICES L L C,OK
377704,COMPLETE HOME HEALTH OF TISHOMINGO LLC,OK
377705,PRIME HOME HEALTH CARE INC,OK
377706,PREMIER HOME HEALTH CARE INC,OK
377708,FAITH HOME CARE SERVICES LLC,OK
377709,APEX HOME HEALTH,OK
377710,CORNERSTONE HOME HEALTH INC,OK
377711,ACCOLADE HOME CARE,OK
377712,OK4 HOME HEALTH AGENCY LLC,OK
377713,HCIPS IN-HOME SERVICES OF SALLISAW,OK
377714,ROSS HEALTH CARE SERVICES OF NORTHERN OKLAHOMA,OK
377715,AHNI HEALTH SERVICES INC,OK
377716,UNITED PARTNERS HEALTHCARE INC,OK
377717,PHOENIX HOME HEALTH AGENCY L L C,OK
377718,ALPHA HOME HEALTHCARE INC,OK
377719,1ST CHOICE HOME HEALTH CARE OF ELK CITY,OK
377720,SELECT HOME HEALTH,OK
377721,INNOVA HOME HEALTH,OK
377722,SOONER HEALTH SERVICES I I INC,OK
377723,UNITY HOME HEALTH L L C,OK
377724,ASSURANCE HEALTH CARE SERVICES L L C,OK
377725,VENERATE HOME HEALTH EXPRESS L L C,OK
377726,PRECISE HOME HEALTH CARE,OK
377727,ANGELIC HOME HEALTH CARE,OK
377728,ETON HOME HEALTHCARE INC,OK
377729,GRAYSON HOME HEALTH,OK
377730,ENCOMPASS HOME HEALTH OF WESTERN OKLAHOMA,OK
377731,UNITY HOME CARE LLC,OK
377732,CELECT CARE HOME HEALTH INC,OK
377733,SHANADOA HOME HEALTH INC,OK
377734,COMFORT CARE HOME HEALTH INC,OK
377735,QUALITY CARE HOME HEALTH INC,OK
377736,HOMETOWN HOME HEALTH NORTHWESTERN,OK
377737,HARMONY HOME CARE INC,OK
377738,BONNY CREST HOME HEALTHCARE INC,OK
377739,DEVINE CARE HOME HEALTH INC,OK
377740,COMPASSION HOME CARE INC,OK
377741,RELIANT HOME HEALTH LLC,OK
377742,HCIPS IN-HOME SERVICES OF TULSA,OK
377743,1ST CHOICE HOME HEALTHCARE,OK
377744,MAYS HOUSECALL HOME HEALTH OF VINITA LLC,OK
377745,BENCHMARK HOME HEALTH,OK
377746,ALL ABOUT CARING HOME HEALTH CARE LLC,OK
377747,TRIAD HOME HEALTH LLC,OK
377748,HEALTH WATCH HEALTH CARE OF WEATHERFORDLLC,OK
377749,EVERGREEN HOME HEALTH,OK
377750,OKLAHOMA HEALTHCARE SOLUTIONS XI,OK
377751,HEALTH WATCH HEALTH CARE OF ALTUS,OK
377752,MACARTHUR PARK HOME HEALTH INC,OK
377753,LIFESPRING HOME HEALTH,OK
377754,TLC HOME NURSING AND THERAPY SERVCIES LLC,OK
377755,SECURE HOME CARE,OK
377756,LIFESPRING HOME CARE,OK
377757,LIFESPRING HOME CARE,OK
377758,ADVOCATE HOME HEALTH CARE INC,OK
377759,MARANATHA HOME HEALTH INC,OK
377760,GATEWAY HOME HEALTH CARE,OK
377761,AHC HHC LLC,OK
377762,ENTRUSTED HEARTS,OK
377763,EPWORTH AT HOME LLC,OK
377764,BEST CHOICE HOME HEALTH INC,OK
377765,CAMEO HOME CARE INC,OK
377766,NEW HOPE HOME HEALTH NURSING LLC,OK
377767,GENESIS HOME HEALTH LLC,OK
377768,ULTIMATE ONE HOME HEALTH CARE,OK
377769,CORNERSTONE HEALTHCARE AGENCY LLC,OK
377770,KAL HOME HEALTH INC,OK
377771,ARBUCKLE HOME HEALTH INC,OK
377772,PLATINUM HEALTHCARE INC,OK
377773,ALLY HOME HEALTH LLC,OK
377774,HARMONY HOME CARE II,OK
377775,ALWAYS BETTER CARE HOME HEALTH,OK
377776,TRUEVINE HEALTHCARE LLC,OK
377778,OLDHAM HOME CARE LLC,OK
377779,PATIENCE HOME HEALTH CARE LLC,OK
377780,CARTER HEALTHCARE,OK
377781,ASCENT HOME HEALTH,OK
377782,MATERELLI HOME HEALTH SERVICES INC,OK
377783,OKLAHOMA HEALTHCARE SOLUTIONS XII,OK
377784,ALPHA HEALTHCARE SERVICES INC,OK
377785,GENTLE HANDS HOME HEALTH LLC,OK
377786,COVENANT HOME HEALTH LLC,OK
377787,SCISSORTAIL HEALTHCARE LLC,OK
377788,HOLISTIC HOME CARE HOME HEALTH LLC,OK
