CertificationNO,Provider Name,State
437003,RAPID CITY REGIONAL HOSPITAL HOME CARE,SD
437004,SANFORD VISITING NURSES ASSOCIATION,SD
437006,AVERA AT HOME,SD
437008,HURON REGIONAL MEDICAL CTR HHA,SD
437009,WINNER REGIONAL HOME HEALTH AGENCY,SD
437019,PRAIRIE LAKES HOME HEALTH,SD
437020,AVERA AT HOME,SD
437024,AVERA AT HOME,SD
437030,BROOKINGS HOSPITAL HHA,SD
437037,SPEARFISH REGIONAL HOSPITAL HOME CARE,SD
437039,WESTHILLS VILLAGE HOME HEALTH,SD
437040,BENNETT COUNTY HOME HEALTH AGENCY,SD
437041,AVERA AT HOME,SD
437046,AVERA AT HOME,SD
437047,INTERIM HEALTHCARE,SD
437051,STATE HOME CARE SERVICES INC,SD
437053,AVERA AT HOME,SD
437054,MADISON REGIONAL HEALTH SYSTEM,SD
437055,COMMUNITY MEMORIAL HOSPITAL HOME HEALTH,SD
437056,INTERIM HEALTHCARE,SD
437057,WEL HOME HEALTH OF ELK POINT,SD
437059,WELCOV HOME HEALTH OF FLANDREAU,SD
437063,EUREKA HOME HEALTH AGENCY,SD
437067,COTEAU DES PRAIRIES HOSPITAL HOME HEALTH AGENCY,SD
437070,WEST WINDS HEALTH SERVICES,SD
437071,MARSHALL COUNTY HEALTHCARE CENTER HOME HEALTH,SD
437072,SANFORD CLEAR LAKE MEDICAL CENTER,SD
437075,GOOD SAMARITAN SOCIETY - HOME CARE,SD
437077,DAKOTA PHYSICAL THERAPY HOME HEALTH CARE,SD
437081,HEARTLAND HOME HEALTH LLC,SD
437084,AVERA AT HOME,SD
437086,GOOD SAMARITAN SOC-HOME HEALTH OF THE BLACK HILLS,SD
437300,STATE HOME CARE SERVICES-SUBUNIT,SD
