CertificationNO,Provider Name,State
447006,WILLOWBROOK VISITING NURSE INC,TN
447080,CONTINUCARE HEALTHSERVICES IN,TN
447086,METHODIST ALLIANCE HOME CARE,TN
447101,MEDICAL CENTER HOME HEALTH,TN
447107,AMEDISYS HOME HEALTH,TN
447108,ENCOMPASS HOME HEALTH OF TENNESSEE,TN
447109,DEACONESS HOMECARE,TN
447111,GENTIVA HEALTH SVS KNOXVILLE,TN
447114,NHC HOMECARE MURFREESBORO,TN
447124,MERITAN INC,TN
447125,NHC HOMECARE COLUMBIA,TN
447126,NHC HOMECARE CHATTANOOGA,TN
447129,NHC HOMECARE KNOXVILLE,TN
447131,HIGHLAND RIM HOME HEALTH,TN
447138,DEACONESS HOMECARE 1,TN
447139,COVENANT HOMECARE,TN
447142,CAMELLIA HOME HEALTH,TN
447150,TENNOVA HEALTHCARE HOME HEALTH,TN
447151,GENTIVA HEALTH SERVICES,TN
447152,NHC HOMECARE MILAN,TN
447153,NHC HOMECARE JOHNSON CITY,TN
447156,AMEDISYS HOME HEALTH CHATTANOOGA,TN
447163,WILLOWBROOK HOME HEALTH CARE,TN
447176,SUNCREST HOME HEALTH,TN
447183,ADVANCED HOME CARE INC,TN
447184,QUALITY FIRST HOME CARE,TN
447188,AMEDISYS HOME HEALTH OF TENNESSEE,TN
447190,AMEDISYS HOME HEALTH CARE,TN
447191,GENTIVA HEALTH SERVICES 1,TN
447195,SMOKY MOUNTAIN HOME HEALTH AND HOSPICE INC,TN
447201,DEACONESS HOMECARE,TN
447206,AMEDISYS HOME HEALTH,TN
447207,TENNESSEE QUALITY HOMECARE NW,TN
447213,NHC HOMECARE SOMERVILLE,TN
447214,PROCARE HOME HEALTH SERVICES,TN
447225,CAREALL HOMECARE SERVICES,TN
447226,INTREPID USA HEALTHCARE SERVICES,TN
447230,UNIVERSITY OF TN MEDICAL CENTER HOME CARE SERVICES,TN
447238,AMEDISYS HOME CARE,TN
447240,MEDICAL CENTER HOMECARE,TN
447247,LINCOLN MEDICAL HOME HEALTH AND HOSPICE,TN
447249,VANDERBILT HOME CARE SERVICES,TN
447251,QUALITY PRIVATE CARE,TN
447252,TENNOVA HOME HEALTH - LEXINGTON,TN
447254,GENTIVA HEALTH SVS KINGSPORT,TN
447259,SUNCREST HOME HEALTH,TN
447260,AMEDISYS,TN
447261,AMERICARE HOME HEALTH AGENCY,TN
447263,HOMECHOICE HEALTH SERVICES,TN
447264,HMC HOME HEALTH LLC,TN
447269,FAMILY HOME CARE CLEVELAND,TN
447271,CAREALL HOMECARE SERVICES,TN
447276,NHC HOMECARE SPRINGFIELD,TN
447277,AMEDISYS HOME HEALTH,TN
447278,AMEDISYS HOME HEALTH CARE,TN
447279,HOME HEALTH CARE OF EAST TN,TN
447281,HERITAGE HOME HEALTH,TN
447284,EXTENDICARE HOME HEALTH OF WEST TN,TN
447291,SUNCREST HOME HEALTH,TN
447296,AMEDISYS HOME HEALTH,TN
