state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Florida,27202,107073,309 SE 18TH STREET,2000-07-01,YES,YES,YES,YES,1970-07-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Florida,26102,107088,760 PONCE DE LEON BLVD STE 100,2004-04-16,YES,YES,YES,YES,1974-04-16,Same As Expected,3.0 - 4.0,Proprietary
Florida,34477,107017,4511 N HIMES AVE STE 240,2004-05-01,YES,YES,YES,YES,1974-05-01,Worse Than Expected,1.0 - 2.5,Proprietary
Florida,32477,107099,1830 LISENBY AVE  STE B,2005-02-20,YES,YES,YES,YES,1975-02-20,Same As Expected,3.0 - 4.0,Proprietary
Florida,31852,107302,1300 N SEMORAN BLVD STE 195,2005-03-11,YES,YES,YES,YES,1975-03-11,Worse Than Expected,1.0 - 2.5,Proprietary
Florida,32727,107100,4700 BAYOU BLVD STE1C,2005-03-26,YES,YES,YES,YES,1975-03-26,Same As Expected,3.0 - 4.0,Proprietary
Florida,27127,107101,2700 W CYPRESS CREEK RD  STE B100,2005-04-17,YES,YES,YES,YES,1975-04-17,Same As Expected,3.0 - 4.0,Proprietary
Florida,32952,107103,3250 N ANDREWS AVE EXT,2005-06-17,YES,YES,YES,YES,1975-06-17,Better Than Expected,4.5 - 5.0,Proprietary
Florida,29252,107110,3075 NW 35TH AVE,2005-09-01,YES,YES,YES,YES,1975-09-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Florida,34352,107120,4144 NORTH ARMENIA AVE STE 230,2005-09-29,YES,YES,YES,NO,1975-09-29,Same As Expected,3.0 - 4.0,Proprietary
Florida,29852,107112,8247 DEVEREUX DR STE 103,2005-10-03,YES,YES,YES,YES,1975-10-03,Same As Expected,3.0 - 4.0,Proprietary
Florida,26102,107117,760 PONCE DE LEON BLVD   STE 102,2005-10-29,YES,YES,YES,YES,1975-10-29,Same As Expected,3.0 - 4.0,Proprietary
Florida,34952,107134,1110 35 TH LN,2005-12-01,YES,YES,YES,YES,1975-12-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Florida,28277,107125,580 W 8 ST TOWER 2 STE 9009,2006-01-28,YES,YES,NO,YES,1976-01-28,Same As Expected,3.0 - 4.0,Non - Profit Private
Florida,25577,107136,714 MANATEE AVE E STE B,2006-03-31,YES,YES,YES,YES,1976-03-31,Same As Expected,3.0 - 4.0,Proprietary
Florida,33602,107132,2601 CATTLEMEN RD STE 102,2006-04-01,YES,YES,YES,YES,1976-04-01,Same As Expected,3.0 - 4.0,Proprietary
Florida,33452,107139,5633 1ST AVE S,2006-09-01,YES,YES,YES,YES,1976-09-01,Worse Than Expected,1.0 - 2.5,Proprietary
Florida,27527,107142,1610 NW 23RD AVE,2007-02-01,YES,YES,YES,YES,1977-02-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Florida,28877,107150,2290 10TH AVENUE NORTH SUITE 304,2007-04-01,YES,YES,YES,YES,1977-04-01,Same As Expected,3.0 - 4.0,Proprietary
Florida,34177,107151,8116 KILLEARN PLAZA CR STE 104,2007-05-01,YES,YES,YES,YES,1977-05-01,Same As Expected,3.0 - 4.0,Proprietary
Florida,33402,107159,301 HEALTH PARK BLVD STE 110,2007-06-06,YES,YES,YES,YES,1977-06-06,Same As Expected,3.0 - 4.0,Proprietary
Florida,34752,107155,3260 WATERMAN WAY,2007-06-09,YES,YES,YES,YES,1977-06-09,Same As Expected,3.0 - 4.0,Non - Profit Religious
Florida,28927,107007,1125 BARTOW RD STE 300,2007-07-01,YES,YES,YES,YES,1977-07-01,Same As Expected,3.0 - 4.0,Proprietary
Florida,29002,107166,3671 INNOVATION DR,2007-07-01,YES,YES,YES,YES,1977-07-01,Same As Expected,3.0 - 4.0,Proprietary
Florida,34077,107168,510 SHOTGUN RD SUITE 150,2007-07-01,YES,YES,YES,YES,1977-07-01,Same As Expected,3.0 - 4.0,Proprietary
Florida,25902,107171,380 PARK PLACE BLVD STE 100,2007-09-23,YES,YES,YES,YES,1977-09-23,Same As Expected,3.0 - 4.0,Proprietary
Florida,33952,107177,2400 SE MONTEREY RD  STE 300,2008-07-01,YES,YES,YES,YES,1978-07-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Florida,33127,107179,1515 HERBERT ST STE 210,2008-08-30,YES,YES,YES,YES,1978-08-30,Same As Expected,3.0 - 4.0,Proprietary
Florida,34152,107115,1619 PHYSICIANS DRIVE,2009-07-01,YES,YES,YES,YES,1979-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
