state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
New Hampshire,82127,307031,101 BOULDER POINT DRIVE SUITE 3,1997-07-19,YES,YES,YES,YES,1967-07-19,Same As Expected,3.0 - 4.0,Non - Profit Other
New Hampshire,81577,307038,214 LAKE STREET,1999-08-20,YES,YES,YES,YES,1969-08-20,Same As Expected,3.0 - 4.0,Non - Profit Other
New Hampshire,82052,307040,107 NEWPORT RD,2000-08-10,YES,YES,YES,YES,1970-08-10,Worse Than Expected,1.0 - 2.5,Non - Profit Private
New Hampshire,81852,307009,536 COTTAGE STREET,2001-11-30,YES,YES,YES,YES,1971-11-30,Same As Expected,3.0 - 4.0,Non - Profit Private
New Hampshire,81802,307043,780 N MAIN ST,2005-12-01,YES,YES,YES,YES,1975-12-01,Same As Expected,3.0 - 4.0,Non - Profit Private
New Hampshire,81777,307046,312 MARLBOROUGH STREET,2009-10-19,YES,YES,YES,YES,1979-10-19,Same As Expected,3.0 - 4.0,Non - Profit Other
New Hampshire,81927,307049,608 CHESTNUT ST  PO BOX 1780,2002-06-07,YES,YES,YES,YES,1982-06-07,Same As Expected,3.0 - 4.0,Proprietary
New Hampshire,82177,307060,215 ROCHESTER HILL ROAD,2006-07-09,YES,YES,YES,YES,1986-07-09,Same As Expected,3.0 - 4.0,Non - Profit Private
New Hampshire,81827,307061,278 MAIN ST,2006-10-15,YES,YES,YES,YES,1986-10-15,Same As Expected,3.0 - 4.0,Non - Profit Other
New Hampshire,82002,307070,22 GREELEY ST SUITE 5,2009-02-08,YES,YES,YES,YES,1994-02-08,Same As Expected,3.0 - 4.0,Proprietary
New Hampshire,82202,307071,7 STILES ROAD SUITE 201,2009-03-02,YES,YES,YES,YES,1994-03-02,Same As Expected,3.0 - 4.0,Proprietary
New Hampshire,81502,307078,5 DARTMOUTH DRIVE SUITE 303,2011-02-01,YES,YES,YES,YES,1996-02-01,Same As Expected,3.0 - 4.0,Proprietary
New Hampshire,81627,307077,4 BIRCH STREET,2011-02-22,YES,NO,NO,YES,1996-02-22,Not Available,,Proprietary
New Hampshire,82027,307082,12 AMHERST STREET,2012-07-02,YES,YES,YES,YES,1997-07-02,Same As Expected,3.0 - 4.0,Non - Profit Private
New Hampshire,81902,307084,8025 SO WILLOW ST # 206,2005-06-06,YES,YES,NO,YES,2003-06-06,Same As Expected,3.0 - 4.0,Proprietary
New Hampshire,81877,307085,1750 ELM STREET SUITE 602,2007-07-18,YES,NO,NO,YES,2005-07-18,Not Available,,Proprietary
New Hampshire,81727,307087,22 SAWMILL ROAD UNIT 2,2015-09-11,YES,NO,NO,YES,2013-09-11,Not Available,,Proprietary
New Hampshire,82152,307090,1039 ISLINGTON ST SUITE 16,2015-11-27,YES,YES,YES,YES,2013-11-27,Not Available,,Proprietary
New Hampshire,82202,307088,85 STILES ROAD SUITE 202,2016-02-27,YES,NO,NO,YES,2014-02-27,Not Available,,Proprietary
New Hampshire,81752,307089,10 BRICKETTS MILL RD,2016-03-03,YES,YES,YES,YES,2014-03-03,Not Available,,Proprietary
New Hampshire,81527,307091,9 CEDARWOOD DR UNIT 5,2016-03-17,YES,NO,NO,YES,2014-03-17,Not Available,,Proprietary
New Hampshire,81602,307000,30 PILLSBURY ST,1996-07-01,YES,YES,YES,YES,1966-07-01,Worse Than Expected,1.0 - 2.5,Non - Profit Private
New Hampshire,82077,307001,958 JOHN STARK HIGHWAY,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
New Hampshire,81952,307003,1070 HOLT AVE STE 1400,1996-07-01,YES,YES,YES,YES,1966-07-01,Worse Than Expected,1.0 - 2.5,Non - Profit Private
New Hampshire,81552,307004,CITY HALL   168 MAIN STREET,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Government - Local
New Hampshire,82152,307006,UNIT 11 95 BREWERY LANE,1996-07-01,YES,YES,YES,YES,1966-07-01,Worse Than Expected,1.0 - 2.5,Proprietary
New Hampshire,81977,307013,186 WAUKEWAN STREET,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Non - Profit Other
New Hampshire,81652,307014,121 BROADWAY SUITE 117,1996-07-01,YES,YES,YES,YES,1966-07-01,Better Than Expected,4.5 - 5.0,Proprietary
New Hampshire,81702,307015,75 CHESTNUT ST,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
New Hampshire,82002,307017,7 EXECUTIVE DRIVE,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
New Hampshire,82102,307020,1529 WHITE MOUNTAIN HIGHWAY,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
New Hampshire,81677,307021,137 EPPING ROAD,1996-07-01,YES,YES,YES,YES,1966-07-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
New Hampshire,82177,307022,178 FARMINGTON RD,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
