state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
New Mexico,83402,327008,8100 CONSTITUTION PLACE NE SUITE 400,2003-04-26,YES,YES,YES,YES,1973-04-26,Better Than Expected,4.5 - 5.0,Non - Profit Private
New Mexico,83902,327009,2202 CANYON ROAD,2003-06-14,YES,YES,YES,YES,1973-06-14,Same As Expected,3.0 - 4.0,Non - Profit Private
New Mexico,84127,327010,630 PASEO DEL PUEBLO SUR #180,2005-07-11,YES,YES,YES,YES,1975-07-11,Same As Expected,3.0 - 4.0,Non - Profit Private
New Mexico,83302,327015,1859 INDIAN WELLS ROAD,2008-03-01,YES,YES,YES,YES,1978-03-01,Same As Expected,3.0 - 4.0,Proprietary
New Mexico,83627,327305,2217 DILLON,2009-02-14,YES,YES,YES,YES,1979-02-14,Same As Expected,3.0 - 4.0,Non - Profit Other
New Mexico,84202,327022,ROUTE 301 NORTH BLVD #52,2001-01-13,YES,NO,NO,YES,1981-01-13,Same As Expected,3.0 - 4.0,Government - Local
New Mexico,83752,327313,1910 RED ROCK DRIVE,2001-02-24,YES,YES,NO,YES,1981-02-24,Same As Expected,3.0 - 4.0,Non - Profit Religious
New Mexico,83702,327025,608 REILLY AVE,2002-03-16,YES,YES,YES,YES,1982-03-16,Same As Expected,3.0 - 4.0,Non - Profit Private
New Mexico,84102,327027,306 NORTH CALIFORNIA STREET,2002-12-13,YES,YES,YES,YES,1982-12-13,Better Than Expected,4.5 - 5.0,Non - Profit Other
New Mexico,84177,327029,301 E MIEL DE LUNA,2003-01-13,YES,YES,NO,YES,1983-01-13,Same As Expected,3.0 - 4.0,Non - Profit Private
New Mexico,83827,327033,6800 CAMINO BLANCO,2003-05-03,YES,YES,NO,YES,1983-05-03,Not Available,,Proprietary
New Mexico,83377,327070,4401 MASTHEAD STREET NE SUITE 105,2007-09-23,YES,YES,YES,YES,1987-09-23,Same As Expected,3.0 - 4.0,Proprietary
New Mexico,83927,327071,ST HWY 518 MILE MARKER 26,2008-02-18,YES,YES,NO,YES,1988-02-18,Not Available,,Non - Profit Private
New Mexico,83577,327072,800 W PIERCE ST,2008-04-14,YES,YES,NO,YES,1988-04-14,Same As Expected,3.0 - 4.0,Proprietary
New Mexico,83552,327086,2183 HIGHWAY 518,2005-11-15,YES,YES,YES,YES,1990-11-15,Same As Expected,3.0 - 4.0,Proprietary
New Mexico,83777,327088,418 NORTH TURNER STREET,2006-03-20,YES,YES,NO,YES,1991-03-20,Same As Expected,3.0 - 4.0,Proprietary
New Mexico,84027,327089,1400 CHAMA AVENUE,2006-04-26,YES,YES,YES,YES,1991-04-26,Same As Expected,3.0 - 4.0,Non - Profit Religious
New Mexico,83777,327100,726 EAST  MICHIGAN SUITE 130,2007-06-23,YES,YES,YES,YES,1992-06-23,Same As Expected,3.0 - 4.0,Proprietary
New Mexico,83702,327104,200 NORTH ORCHARD AVENUE,2008-02-23,YES,YES,YES,YES,1993-02-23,Same As Expected,3.0 - 4.0,Proprietary
New Mexico,84027,327108,10 CALLE MEDICO,2008-05-12,YES,YES,YES,YES,1993-05-12,Same As Expected,3.0 - 4.0,Proprietary
New Mexico,83652,327110,111 NORTH PEARL STREET,2008-07-14,YES,YES,YES,YES,1993-07-14,Same As Expected,3.0 - 4.0,Proprietary
New Mexico,83877,327113,2810 HOT SPRINGS BLVD,2008-08-24,YES,YES,NO,YES,1993-08-24,Better Than Expected,4.5 - 5.0,Proprietary
New Mexico,83402,327118,2201 SAN PEDRO DR NE BLDG 2 STE 104,2009-02-11,YES,YES,YES,YES,1994-02-11,Same As Expected,3.0 - 4.0,Proprietary
New Mexico,83377,327120,3721 RUTLEDGE ROAD NE,2009-03-28,YES,YES,YES,YES,1994-03-28,Better Than Expected,4.5 - 5.0,Proprietary
New Mexico,83602,327124,300 WILSON STREET,2009-05-17,YES,YES,NO,YES,1994-05-17,Not Available,,Government - State/ County
New Mexico,83527,327123,420 NORTH MAIN STREET,2009-05-26,YES,YES,YES,YES,1994-05-26,Same As Expected,3.0 - 4.0,Proprietary
New Mexico,83802,327126,2293 DIVOT AVENUE SUITE 4,2009-07-21,YES,YES,YES,YES,1994-07-21,Same As Expected,3.0 - 4.0,Proprietary
New Mexico,83852,327133,3870 FOOTHILLS RD,2010-02-21,YES,YES,YES,YES,1995-02-21,Same As Expected,3.0 - 4.0,Proprietary
New Mexico,83502,327136,1301 WEST GRAND AVE,2010-05-25,YES,YES,YES,YES,1995-05-25,Same As Expected,3.0 - 4.0,Non - Profit Private
New Mexico,83627,327140,1944 WEST 21ST STREET,2010-09-27,YES,YES,YES,YES,1995-09-27,Same As Expected,3.0 - 4.0,Proprietary
