state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
New York,87927,337148,972 BRUSH HOLLOW ROAD,1997-09-19,YES,YES,YES,YES,1967-09-19,Worse Than Expected,1.0 - 2.5,Non - Profit Other
New York,86102,337147,110 BI-COUNTY BOULEVARD  SUITE 114,1997-12-14,YES,YES,YES,YES,1967-12-14,Same As Expected,3.0 - 4.0,Non - Profit Religious
New York,86202,337143,100 GARDEN CITY PLAZA SUITE 100,1998-01-01,YES,YES,YES,YES,1968-01-01,Better Than Expected,4.5 - 5.0,Non - Profit Private
New York,87977,337146,360 MAMARONECK AVE,1998-01-01,YES,YES,YES,YES,1968-01-01,Same As Expected,3.0 - 4.0,Non - Profit Other
New York,86277,337150,124 MAIN STREET,1998-03-28,YES,YES,YES,YES,1968-03-28,Worse Than Expected,1.0 - 2.5,Government - State/ County
New York,86677,337165,50 COMMUNITY LANE,2003-03-23,YES,YES,YES,YES,1973-03-23,Same As Expected,3.0 - 4.0,Government - State/ County
New York,86902,337170,1983 MARCUS AVENUE,2003-03-26,YES,YES,YES,YES,1973-03-26,Worse Than Expected,1.0 - 2.5,Non - Profit Other
New York,87352,337168,ONE BLUE HILL PLAZA  6TH FLOOR,2003-03-27,YES,YES,YES,YES,1973-03-27,Same As Expected,3.0 - 4.0,Non - Profit Private
New York,86427,337172,325 COLUMBIA STREET,2008-09-13,YES,YES,YES,YES,1978-09-13,Same As Expected,3.0 - 4.0,Government - Local
New York,86477,337173,139 WHITE BIRCH LANE PO BOX 250,2008-10-31,YES,YES,YES,YES,1978-10-31,Same As Expected,3.0 - 4.0,Government - State/ County
New York,85977,337174,5  1/2  MAIN STREET  SUITE 4,2008-11-22,YES,YES,NO,YES,1978-11-22,Same As Expected,3.0 - 4.0,Proprietary
New York,87077,337177,333 EAST 115TH STREET,2000-02-05,YES,YES,NO,YES,1980-02-05,Not Available,,Non - Profit Religious
New York,86977,337180,104 WEST 29TH STREET  8TH FLOOR,2001-08-04,YES,YES,YES,YES,1981-08-04,Same As Expected,3.0 - 4.0,Non - Profit Other
New York,86552,337181,601 RIVERSIDE DRIVE,2001-12-01,YES,YES,YES,YES,1981-12-01,Same As Expected,3.0 - 4.0,Non - Profit Private
New York,86802,337187,290 OLD COUNTRY ROAD,2002-07-08,YES,YES,YES,YES,1982-07-08,Same As Expected,3.0 - 4.0,Non - Profit Other
New York,85702,337190,3125 EMMONS AVENUE,2003-01-01,YES,YES,YES,YES,1983-01-01,Same As Expected,3.0 - 4.0,Proprietary
New York,86127,337189,30-50 WHITESTONE EXPRESSWAY SUITE 304,2003-03-03,YES,YES,YES,YES,1983-03-03,Not Available,,Non - Profit Other
New York,87452,337201,965 DUTCHESS TURNPIKE  ROOM C-219,2003-10-26,YES,YES,YES,YES,1983-10-26,Not Available,,Non - Profit Religious
New York,87677,337199,813 FAY RD,2003-11-01,YES,YES,YES,YES,1983-11-01,Same As Expected,3.0 - 4.0,Non - Profit Private
New York,85927,337198,134 HOMER AVENUE,2003-11-15,YES,YES,YES,YES,1983-11-15,Same As Expected,3.0 - 4.0,Non - Profit Private
