state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Tennessee,109252,447080,1501 RIVERSIDE DRIVE SUITE 350,1998-11-15,YES,YES,YES,YES,1968-11-15,Not Available,,Proprietary
Tennessee,110702,447086,6400 SHELBY VIEW DR SUITE 101,2001-05-05,YES,YES,YES,YES,1971-05-05,Same As Expected,3.0 - 4.0,Non - Profit Private
Tennessee,109902,447101,33 DIRECTORS ROW,2005-04-02,YES,YES,YES,YES,1975-04-02,Better Than Expected,4.5 - 5.0,Proprietary
Tennessee,111477,447108,2068 COWAN HIGHWAY,2005-12-03,YES,YES,YES,YES,1975-12-03,Worse Than Expected,1.0 - 2.5,Proprietary
Tennessee,110952,447107,2000 GLEN ECHO ROAD SUITE 115,2006-01-13,YES,YES,YES,YES,1976-01-13,Same As Expected,3.0 - 4.0,Proprietary
Tennessee,109652,447109,PO BOX 433,2006-01-23,YES,YES,YES,YES,1976-01-23,Better Than Expected,4.5 - 5.0,Proprietary
Tennessee,110827,447114,1923 MEMORIAL BLVD SUITE A,2006-07-19,YES,YES,YES,YES,1976-07-19,Same As Expected,3.0 - 4.0,Proprietary
Tennessee,110727,447152,14091 SOUTH FIRST STREET,2007-02-07,YES,YES,YES,YES,1977-02-07,Same As Expected,3.0 - 4.0,Proprietary
Tennessee,109302,447126,5959 SHALLOWFORD ROAD SUITE 539,2007-06-06,YES,YES,YES,YES,1977-06-06,Same As Expected,3.0 - 4.0,Proprietary
Tennessee,110227,447129,9000 EXECUTIVE PARK DR A205,2007-07-01,YES,YES,YES,YES,1977-07-01,Same As Expected,3.0 - 4.0,Proprietary
Tennessee,110527,447124,4700 POPLAR AVE 4TH FLOOR,2007-09-02,YES,YES,YES,YES,1977-09-02,Same As Expected,3.0 - 4.0,Non - Profit Private
Tennessee,110227,447111,320 NORTH CEDAR BLUFF RD SUITE 380,2007-11-18,YES,YES,YES,YES,1977-11-18,Same As Expected,3.0 - 4.0,Proprietary
