CertificationNO,Provider Name,State
27001,PROVIDENCE IN HOME SERVICES,AK
27002,HOSPICE & HOME CARE OF JUNEAU,AK
27006,FAIRBANKS MEMORIAL HOSPITAL HHA,AK
27007,SITKA COMMUNITY HOSPITAL HHA,AK
27008,MAT-SU REGIONAL HOME CARE,AK
27009,PETERSBURG MEDICAL CENTER HOME,AK
27010,SOUTH PENINSULA HOSPITAL HHA,AK
27014,PEACEHEALTH KETCHIKAN MEDICAL CENTER HOME HEALTH,AK
27020,1ST CHOICE HOME HEALTH CARE INC,AK
27022,FRONTIER HOME HEALTH,AK
27024,HOME BASED SERVICES,AK
27032,MAXIM HEALTHCARE SERVICES INC,AK
27034,ALASKAN HOME HEALTH INC,AK
27035,INFINITE CARE OF ALASKA,AK
