CertificationNO,Provider Name,State
17000,BUREAU OF HOME & COMMUNITY SERVICES,AL
17008,JEFFERSON COUNTY HOME CARE,AL
17009,ALACARE HOME HEALTH & HOSPICE,AL
17013,GENTIVA HEALTH SERVICES,AL
17014,AMEDISYS HOME HEALTH,AL
17016,SOUTHEAST ALABAMA HOMECARE,AL
17017,SOUTHERN RURAL HEALTH CARE,AL
17018,GENTIVA HEALTH SERVICES,AL
17020,AMEDISYS HOME HEALTH CARE,AL
17024,SOUTHEAST ALABAMA HOMECARE,AL
17025,SAAD HEALTHCARE,AL
17026,GENTIVA HEALTH SERVICES,AL
17027,DECATUR MORGAN HOMECARE,AL
17028,CENTRAL ALABAMA HOMECARE,AL
17034,COMFORT CARE COASTAL HOME HEALTH,AL
17035,INFIRMARY HOMECARE,AL
17037,BAPTIST HOME HEALTH,AL
17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,AL
17041,ALABAMA HOMECARE,AL
17048,GENTIVA HEALTH SERVICES,AL
17050,SPECTRUM HOME HEALTH AGENCY,AL
17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,AL
17052,GENTIVA HEALTH SERVICES,AL
17053,CARESOUTH HOMECARE PROFESSIONALS,AL
17054,GENTIVA HEALTH SERVICES,AL
17055,GENTIVA HEALTH SERVICES,AL
17056,GENTIVA HEALTH SERVICES,AL
17058,GENTIVA HEALTH SERVICES,AL
17063,INTREPID USA HEALTHCARE SERVICES,AL
17066,SPRINGHILL HOME HEALTH AND HOSPICE,AL
17067,INTREPID USA HEALTHCARE SERVICES,AL
17069,AMEDISYS HOME HEALTH OF FOLEY,AL
17070,AMEDISYS HOME HEALTH OF CITRONELLE,AL
17071,GENTIVA HEALTH SERVICES,AL
17072,AMEDISYS HOME HEALTH OF GREENVILLE,AL
17078,AMEDISYS HOME HEALTH OF REFORM,AL
17079,LAMAR HOME CARE INC,AL
17080,DCH HOME HEALTH CARE AGENCY,AL
17082,CV HOME HEALTH OF BIBB COUNTY,AL
17084,GENTIVA HOME HEALTH SERVICES,AL
17085,COOSA VALLEY HOMECARE,AL
17086,ALABAMA HOMECARE,AL
17088,FAYETTE MEDICAL CENTER HOMECARE,AL
17089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,AL
17090,GENTIVA HEALTH SERVICES,AL
17091,HALE COUNTY HOSPITAL HOME HEALTH,AL
17092,MEDICAL CENTER HOME HEALTH,AL
17093,DEKALB REGIONAL HOME HEALTH,AL
17094,CHEROKEE HOME HEALTH,AL
17095,ATHENS-LIMESTONE HOMECARE,AL
17096,TROY REGIONAL MEDICAL CENTER HOME HEALTH,AL
17097,CLAY COUNTY HOSPITAL HOME CARE LLC,AL
17100,MARION REGIONAL HOMECARE,AL
17101,HEALTH NOW HOME HEALTH,AL
17102,ALABAMA HOMECARE,AL
17103,BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH,AL
17104,HIGHLANDS HOME HEALTH,AL
17106,EVERGREEN HOME CARE,AL
17107,SUNCREST HOME HEALTH,AL
17109,NORTHWEST HOME HEALTH - HALEYVILLE,AL
17112,JACKSON MEDICAL CENTER HOME HEALTH,AL
17115,GADSDEN REGIONAL HOME HEALTH,AL
17116,IVY CREEK HOME HEALTH OF ELMORE,AL
17117,LAKE MARTIN HOME HEALTH,AL
17118,AMEDISYS HH A LAWRENCE MEDICAL CENTER PARTNER,AL
17119,HUNTSVILLE HOSPITAL HOMECARE,AL
17121,GENTIVA HEALTH SERVICES,AL
17123,EAMC - LANIER HOME HEALTH,AL
17124,DALE MEDICAL CTR HOME HEALTH,AL
17125,KELLER HOME CARE,AL
17127,SOUTH BALDWIN REGIONAL HOME HEALTH,AL
17128,MEDICAL CENTERS HOMECARE,AL
17129,HOMECARE OF EAST ALABAMA MEDICAL CENTER,AL
17130,INFIRMARY HOMECARE,AL
17132,BROOKDALE HOME HEALTH BIRMINGHAM,AL
17134,LHC HOMECARE OF SOUTH ALABAMA,AL
17135,COMMUNITY HOME CARE,AL
17136,RELIABLE HOME HEALTH,AL
17138,L V STABLER MEMORIAL HOME HEALTH,AL
17139,ASSOCIATES HOME HEALTH SERVICES,AL
17140,THE HOSPITAL HOME HEALTH,AL
17142,ATMORE COMMUNITY HOME CARE LLC,AL
17143,D W MCMILLAN HOME HEALTH,AL
17145,ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY,AL
17146,NORTHWEST HOME HEALTH,AL
17147,SOUTHERN HOME HEALTH SERVICES,AL
17148,THOMAS HOME HEATLH,AL
17149,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY,AL
17151,GENTIVA HEALTH SERVICES,AL
17152,GENTIVA HEALTH SERVICES,AL
17153,COMFORT CARE HOME HEALTH OF ALABASTER,AL
17154,AMEDISYS HOME HEALTH,AL
17155,ALACARE HOME HEALTH & HOSPICE (MOBILE),AL
17156,BAPTIST CITIZENS HOME HEALTH CARE,AL
17157,AMEDISYS HOME HEALTH OF OPELIKA,AL
17158,AMEDISYS HOME HEALTH OF FORT PAYNE,AL
17159,AMEDISYS HOME HEALTH,AL
17160,CARESOUTH HOMECARE PROFESSIONALS,AL
17161,GENTIVA HEALTH SERVICES,AL
17163,AMEDISYS HOME HEALTH OF MONROEVILLE,AL
17164,GENTIVA HEALTH SERVICES,AL
17165,AMEDISYS HOME HEALTH OF FLORENCE,AL
17166,GENTIVA HEALTH SERVICES,AL
17167,GENTIVA HEALTH SERVICES,AL
17168,GENTIVA HEALTH SERVICES,AL
17169,CV HOME HEALTH SERVICES,AL
17170,GENTIVA HEALTH SERVICES,AL
17171,GENTIVA HEALTH SERVICES,AL
