CertificationNO,Provider Name,State
103100,MEDICOR HEALTHCARE INC,FL
103116,NATIONAL HOME HEALTH CARE VOLUSIA INC,FL
103124,TENDER TOUCH HEALTH CARE DISTRICT III FL,FL
103125,REAL SOLUTIONS HOME HEALTH CARE INC,FL
103126,ACM HOME HEALTH CORP,FL
103127,BELL SENIOR CARE INC,FL
103128,HUMANCARE SERVICE INC,FL
103130,GOLD TEAM HOME HEALTH AGENCY,FL
103131,NEW SKY HOME HEALTH CARE CORP,FL
103133,INDIAN RIVER HOME CARE INC,FL
103134,MARINA'S HOME HEALTH AGENCY INC,FL
103135,ANGELS CARE HOME HEALTH,FL
103136,EXTREME QUALITY HOME HEALTH CARE CORP,FL
103137,HEARTWELL HOME HEALTHCARE CORP,FL
103138,STAT HOME HEALTH FLORIDA PANHANDLE LLC,FL
103139,ACTION HOME CARE,FL
103140,AMICABLE HOME HEALTH CARE INC,FL
103141,MAXIMAL TRUST HEALTH CARE INC,FL
103144,FAMILY HOME CARE GROUP LLC,FL
103145,BALANCED HOME HEALTHCARE INC,FL
103146,E & R HEALTH CARE INC,FL
103147,SYNERGY HOME HEALTH OF CENTRAL FLORIDA,FL
103148,GENESIS HOME HEALTH CARE SERVICES OF CENTRAL FLORI,FL
103149,BEST PCS LLC,FL
103150,STAY-AT-HOME HOME HEALTH CARE INC,FL
103151,ACE HOMECARE,FL
103152,CENTURY HEALTH CARE AGENCY INC,FL
103153,HAVEN HOME HEALTH CARE,FL
103154,CARING FOR YOU HOME HEALTH INC,FL
103156,HOME HEALTH CARE OF FLORIDA,FL
103157,STRIVING FOR EXCELLENCE HOME HEALTH CARE INC,FL
103158,WELCOME HOME HEALTHCARE INC,FL
103159,DISTINCT HOME HEALTH SERVICES INCORPORATED,FL
103160,INTEGRITY HEALTH SERVICES,FL
103161,MATRIX HOME CARE LLC,FL
103162,SUNSHINE HOME HEALTH SERVICES INC,FL
103163,SENIOR HEARTS HOME HEALTH AGENCY,FL
103164,GREYSTONE HOME HEALTHCARE,FL
103166,HOMEWOOD HOME HEALTH LLC,FL
103167,ALL ABOUT HOME CARE MANAGEMENT LLC,FL
103168,ELITE HOME HEALTH SERVICES LLC,FL
103169,MAYFLOWER HOME HEALTH AGENCY LLC,FL
103170,SIMONE HEALTH CARE LLC,FL
103171,CRUZ HEALTHCARE CORP,FL
103172,HOME CARE OF TAMPA BAY LLC,FL
103173,YODALYS HOME HEALTH CORP,FL
103174,FLORIDA FIRST CARE INC,FL
103175,QUALITY LIVING HOME HEALTH CARE LLC,FL
103176,SOUTH FLORIDA PEDIATRIC HOMECARE INC,FL
103177,CHOICE MANOR HOME CARE INC,FL
103178,JOMAREG HEALTH SERVICES,FL
103179,MGN HEALTHCARE SERVICES,FL
103180,PREFERRED TOUCH HOME CARE INC,FL
103183,ALLEGIANT HOME CARE,FL
103184,CENTRAL FLORIDA HOME HEALTH LLC,FL
103185,ATLANTIC HOME CARE LLC,FL
103186,ALLEANZA HEALTH CARE ASSOCIATES LLC,FL
103187,RENAISSANCE HEALTH GROUP INC,FL
103188,FIRST AT HOME INC,FL
103189,HATS HOME HEALTH NURSING SERVICES LLC,FL
103191,PROFESSIONAL NURSES HOME CARE INC,FL
103192,AMERIVITA HOME CARE INC,FL
103193,ACCREDITED HOME HEALTH CARE OF BROWARD INC,FL
103194,HEALTHQUEST INC,FL
103195,CAREGIVERS OF AMERICA INC,FL
103197,PRIMECARE HOME HEALTH,FL
107006,BAPTIST HOME HEALTH CARE,FL
107007,AMEDISYS HOME HEALTH,FL
107009,MUNROE REGIONAL HOMECARE LLC,FL
107017,KINDRED AT HOME,FL
107036,MEDERI CARETENDERS,FL
107037,VISITING NURSES ASSOCIATION OF SOUTHWEST FLORIDA I,FL
107073,GOLD COAST HOME HEALTH SERVICES,FL
107088,USA HOME HEALTH SERVICES,FL
107099,NHC HOMECARE,FL
107100,KINDRED AT HOME,FL
107101,CARTER HEALTHCARE,FL
107103,COMMUNITY HOME HEALTH SERVICES,FL
107110,CATHOLIC HOME HEALTH SERVICES OF BROWARD INC.,FL
107112,GENTIVA HEALTH SERVICES,FL
107115,TALLAHASSEE MEMORIAL HOME HEALTH CARE,FL
107117,MEDCARE HOME HEALTH SERVICES INC.,FL
107120,PALMS HOME CARE,FL
107125,SHANDS JACKSONVILLE HOME HEALTH SERVICES,FL
107132,KINDRED AT HOME,FL
107134,VISITING NURSE ASSOC. OF INDIAN RIVER COUNTY INC.,FL
107136,KINDRED AT HOME,FL
107139,PALMS HOME CARE,FL
107142,UF HEALTH SHANDS HOMECARE,FL
107150,A VISITING REDI-NURSE,FL
107151,AMEDISYS HOME HEALTH,FL
107155,HOME CARE SERVICES,FL
107159,COMMUNITY HOME HEALTH CARE,FL
107166,KINDRED AT HOME,FL
107168,KINDRED AT HOME,FL
107171,KINDRED AT HOME,FL
107177,VISITING NURSE ASSOCIATION OF FLORIDA INC,FL
107179,AMEDISYS HOME HEALTH,FL
107189,AMERICAN PROVIDERS INC.,FL
107191,LEE MEMORIAL HOME HEALTH INC.,FL
107200,KINDRED AT HOME,FL
107207,NURSE ON CALL,FL
107211,FLORIDA HOSPITAL HOME CARE SERVICES,FL
107212,BAYCARE HOME CARE INC,FL
107214,CARESERVICES OF BETHESDA LLC,FL
107216,MEDICAL SERVICES OF AMERICA HOME HEALTH,FL
107217,WUESTHOFF HEALTH SYSTEM HOME HEALTH,FL
107220,EMPATH HOME HEALTH,FL
107222,CITRUS HOME HEALTH INC,FL
107223,INTERIM HEALTHCARE GULF COAST INC,FL
107225,ORLANDO HEALTH HOME CARE,FL
107233,HEALTH FIRST HOME CARE,FL
107234,KINDRED AT HOME,FL
107236,BETTER@HOME,FL
107237,INTERIM HEALTHCARE OF THE TREASURE COAST INC.,FL
107240,KINDRED AT HOME,FL
107243,INTERIM HEALTHCARE GULF COAST INC,FL
107245,INTERIM HEALTHCARE OF GREATER ORLANDO,FL
107260,BAYCARE HOME CARE INC,FL
107263,VISITING NURSE ASSOCIATION OF THE FLORIDA KEYS,FL
107264,INTERIM HEALTHCARE OF ST AUGUSTINE,FL
107265,CARTER HEALTHCARE,FL
107271,NURSE ON CALL,FL
107272,DESOTO MEMORIAL HOME HEALTH CARE AGENCY,FL
