CertificationNO,Provider Name,State
167002,UNITYPOINT AT HOME,IA
167003,WATERLOO VISITING NURSING ASSOCIATION,IA
167005,UNITYPOINT AT HOME,IA
167012,GENESIS VNA,IA
167014,JOHNSON COUNTY VISITING NURSE ASSOCIATION,IA
167020,KEOKUK AREA HOSPITAL HOME HEALTH CARE,IA
167024,MARY GREELEY HOME HEALTH SERVICES,IA
167026,DES MOINES COUNTY HEALTH DEPARTMENT,IA
167030,COMMUNITY HEALTH SERVICES,IA
167033,WARREN COUNTY HEALTH SERVICES,IA
167034,HOME CARE SERVICES OF BOONE CO,IA
167035,WINNEBAGO COUNTY PHNS,IA
167038,WAPELLO COUNTY PHNS,IA
167039,WINNESHIEK COUNTY PHNS,IA
167040,MAHASKA HEALTH PARTNERSHIP COMMUNITY HEALTH,IA
167041,CEDAR COUNTY PUBLIC HEALTH NURSING SERVICES,IA
167042,MITCHELL COUNTY HOME HEALTH CARE/ PUBLIC HEALTH,IA
167043,WORTH COUNTY PHNS,IA
167045,WAYNE COUNTY PUBLIC HEALTH NURSING SERVICE,IA
167046,HARRISON COUNTY PUBLIC HEALTH,IA
167049,PALO ALTO COMMUNITY HEALTH,IA
167050,LOUISA COUNTY PHNS,IA
167051,FLOYD COUNTY PUBLIC HEALTH/ HOME HEALTH CARE,IA
167052,APPANOOSE COUNTY PUBLIC HEALTH,IA
167054,CERRO GORDO COUNTY DEPARTMENT OF PUBLIC HEALTH,IA
167055,LEE COUNTY HEALTH DEPARTMENT,IA
167056,GREENBELT HOME CARE,IA
167057,RINGGOLD COUNTY PUBLIC HEALTH,IA
167058,CLAYTON COUNTY VISITING NURSE ASSOCIATION,IA
167059,UNITYPOINT AT HOME,IA
167061,TAMA COUNTY PUBLIC HEALTH & HO,IA
167062,GRINNELL REGIONAL HOME CARE,IA
167063,VIRGINIA GAY HOSPITAL HOME HEALTH AGENCY,IA
167064,HANCOCK COUNTY HEALTH SYSTEM COMMUNITY HEALTH,IA
167066,CRAWFORD COUNTY HOME HEALTH HOSPICE & PUBLIC HEAL,IA
167067,MILLS COUNTY PUBLIC HEALTH,IA
167071,MYRTUE MED CENTER HOME HEALTH,IA
167073,MERCY HOME CARE SIOUX CITY,IA
