CertificationNO,Provider Name,State
137002,PANHANDLE HEALTH DISTRICT,ID
137006,ST ALPHONSUS HOME HEALTH AND HOSPICE,ID
137014,IDAHO HOME HEALTH & HOSPICE,ID
137016,INTERMOUNTAIN HOME CARE OF CASSIA,ID
137019,NORTH IDAHO HOME HEALTH,ID
137028,ST LUKES HOME CARE,ID
137032,BONNER GENERAL HOSPITAL HOME HEALTH,ID
137034,ST LUKES MAGIC VALLEY HOME HEALTH,ID
137048,INTEGRICARE OF EASTERN IDAHO,ID
137049,PROGRESSIVE NURSING SERVICES,ID
137057,AVALON HOME HEALTH,ID
137058,FRANKLIN COUNTY MEDICAL CENTER HOME CARE,ID
137062,MINIDOKA HOME HEALTH AGENCY,ID
137065,HORIZON HOME HEALTH,ID
137068,CARE AT HOME,ID
137069,BEAR LAKE MEMORIAL HOSPITAL HOME HEALTH,ID
137070,CREST HOME HEALTH & HOSPICE LLC,ID
137074,LOVING CARE AND MORE,ID
137077,ONEIDA COUNTY HOSPITAL HOME CARE,ID
137079,FAMILY HOME HEALTH,ID
137081,ASPEN HOME HEALTH SERVICES,ID
137090,REXBURG HOME HEALTH,ID
137091,ASPEN HOME CARE,ID
137092,TOUCHMARK HOME HEALTH,ID
137093,MULTICARE HOME HEALTH SERVICES INC,ID
137100,ENCOMPASS HOME HEALTH & HOSPICE OF IDAHO,ID
137102,HELPING HANDS HOME HEALTH,ID
137105,ENCOMPASS HOME HEALTH OF IDAHO,ID
137106,LEGACY HOME HEALTH,ID
137107,VISIONS HOME HEALTH,ID
137108,FIRST CHOICE HOME CARE,ID
137110,ACCESS HOME CARE,ID
137111,ONESOURCE HOME HEALTH,ID
137112,GENTIVA HEALTH SERVICES CDA,ID
137113,ENCOMPASS HOME HEALTH OF WESTERN IDAHO,ID
137114,HORIZON HOME HEALTH EAST,ID
137115,ALLIANCE HOME HEALTH OF IDAHO,ID
137116,ADVANCED HOME HEALTH,ID
137117,HERITAGE HOME HEALTH,ID
137119,EDEN HOME HEALTH,ID
137120,HANDS OF HOPE HOME HEALTH INC,ID
137121,ALL CARE HEALTH SOLUTIONS,ID
137122,A F S HOME HEALTH,ID
137123,HEARTS FOR HOME HEALTH - BOISE,ID
137124,HEARTS FOR HOME HEALTH - IDAHO FALLS,ID
137125,OMNIA HEALTH SERVICES LLC,ID
