CertificationNO,Provider Name,State
147000,VNA HEALTHCARE,IL
147001,NORTHSHORE UNIVERSITY HEALTHSYSTEM HOME & HOSPICE,IL
147003,MEMORIAL HOME SERVICES,IL
147006,LAWRENCE COUNTY HEALTH DEPT,IL
147009,UNITY POINT AT HOME,IL
147018,SOUTHWESTERN IL VISITING NURSE ASSOC,IL
147023,BOND COUNTY HEALTH DEPARTMENT,IL
147025,KISHHEALTH SYSTEMS HOME CARE,IL
147027,FRANKLIN WILLIAMSON BI COUNTY,IL
147029,VNA OF THE ROCKFORD AREA,IL
147031,BLESSING HOME CARE,IL
147034,EGYPTIAN HEALTH DEPARTMENT,IL
147039,VNA TIP HOMECARE,IL
147045,NORTHWESTERN LAKE FOREST HOSPITAL HOME HEALTH,IL
147047,NORTHWESTERN MEDICINE HOME HEALTH & HOSPICE,IL
147050,NURSES PLUS HOME HEALTHCARE,IL
147052,CALHOUN COUNTY HEALTH DEPARTME,IL
147057,PEKIN MEMORIAL HOSPITAL HOME HEALTH,IL
147063,JERSEY COUNTY HEALTH DEPT,IL
147065,PIKE COUNTY HEALTH DEPARTMENT,IL
147075,HENRY COUNTY HEALTH DEPARTMENT,IL
147086,CLAY HOME HEALTH SERVICES,IL
147088,SSM HEALTH AT HOME HEALTH-ILLINOIS,IL
147091,GREENE COUNTY HEALTH DEPT,IL
147094,NORTHWEST COMMUNITY HOSPITAL H,IL
147105,PRESENCE HOME CARE-KANKAKEE,IL
147111,ADVOCATE HOME HEALTH SERVICES,IL
147112,VNA TIP HOMECARE,IL
147113,OSF SAINT ANTHONY'S HOME HEALTH,IL
147126,SWEDISH COVENANT HOSPITAL HOME,IL
147131,HOME HEALTH CARE OF KSB HOSPIT,IL
147132,PRESENCE HOME CARE-URBANA,IL
147142,GRAHAM HOSPITAL ASSOCIATION,IL
147147,FAYETTE COUNTY HEALTH DEPT,IL
147150,ADVOCATE HOME HEALTH CARE SERV,IL
147151,IN-HOME CARE VNA,IL
147159,HANCOCK COUNTY HEALTH DEPARTME,IL
147161,PERRY COUNTY HEALTH DEPARTMENT,IL
147175,CRAWFORD MEMORIAL HOME HEALTH,IL
147178,HENDERSON COUNTY HEALTH DEPART,IL
147182,INTERIM HEALTHCARE INC.,IL
147187,RICHLAND MEM. HOSP. HM. HLTH.,IL
147195,HOME CARE OF CENTRAL ILLINOIS,IL
147202,MASON DISTRICT HOSPITAL HOME HEALTH,IL
147204,WESTERN ILL HOME HLTH CARE  IN,IL
147206,DECATUR MEM HOSP HOME HLTH SVS,IL
147207,ADVENTIST HEALTH CARE AT HOME,IL
147211,DIMENSIONS HOME HEALTH CARE LLC,IL
147213,VITAL MEASUREMENTS INC.,IL
147214,HOME HEALTHCARE RENEWAL SERVICES INC,IL
147221,CASS COUNTY HOME HEALTH AGENCY,IL
147222,ST. JOHNS HOSPITAL HOME HEALTH,IL
147224,INTERIM HEALTHCARE SERV. OF JO,IL
147241,CARLE HOME CARE,IL
147243,ST. FRANCIS MEDICAL CENTER,IL
147244,MEDICAL PROFS FOR HOME HEALTH,IL
147251,REGIONAL HOME CARE - CROSSROADS,IL
147257,LOYOLA UNIV CTR FOR HM CARE,IL
147259,UNITYPOINT AT HOME-PEORIA,IL
147263,QUALITY HOME HEALTH INC.,IL
147267,ST. JAMES HOME HEALTH SERVICE,IL
147271,SAINT ANTHONY MEDICAL CENTER FOR HOME CARE,IL
147280,SHAY HEALTHCARE SERVICES INC.,IL
147285,VANGUARD HOME CARE,IL
147289,CARETENDERS VISITING SERVICES OF SOUTHERN ILLINOIS,IL
147292,VNA HEALTHTRENDS LTD.,IL
147293,MDH HOME HEALTH CARE,IL
147296,BETHANY HOMES AND METHODIST HOSPITAL,IL
147299,QUAD COUNTY HOME HEALTH AGENCY,IL
147302,SAINT MARGARET HOME CARE,IL
147311,DEACONESS VNA PLUS LLC,IL
147315,SOUTHERN ILLINOIS HOME CARE,IL
147400,R.M.C. HOME HEALTH CARE,IL
147404,LITTLE COMPANY OF MARY HOSPITAL,IL
147405,METROSOUTH HOME HEALTH,IL
147407,AMEDISYS HOME HEALTH,IL
147411,CARDIO CARE INC.,IL
147416,SUMMIT HOME HEALTH,IL
147419,HARRISBURG MED CTR INC HH,IL
147420,ANDERSON HOME HEALTH SERVICES,IL
147428,KINDRED AT HOME,IL
147430,OSF HOME HEALTH-WESTERN REGION,IL
147435,INGALLS HOME CARE INC.,IL
147443,MEMORIAL HOSPITAL HOME CARE,IL
147448,SWEDISHAMERICAN HH CARE MED S,IL
147450,HOME HLTH SVCE OF HAMMOND HENR,IL
147451,OSF HOME HEALTH-EASTERN REGION,IL
147452,SILVER CROSS HOME HEALTH,IL
147454,PRESENCE HOME CARE SERVICES,IL
147455,CENTEGRA HOME HEALTH CARE,IL
147459,PRAIRIELAND HOME CARE,IL
147469,GIBSON HEALTH SERVICES,IL
147470,PALOS COMMUNITY HOSPITAL HOME HEALTH CARE,IL
147473,NURSING CARE  INC.,IL
147479,PRESENCE HOME CARE ELGIN,IL
147481,PRESENCE HOME CARE JOLIET,IL
147486,RED BUD REGIONAL HOME CARE,IL
147490,ALTERNA CARE INC.,IL
147492,PRIVATE HOME CARE UNLIMITED  I,IL
147498,NIGHTENGALE OF CHICAGO  INC.,IL
147503,GAFFEY HOME NURSING & HOSPICE,IL
147504,INDEPENDENCE PLUS  INC.,IL
147508,LEXINGTON HOME HEALTH CARE INC,IL
147530,SPOON RIVER HOME HLTH SERVICES,IL
147535,PLATINUM HOME HEALTH SERVICES INC,IL
147536,OPTION CARE,IL
147538,GENTLEPRO HOME HEALTH CARE,IL
147545,CARING PROFESSIONALS HOME CARE,IL
147559,PROVIDENCE AT HOME,IL
147561,ANREX HEALTH CARE,IL
147562,CGH HOME NURSING,IL
147567,ALLBEST HOME HEALTH CARE INC,IL
147568,RESIDENTIAL HOME HEALTH,IL
147569,APPLE HOME HEALTHCARE,IL
147577,HOME HEALTH NETWORK INC,IL
147580,ADVANTAGE HOME HEALTH INC.,IL
147583,ALEXIAN BROTHERS HOME HEALTH,IL
147585,HOME HEALTH CARE PLUS  INC.,IL
147586,IROQUOIS HOME HEALTH,IL
147587,CROWN HOME HEALTH AGENCY INC.,IL
147589,COMPREHENSIVE HOME CARE INC.,IL
147591,SHERRICK HOME HEALTH,IL
147594,LINCOLNLAND HOME CARE OF SBL,IL
147597,NURSING RESOURCE HOME HEALTH,IL
147600,PEDIATRIC SERVICES OF AMERICA D/B/A PSA HEALTHCARE,IL
147601,PRIME CARE RESOURCE  INC,IL
147602,VITAL HOME AND HLTH CARE INC.,IL
147606,QUALITY HOME CARE SERVICES LTD,IL
