CertificationNO,Provider Name,State
197005,HH AGENCY OF LAKE CHARLES MEMO,LA
197014,PROFESSIONAL HH SERVICES OF NATCHITOCHES,LA
197015,CHRISTUS HOMECARE ST PATRICK,LA
197018,PROFESSIONAL HOME HEALTH SERVICES,LA
197019,PROFESSIONAL HHS OF BATON ROUGE,LA
197020,PROFESSIONAL HH SVCS OF CADDO,LA
197023,SOUTHEAST LOUISIANA HOME HEALTH LLC,LA
197024,PROFESSIONAL HHS OF SOUTHWEST LOUISIANA,LA
197026,PROFESSIONAL HH SVC OF MINDEN,LA
197031,PROFESSIONAL HHS OF MONROE,LA
197037,CONCERNED CARE HOME HEALTH INC,LA
197038,EVANGELINE HOME HEALTH CARE AGENCY,LA
197039,JEFF DAVIS HOME HEALTH,LA
197044,SYNERGY HOME CARE-CENTRAL REGION INC,LA
197052,LOUISIANA HOMECARE,LA
197056,HME HLTH DEPT WILLIS KNIGHTON,LA
197057,LOURDES HOME HEALTH,LA
197058,LASALLE GEN HOSP HOME HEALTH AGENCY,LA
197060,ACADIAN HOMECARE LLC,LA
197062,MEDSOURCE HOME HEALTH,LA
197063,LOUISIANA HOMECARE OF MISS-LOU,LA
197074,CHRISTUS HOMECARE SCHUMPERT,LA
197084,GLENWOOD HOME HEALTH SERVICES,LA
197086,BEST HOME HEALTH,LA
197089,DELHI HOME CARE,LA
197091,ST FRANCIS MEDICAL CENTER HOME HEALTH,LA
197095,SUPREME HOME HEALTH SERVICE INC,LA
197097,OMNI HOME CARE,LA
197099,FELICIANA HOME HEALTH,LA
197102,FELICIANA HOME HEALTH SOUTH,LA
197104,SLIDELL MEMORIAL HOSPITAL HOME HEALTH,LA
197112,OCHSNER HOME HEALTH - WEST BANK,LA
197113,HOME CARE TLC,LA
197114,BUNKIE HOMECARE,LA
197115,STAT HOME HEALTH NORTH LLC,LA
197119,OCHSNER HOME HEALTH OF RACELAND,LA
197120,MEDISTAR HOME HEALTH,LA
197121,DELTA HOME CARE INC.,LA
197122,TRITON HOME HEALTH LLC,LA
197123,APEX HOME HEALTH LLC,LA
197124,SYNERGY HOME CARE-CAPITOL REGION INC,LA
197135,WEST CARROLL MEM. HOSPITAL HOME,LA
197136,ST LANDRY HOMECARE,LA
197142,TRUCARE HOME HEALTH LLC,LA
197143,AMERACARE HOME HEALTH,LA
197149,LANE HOME HEALTH AN AFFILIATE OF LANE REG MEDICAL,LA
197154,POINTE COUPEE HOMEBOUND HEALTH,LA
197156,OCHSNER HOME HEALTH OF COVINGTON,LA
197159,LOUISIANA HOMECARE OF ALEXANDRIA,LA
197161,THOMPSON HOME HEALTH,LA
197163,BATON ROUGE GENERAL HOME HEALTH,LA
197167,AMEDISYS HOME HEALTH,LA
197168,ST. TAMMANY HOSPITAL HOME HEALTH,LA
197170,UNITED HOME HEALTH CARE OF SHREVEPORT,LA
197178,WEST CALCASIEU CAMERON HOSPITAL HHA,LA
197179,PULSE HOME HEALTH CARE INC,LA
197181,FELICIANA HOME HEALTH WEST,LA
197183,BEAUREGARD MEMORIAL HOSP HHA,LA
197187,HOME HEALTH CTR OF THIBODAUX,LA
197192,FELICIANA HOME HEALTH EAST,LA
197193,MINDEN MEDICAL CENTER HHA,LA
197194,CAMELLIA HOME HEALTH,LA
197195,EGAN HEALTHCARE OF PLAQUEMINES INC,LA
197197,WINN HOME HEALTH CARE INC,LA
197199,CENTRAL LA HOME HEALTH CARE LLC,LA
197200,CYPRESS HOME HEALTH,LA
197203,OCHSNER HOME HEALTH OF KENNER LLC,LA
197204,BETTER CARE HOME HEALTH INC.,LA
197205,HOLISTIC HOME HEALTH CARE INC,LA
197206,LADY OF THE SEA HOME HEALTH AGENCY,LA
197209,TOURO AT HOME TOURO INFIRMARY,LA
197210,HAVEN HOME HEALTH INC,LA
197211,ADVANTAGE HOME HEALTH CARE INC,LA
197213,HEALTH CARE OPTIONS INC,LA
197215,SYNERGY HOME CARE - SOUTHEASTERN REGION INC,LA
197216,AMEDISYS HOME HEALTH CARE,LA
197222,PRIMECARE NETWORK OF MONROELLC,LA
197226,MEDISTAR HOME HEALTH,LA
197231,CHRISTIAN HOME HEALTH CARE INC,LA
197232,MEDISTAR HOME HEALTH,LA
197240,EXCELLENT HOME HEALTH CARE LLC,LA
197242,AMEDISYS HOME HEALTH,LA
197244,EGAN HEALTHCARE SERVICES INC.,LA
197247,ARK LA TEX HOME HEALTH  INC.,LA
197252,FAMILYLIFE HOME HEALTH,LA
197253,SYNERGY HOME CARE-NORTHEASTERN REGION INC,LA
197256,PEDIATRIC HOME CARE 2000,LA
197258,CHASE HEALTH CARE INC.,LA
197259,CLAIBORNE HOME HEALTH,LA
197260,THOMPSON HOME HEALTH,LA
197263,AMEDISYS HOME HEALTH,LA
197265,HOME HEALTH CARE 2000-LAKE CHARLES,LA
197266,RICHARDSON MEDICAL CENTER HOMECARE LLC,LA
197272,CAPITAL REGION HOME HEALTH INC,LA
197274,LAMM FAMILY CARE HOME HEALTH,LA
197276,MEDISTAR HOME HEALTH,LA
197278,R&R HOME CARE INC.,LA
197294,PSA HEALTHCARE,LA
197295,MANGHAM HOME CARE INC.,LA
197296,SERENITY HOMECARE,LA
197297,NURSING SPECIALTIES,LA
197312,THE MEDICAL TEAM INC,LA
197315,SYNERGY HOME CARE-ACADIANA REGION INC,LA
197317,MEDISTAR HOME HEALTH,LA
197325,FAMILY HOME HEALTH AGENCY,LA
197327,PROGRESSIVE HOME HEALTH CARE,LA
197333,HEALTH CARE OPTIONS OF LAFAYETTEINC,LA
197334,SYNERGY HOME CARE-NORTHWESTERN REGION INC,LA
197401,INTENSIVE HOME HEALTH CARE INC,LA
197402,NATIONAL HOME CARE SERVICES,LA
197403,AAA HOME HEALTH AGENCY INC,LA
197413,VERNON HOME HEALTH,LA
197415,TENSAS HOME HEALTH INC,LA
197417,PRIMECARE NETWORK L.L.C.,LA
197419,INNOVATIVE HOME HEALTH SERVICE INC,LA
197423,DELTA HOME HEALTH SOUTH,LA
197425,SUPERIOR HOME HEALTH CARE INC,LA
197426,COLLINS HAWORTH HOME HEALTH,LA
197431,ABIDE HOME CARE SERVICES INC,LA
197437,AMEDISYS HOME HEALTH,LA
197440,TLC HOME HEALTH CARE,LA
197443,AMEDISYS HOME HEALTH,LA
197444,PRESTIGE HOME CARE INC,LA
197446,FIRST CHOICE HOME HEALTH AGENCY,LA
197447,MAGNOLIA HOME HEALTH CARE INC,LA
197451,FOUR RIVERS HOME HEALTH OF LOU,LA
197453,HOME HEALTH CARE 2000 - LAFAYETTE,LA
197454,FIRST OPTION HOME HEALTH,LA
197455,HEALING HANDS HOME HEALTH INC,LA
197456,COMPLETE HOME HEALTH INC.,LA
197458,LAGNIAPPE HOMECARE ALEXANDRIA,LA
197460,UNITED HOME CARE INC.,LA
197461,ACTS HOME HEALTH CARE INC.,LA
