CertificationNO,Provider Name,State
247001,HENNEPIN HOME HEALTH CARE INC,MN
247004,NORTH SHORE HEALTH,MN
247005,RICE COUNTY PHNS,MN
247008,MVNA,MN
247009,STEELE COUNTY PHNS,MN
247010,FILLMORE COUNTY PHNS,MN
247011,ACCRA HOME HEALTH INC,MN
247019,BETHESDA HOME HEALTH,MN
247021,HOME CARE LINK,MN
247024,GOOD SAMARITAN HOME CARE,MN
247029,UNIVERSAL PEDIATRICS,MN
247040,ECUMEN HOME CARE - LAKESHORE,MN
247047,CASS CO PUBLIC HEALTH SERVICES,MN
247049,PIPESTONE CO HOME HLTH AGENCY,MN
247055,INTER COUNTY NURSING SERVICE,MN
247056,LE SUEUR COUNTY PUBLIC HEALTH,MN
247057,BELTRAMI COUNTY HEALTH & HUMAN SERVICES,MN
247061,TODD COUNTY PHNS,MN
247063,BROWN COUNTY PUBLIC HEALTH,MN
247071,CARING HANDS HOME CARE,MN
247074,HOUSTON COUNTY PUBLIC HEALTH NURSING SERVICE,MN
247078,FAIRVIEW HOME CARE AND HOSPICE,MN
247079,DES MOINES VALLEY HEALTH & HS,MN
247080,RENVILLE COUNTY PHNS,MN
247082,HEARTLAND HOME HC AND HOSPICE,MN
247083,CLEARWATER CO NSG SERVICE,MN
247087,PRESBYTERIAN HOMES HOME CARE,MN
247089,ECUMEN HOME CARE - TWIN CITIES,MN
247093,INTREPID USA HEALTHCARE SERVICES,MN
247094,LIFECARE HOME CARE,MN
247096,WHITE EARTH HOME HEALTH,MN
247098,ST LUKES HOME CARE,MN
247103,KITTSON MEMORIAL HOME HEALTHCARE,MN
247104,INTERIM HEALTHCARE OF THE TWIN CITIES,MN
247110,CHILDRENS HOME CARE AND HOSPICE,MN
247111,MADISON HOSPITAL HHA,MN
247113,ALL HOMECARING,MN
247117,CENTRACARE HEALTH HOME CARE,MN
247120,GRANITE FALLS MUN HOSP & MANOR,MN
247124,LAKEWOOD HEALTH SYSTEM HOME CARE & HOSPICE,MN
247126,KANABEC PINE COMMUNITY HEALTH,MN
247127,SPECTRUM COMMUNITY HEALTH INC,MN
247133,LAKE REGION HOME HEALTH,MN
247137,COUNTRY MANOR EXTENDED SERVICES,MN
247138,NORTHFIELD HOME CARE,MN
247145,GENTIVA HEALTH SERVICES,MN
247151,PARK NICOLLET METHODIST HOSPITAL CARE SVCS,MN
247152,CLARKFIELD HOME HEALTH AGENCY,MN
247154,INTREPID USA HEALTHCARE SERVICES,MN
247156,SACRED HEART HOME HEALTH CARE,MN
247158,HENDRICKS COMMUNITY HOSPITAL ASSN & RETIREMENT HOM,MN
247160,SANFORD CANBY MEDICAL CENTER,MN
247161,COMFORT HEALTH,MN
247164,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA,MN
247166,HEALTHEAST HOME CARE,MN
247168,RIDGEVIEW HOME CARE SERVICES,MN
247171,HOMEHEALTH PARTNERSHIP,MN
247172,ELY BLOOMENSON HOSPITAL HHA,MN
247176,MAYO CLINIC HEALTH SYSTEM - RED WING HOME CARE,MN
247177,INTEGRATED HOME CARE,MN
247180,STANLEY JONES AND ASSOCIATES INC,MN
247183,HEALTHLINE HOMECARE,MN
247185,RECOVER HEALTH,MN
247186,TYLER HOME CARE,MN
247188,SANFORD WORTHINGTON  HOME CARE AGENCY,MN
247194,MILLE LACS HOME CARE,MN
247195,CHARTER HOUSE HOME HLTH AGENCY,MN
247196,LAKELAND HOMECARE,MN
247200,HERITAGE HOME HEALTH & HOSPICE,MN
247202,MADELIA COMMUNITY HOSPITAL HOME CARE,MN
247203,ORTONVILLE AREA HEALTH SER HHA,MN
247209,BAYADA HOME HEALTH CARE INC,MN
247211,FAIRVIEW LAKES HOMECARING HOSP,MN
247212,GLACIAL RIDGE HOME CARE,MN
247213,CHI HEALTH AT HOME,MN
247214,ESSENTIA HEALTH FOSSTON HOME HEALTH,MN
