CertificationNO,Provider Name,State
337003,CHEMUNG CO DEPT HEALTH CHHA,NY
337004,CATTARAUGUS COUNTY DEPARTMENT OF HEALTH CHHA,NY
337005,VNA OF STATEN ISLAND,NY
337006,VNA OF WESTERN NY CHHA,NY
337008,VNS OF NY HOME CARE CHHA  (MANHATTAN),NY
337009,MONTEFIORE MED CTR HOME CARE  CHHA,NY
337010,VNS ROCHESTER MONROE CO CHHA,NY
337012,VISITING NURSE ASSOCIATION OF HUDSON VALLEY,NY
337014,VNS & HOSPICE OF SUFFOLK INC CHHA,NY
337019,VNA HOME HEALTH,NY
337023,HCR / HCR HOME CARE  CHHA  (HUDSON FALLS),NY
337024,HCR / HCR HOME CARE  CHHA  (PLATTSBURGH),NY
337030,SUFFOLK CO DOH SVS BUR OF PUB HLTH NURSING CHHA,NY
337036,LAWRENCE HOME CARE OF WESTCHESTER,NY
337042,WESTCHESTER CO DOH CHHA,NY
337045,WARREN CO HLTH SVS CHHA,NY
337052,VNA CENTRAL NEW YORK CHHA,NY
337054,FOCUS HOME CARE AT OTSEGO,NY
337056,JEFFERSON CO PUB HLTH SVS CHHA,NY
337061,M J H S  HOME CARE,NY
337066,LIFETIME CARE CHHA,NY
337076,VISITING NURSE SERVICE OF NORTHEASTERN NEW YORK,NY
337078,VNA UTICA AND ONEIDA CO CHHA,NY
337081,HCR / HCR HOME CARE  CHHA  (HOMER),NY
337083,HCR / HCR HOME CARE  CHHA  (ONEONTA),NY
337086,FRANKLIN COUNTY PUBLIC HEALTH SERVICES CHHA,NY
337107,GOOD SAMARITAN HOSPITAL HOME CARE DEPARTMENT CHHA,NY
337108,BROOKHAVEN MEM HOSP CHHA,NY
337117,GENESEE COUNTY HEALTH DEPT,NY
337118,ESSEX COUNTY PUBLIC HEALTH NURSING SVC  CHHA,NY
337119,HCR / HCR HOME CARE  CHHA  (EAST SYRACUSE),NY
337122,HHC HEALTH & HOME CARE,NY
337136,LEWIS COUNTY GENERAL HOSPITAL CHHA,NY
337140,DOMINICAN SISTERS FAMILY HEALTH SERVICES CHHA,NY
337143,VISITING NURSE ASSOCIATION OF LONG ISLAND INC,NY
337146,VNS WESTCHESTER CHHA,NY
337147,CATHOLIC HOME CARE,NY
337148,NORTH SHORE HOME CARE CHHA,NY
337150,ORANGE CO PUBLIC HEALTH CHHA,NY
337165,SULLIVAN COUNTY PUBLIC HEALTH SERVICES CHHA,NY
337168,NYACK HOSP HOME CARE CHHA,NY
337170,LONG ISLAND JEWISH MC CHHA,NY
337172,COLUMBIA COUNTY DOH DIVISION OF NRSG CHHA,NY
337173,HAMILTON CO PUBLIC HEALTH CHHA,NY
