CertificationNO,Provider Name,State
367001,WYANDOT COUNTY HOME HEALTH AGENCY,OH
367002,VISITING NURSE SERVICE,OH
367010,HOME CARE OF LAKE COUNTY INC,OH
367011,COSHOCTON CITY HOME HEALTH AGENCY,OH
367016,VISITING NURSE SERVICE,OH
367021,NOBLE COUNTY HOME HEALTH AGENCY,OH
367022,VISITING NURSE ASSOCIATION OF CLEVELAND,OH
367034,PUBLIC HEALTH - DAYTON & MONTGOMERY COUNTY,OH
367039,VISITING NURSE ASSOCIATION THE,OH
367055,ADAMS COUNTY HOMECARE LLC,OH
367059,MORROW COUNTY HOSPITAL HOME HEALTH,OH
367061,OHIO'S CHOICE HOME HEALTH,OH
367067,CINCINNATI HEALTH DEPT - HOME HEALTH PROGRAM,OH
367069,SALEM AREA VISITING NURSE ASSOCIATION,OH
367070,HEALTH SERVICES OF COSHOCTON COUNTY,OH
367076,PUTNAM COUNTY HOMECARE,OH
367077,ROBINSON VISITING NURSE & HOSPICE,OH
367079,KNOX COUNTY HEALTH DEPARTMENT,OH
367085,SHELBY HOME AND PUBLIC HEALTH INC,OH
367087,SOUTHERN OHIO MEDICAL CENTER HOME HEALTH SERVICES,OH
367089,MERCER HEALTH HOME CARE,OH
367094,ALLIANCE VISITING NURSE ASSOCIATION & HOSPICE,OH
367097,ROSS COUNTY HOME HEALTH AGENCY,OH
367102,BRIDGE HOME HEALTH AND HOSPICE,OH
367103,VINTON COUNTY HEALTH DEPARTMENT HOME HEALTH AGENCY,OH
367114,GENESIS HOME CARE,OH
367117,HOLZER HOME CARE,OH
367118,SOUTHWEST REGIONAL MEDICAL CENTER- HOME CARE,OH
367128,ASHTABULA REGIONAL HOME HEALTH,OH
367131,COMMUNITY HEALTH PROFESSIONALS INC,OH
367134,OHIO VALLEY HOME HEALTH SERVICES INC,OH
367135,TRINITY HOME HEALTH,OH
367137,CARETENDERS VNA,OH
367139,HARRISON COMMUNITY HOSPITAL HOME HEALTH AGENCY,OH
367140,OTTAWA COUNTY HEALTH DEPT,OH
