CertificationNO,Provider Name,State
387000,HARNEY COUNTY HOME HEALTH,OR
387003,AMEDISYS HOME HEALTH CARE,OR
387007,KAISER PERMANENTE HOME HEALTH AGENCY,OR
387016,PROVIDENCE  MEDFORD HOME CARE,OR
387023,SACRED HEART HOME HEALTH,OR
387026,ST CHARLES HOME HEALTH SERVICES,OR
387032,ST ANTHONY HOME CARE SERVICES,OR
387033,MERCY MEDICAL CENTER HOME HEALTH AGENCY,OR
387037,GRANDE RONDE HOSPITAL HOME CARE SERVICES,OR
387038,PIONEER MEMORIAL HOME HEALTH,OR
387039,BAY AREA HOSPITAL HOME HEALTH AGENCY,OR
387041,VISITING HEALTH SERVICES,OR
387045,BLUE MOUNTAIN HOME HEALTH AGENCY,OR
387047,ADVENTIST HOME HEALTH - PORTLAND,OR
387048,PROVIDENCE HOME HEALTH,OR
387057,CASCADE HEALTH SOLUTIONS,OR
387062,TUALITY HOME HEALTH,OR
387064,ASANTE ASHLAND COMMUNITY HOSPITAL HHA,OR
387066,PEACE HARBOR HOME HEALTH,OR
387067,PARTNERS HOME HEALTH,OR
387074,PROVIDENCE BENEDICTINE HOME HEALTH,OR
387075,SKY LAKES HOME HEALTH,OR
387076,THREE RIVERS HOMECARE,OR
387077,SAMARITAN PACIFIC HOME HEALTH,OR
387079,COQUILLE VALLEY HOSPITAL HOME HEALTH AGENCY,OR
387086,SAMARITAN NORTH LINCOLN HOSPITAL HOME HEALTH,OR
387087,COASTAL HOME HEALTH & HOSPICE,OR
387089,WALLOWA MEMORIAL HOSPITAL HOME HEALTH,OR
387090,GOOD SHEPHERD HOME HEALTH,OR
387092,GOOD SAMARITAN REGIONAL MEDICAL CENTER HOME HEALTH,OR
387093,SALEM HOME CARE LLC,OR
387098,ACCENTCARE HOME HEALTH OF ROGUE VALLEY LLC,OR
387108,ADVANCED HOME HEALTH NW OF YAMHILL VALLEY,OR
387122,COLUMBIA MEMORIAL HOSPITAL HOME HEALTH,OR
387127,BROOKDALE HOME HEALTH PORTLAND,OR
387130,ASHER HOME HEALTH AGENCY,OR
387135,PACIFIC HOME HEALTH & HOSPICE,OR
387136,AMEDISYS HOME HEALTH CARE,OR
387140,SIGNATURE HOME HEALTH,OR
387141,LAKEVIEW HOME HEALTH CARE,OR
387142,SIGNATURE HOME HEALTH,OR
387143,RIVERSIDE HOME HEALTH CARE INC,OR
387146,CONNECTED HOME HEALTH,OR
387147,FIRST CALL HOME HEALTH AGENCY LLC,OR
387148,SIGNATURE HOME HEALTH CARE,OR
387149,GOOD SAMARITAN SOCIETY EUGENE HOME HEALTH,OR
387150,ENCOMPASS HOME HEALTH OF OREGON,OR
387151,MARQUIS AT HOME,OR
387155,AVALON HOME HEALTH LLC,OR
387156,WVP HOME HEALTH,OR
387157,HEALTHY LIVING AT HOME - MEDFORD LLC,OR
387158,GOLDEN TOUCH HOME HEALTHCARE,OR
387159,CARE AT HOME INC,OR
387160,ADVANCED HOME HEALTH NW OF PORTLAND,OR
387161,OREGON CONTINENTAL HOME HEALTH CARE INC,OR
387162,HEALTHY LIVING AT HOME - PORTLAND LLC,OR
387311,AMEDISYS HOME HEALTH CARE,OR
387312,ADVENTIST HOME HEALTH  - TILLAMOOK,OR
