CertificationNO,Provider Name,State
417000,VNS OF NEWPORT & BRISTOL COUNTIES INC,RI
417001,VNA OF RHODE ISLAND,RI
417003,VISITING NURSE HOME CARE,RI
417006,VNA OF CARE NEW ENGLAND,RI
417023,VNS HOME HEALTH SERVICES,RI
417029,CHARTERCARE HOME HEALTH SERVICES,RI
417035,ASSISTED DAILY LIVING INC.,RI
417036,AMEDISYS HOME HEALTH CARE,RI
417038,SAINT ELIZABETH AT HOME,RI
417040,CONSISTENT CARE CORP,RI
417045,CAPITOL HOME CARE NETWORK INC,RI
417049,CONCORD HOME HEALTH SERVICES,RI
417051,HOME CARE ADVANTAGE CHC,RI
417054,H & T MEDICALS INC,RI
417055,NURSING PLACEMENT HOME HEALTH CARE SERVICES INC,RI
417057,BAYADA HOME HEALTH CARE INC,RI
417058,LIFE CARE AT HOME,RI
417059,BROOKDALE HOME HEALTH RI,RI
417061,INDEPENDENCE HEALTH SERVICES LLC,RI
417062,HOMEFRONT HEALTH CARE,RI
417063,CEDAR HOME HEALTH LLC,RI
417064,INFUSION RESOURCE LLC,RI
417065,DEPENDABLE HEALTHCARE SERVICES LLC,RI
417066,PINNACLE HOME CARE LLC,RI
417067,MAXIM HEALTHCARE SERVICES INC,RI
417068,HOPE NURSING HOME CARE LLC,RI
417069,LIFETIME MEDICAL SUPPORT SERVICES,RI
