CertificationNO,Provider Name,State
427000,SC DHEC HOME HEALTH SERVICES,SC
427001,LIBERTY HOMECARE AND HOSPICE LLC,SC
427004,FRANKLIN C FETTER HOME HEALTH,SC
427005,AMEDISYS HOME HEALTH OF CHARLESTON,SC
427006,BEAUFORT JASPER HOME HEALTH,SC
427007,SEA ISLAND HOME HEALTH,SC
427009,INTREPID USA HEALTHCARE SERVICES,SC
427010,TRI COUNTY HOME HEALTH,SC
427013,PALMETTO HEALTH HOMECARE,SC
427015,INTERIM HEALTHCARE GREENVILLE,SC
427017,GENTIVA HEALTH SERVICES,SC
427018,HOME HEALTH SERVICES OF SELF REGIONAL HEALTHCARE,SC
427020,CHESTERFIELD VISITING NURSES,SC
427024,SPARTANBURG REGIONAL HOME HEALTH,SC
427025,INCARE HOME HEALTH  INC,SC
427027,AMEDISYS HOME HEALTH OF CHARLESTON EAST,SC
427029,GHS HOME HEALTH AGENCY,SC
427030,VNA OF GREATER BAMBERG,SC
427032,ANMED HOME HEALTH AGENCY,SC
427034,HOME CARE OF LANCASTER,SC
427035,GENTIVA HEALTH SERVICES,SC
427036,AMEDISYS HOME HEALTH OF CAMDEN,SC
427037,FLORENCE VISITING NURSES SERVI,SC
427039,AMEDISYS HOME HEALTH OF LEXINGTON,SC
427042,ROPER-ST. FRANCIS HOME HEALTH,SC
427045,GENTIVA HEALTH SERVICES,SC
427046,KERSHAWHEALTH HOME HEALTH,SC
427048,AMEDISYS HOME HEALTH OF BLUFFTON,SC
427049,ST FRANCIS HOSPITAL HOMECARE,SC
427051,ISLAND HEALTH CARE INC,SC
427055,PHC HOME HEALTH,SC
427057,MCLEOD HOME HEALTH  INC,SC
427058,CAROLINAS HOME HEALTH,SC
427061,GENTIVA HEALTH SERVICES,SC
427063,NEIGHBORS CARE HOME HEALTH AGENCY AN AMEDISYS CO,SC
427064,NHC HOMECARE - PIEDMONT,SC
427065,AMEDISYS HOME HEALTH OF GEORGETOWN,SC
427067,AMEDISYS HOME HEALTH OF MYRTLE BEACH,SC
427068,AMEDISYS HOME HEALTH CARE,SC
427074,HOSPICE CARE OF THE LOWCOUNTRY,SC
427075,NHC HOMECARE GREENWOOD,SC
427076,HEALTH RELATED HOME CARE,SC
427077,NHC HOMECARE AIKEN,SC
427078,PALMETTO HEALTH TUOMEY HOME HEALTH,SC
427079,NHC HOMECARE LAURENS,SC
427081,CARING NEIGHBORS HOME HEALTH,SC
427108,CLARENDON MEMORIAL HOME HEALTH,SC
427109,SOUTH CAROLINA HOMECARE,SC
427110,HOME CARE OF TRMC,SC
427112,AMEDISYS HOME HEALTH OF CONWAY,SC
427114,GHS HOME HEALTH AGENCY-OCONEE,SC
427116,AMEDISYS HOME HEALTH OF CLINTON,SC
427117,GENTIVA HEALTH SERVICES,SC
427119,TRINITY HOME HEALTH OF AIKEN,SC
427120,LIBERTY HOME CARE LLC,SC
427121,LIBERTY HOME CARE LLC,SC
427123,PRUITTHEALTH HOME HEALTH-LOW COUNTRY,SC
427124,NHC HOMECARE MURRELLS INLET,SC
427125,HOME HELPERS OF BLUFFTON,SC
427126,TIDEWATER HOME HEALTH PA,SC
427127,NHC HOMECARE BEAUFORT,SC
427128,CARESOUTH HOMECARE PROFESSIONALS,SC
427129,PRUITTHEALTH HOME HEALTH-FLORENCE,SC
427130,PRUITTHEALTH HOME HEALTH-CHESTER,SC
427300,UNIVERSITY HOME HEALTH,SC
427302,NHC HOME CARE MIDLANDS,SC
427303,NHC HOMECARE - LOW COUNTRY,SC
427304,AMEDISYS HOME HEALTH OF BEAUFORT,SC
427846,GENTIVA HEALTH SERVICES,SC
427850,GENTIVA HEALTH SERVICES,SC
427854,GENTIVA HEALTH SERVICES,SC
427856,GENTIVA HEALTH SERVICES,SC
427858,DHEC REGION 4 HOME HEALTH SERVICES- WEST,SC
