CertificationNO,Provider Name,State
467001,COMMUNITY NURSING SERVICES,UT
467004,INTERMOUNTAIN HOMECARE OGDEN,UT
467012,IRON COUNTY HOME HEALTH AGENCY,UT
467016,INTERMOUNTAIN HOMECARE HOME HEALTH MT PLEASANT,UT
467024,INTERMOUNTAIN HOMECARE HOME HEALTH LOGAN,UT
467025,APPLEGATE HOMECARE,UT
467030,INTERMOUNTAIN HOMECARE HOME HEALTH SALT LAKE,UT
467033,INTERMOUNTAIN HOMECARE HOME HEALTH ST GEORGE,UT
467034,CENTRAL VALLEY HOME HEALTH,UT
467035,GUNNISON VALLEY HOSPITAL HOME HEALTH,UT
467038,BEAVER VALLEY HOME HEALTH,UT
467039,UINTAH BASIN HOME CARE SERVICES,UT
467051,AT HOME NURSING CARE LLC,UT
467055,ENCOMPASS HOME HEALTH OF SOUTHERN UTAH,UT
467061,ROCKY MOUNTAIN HOME CARE,UT
467071,FIRST CHOICE HOME HEALTH,UT
467075,HORIZON HOME HEALTH SG,UT
467077,HEALTHSOUTH HOME CARE,UT
467081,SOUTH DAVIS HOME HEALTH,UT
467095,HORIZON HOME HEALTH -  SALT LAKE,UT
467100,ENCOMPASS HOME HEALTH & HOSPICE OF UTAH,UT
467104,HARMONY HOME HEALTH SERVICES LLC,UT
467106,HEALTH WATCH PROVO INC,UT
467108,SUPERIOR HOME CARE,UT
467110,SPECIALTY NURSING SERVICES INC,UT
467112,AT HOME HEALTH CARE,UT
467117,CARESOURCE HOME HEALTH,UT
467121,MILLCREEK HOME HEALTH,UT
467200,A-PLUS HOME CARE,UT
467206,CAREGIVER SUPPORT NETWORK INC,UT
467207,TOTAL KNEE AND HIP REHABILITATION,UT
467208,GOOD SHEPHERD HOME CARE,UT
467210,COZY HOME HEALTH CARE,UT
467211,SUNRISE HOME HEALTH CARE,UT
467212,MAXIM HEALTHCARE SERVICES INC,UT
467213,VALEO HOME HEALTHCARE SERVICES LLC,UT
467214,ONECARE HOME HEALTH,UT
467217,HEARTS FOR HOME HEALTH,UT
467219,ACCESS HOME CARE,UT
467220,ASPEN RIDGE HOME HEALTH,UT
467221,ENVISION HOME HEALTH,UT
467223,SUMMIT HOME HEALTH,UT
467224,PINNACLE HOME HEALTH,UT
467225,UTAH HOME HEALTH,UT
467226,CANYON HOME CARE,UT
467228,INTEGRITY HOME HEALTH,UT
467229,HEARTS FOR HOME HEALTH,UT
467230,IVY LANE PEDIATRICS,UT
467231,SYMBII HOME HEALTH,UT
467232,LEGACY HEALTHCARE INC,UT
467233,BRIO HOME HEALTH,UT
467234,PRIMROSE HOME CARE,UT
467235,SUMMIT HOME HEALTH - LAYTON,UT
467236,DIXIE HOME REHAB,UT
467237,GOOD SHEPHERD HOME CARE - VERNAL,UT
467238,MIDAS CREEK HOME HEALTH,UT
467239,DIGNITY HOME HEALTH OF UTAH,UT
467242,A STEP FORWARD,UT
467243,ZIONS WAY HOME HEALTH,UT
467245,HEARTWOOD HOME HEALTH,UT
467248,HORIZON HOME HEALTH,UT
467250,AFI ADVANCED CARE HOME HEALTH LLC,UT
467251,ALPHA HOME HEALTH CARE LLC,UT
467252,RELIANCE HEALTH CARE,UT
467253,ACCESS HOME CARE - SALT LAKE CITY,UT
467254,SUNSHINE TERRACE HOME HEALTH,UT
467257,TENDER CARE HOME HEALTH,UT
467313,MOUNTAIN LAND REHABILITATION HOME HEALTH,UT
467314,ASPIRE HOME HEALTH,UT
467316,CASCADE SPRINGS HOME HEALTHCARE,UT
467317,ASHBY HOME HEALTH,UT
467320,LIFETOUCH HOME HEALTH,UT
467321,ACTIVE HOME HEALTH,UT
467322,RENEW HOME HEALTH INC,UT
467323,ICARE HOME HEALTH,UT
467324,ALPHA HOME HEALTH CARE LLC - SOUTHERN UTAH,UT
467326,MAPLE CREEK HOME HEALTH,UT
467327,ALLIANCE HOME HEALTH OF SOUTHERN UTAH,UT
467329,QUALITY HOME HEALTH & HOSPICE,UT
467331,ABSOLUTE COMPASSION HOME HEALTH,UT
467332,PEAK SPECIALTY GROUP,UT
467334,BRIGHTON HOME HEALTH,UT
467335,INSPIRATION HOME HEALTH LLC,UT
467336,SALUS HOMECARE AND SALUS HOME HEALTH,UT
467337,INDEPENDENCE HOME HEALTH,UT
467338,ALI'S ANGELS HOME CARE INC,UT
467339,AGA HOME HEALTH,UT
467340,CANYON HOME CARE OF SOUTHERN UTAH,UT
467342,CORNERSTONE HOME HEALTH,UT
467343,SOLSTICE HOME HEALTH LLC,UT
467344,EVEREST HOME HEALTH LLC,UT
467346,LIGHTEN HOME HEALTH,UT
467347,TACHII'NII NURSING SERVICES INC,UT
467348,MOTION WORX LLC,UT
467349,GOLDEN HOME HEALTH,UT
467350,5 STAR HOME HEALTH,UT
467351,SUN TREE HOME HEALTH LLC,UT
487002,SEA VIEW HEALTH CARE SERVICES,UT
487003,PREMIER HEALTH CARE SERVICES,UT
