CertificationNO,Provider Name,State
517011,MVA HOME HEALTH SERVICES,WV
517031,WEST VIRGINIA HOME HEALTH,WV
517034,INTREPID USA HEALTHCARE SERVICES,WV
517035,PANHANDLE HOME HEALTH INC.,WV
517037,PRESTON MEMORIAL HOMECARE,WV
517041,PLEASANT VALLEY HOME HEALTH,WV
517045,PENDLETON HOME HEALTH SERVICES,WV
517048,GENTIVA HEALTH SERVICES,WV
517051,HOME CARE PLUS INCORPORATED,WV
517053,UNITED HOME HEALTH,WV
517054,AMEDISYS HOME HEALTH OF WEST VIRGINIA,WV
517055,ST MARY'S HOME HEALTH SERVICE,WV
517059,CABELL HUNTINGTON HOSPITAL HOME HEALTH,WV
517060,GENTIVA HEALTH SERVICES,WV
517062,BRAXTON COUNTY MEMORIAL HOSPITAL HHA,WV
517065,REYNOLDS MEMORIAL HOSPITAL HOME HEALTH CARE,WV
517069,HOMEPLUS,WV
517071,GRANT MEMORIAL HOMECARE,WV
517072,THOMAS MEMORIAL HOSPITAL HOME HEALTH SERVICES,WV
517074,AMEDISYS HOME HEALTH OF WEST VIRGINIA,WV
517075,NORTHERN WEST VIRGINIA HOME HEALTH,WV
517076,BECKLEY ARH HOME HEALTH,WV
517081,PCH HOME HEALTH,WV
517082,MEDICAL SERVICES OF AMERICA HOME HEALTH,WV
517086,WETZEL COUNTY HOMECARE,WV
517087,GENTIVA HEALTH SERVICES,WV
517092,MOUNTAINEER HOMECARE,WV
517097,BOONE MEMORIAL HOMECARE,WV
517098,INTERIM HEALTH CARE OF MORGANTOWN,WV
517100,CARE PARTNERS HOME HEALTH,WV
517102,VISITING NURSE SERVICES OF WHEELING HOSPITAL,WV
517104,STONEWALL JACKSON HOME CARE,WV
517111,UNIVERSITY HEALTHCARE AT HOME,WV
517113,FAIRMONT REGIONAL MEDICAL CENTER HOME HEALTH,WV
517114,HOUSECALLS HOME HEALTH,WV
517115,AMEDISYS HOME HEALTH OF WEST VIRGINIA,WV
517118,WEIRTON MEDICAL CENTER HOME HEALTH,WV
517120,GENTIVA HEALTH SERVICES,WV
517122,AMEDISYS HOME HEALTH CARE,WV
517125,GENTIVA HEALTH SERVICES,WV
517126,GENTIVA HEALTH SERVICES,WV
517127,PREFERRED HOME HEALTH,WV
517128,MINGO WAYNE HOME HEALTH,WV
517129,MEDI HOME HEALTH AGENCY INC,WV
517130,THREE RIVERS HOME CARE,WV
517132,STONERISE AT HOME,WV
517133,ROANE HOMECARE,WV
517134,DIGNITY HOME HEALTH,WV
517135,BECKLEY ARH HOME HEALTH - LOGAN SUBUNIT,WV
517136,INTERIM HEALTHCARE OF SE OHIO INC,WV
517137,ALTERNATIVE HOME HEALTH,WV
517138,MEDI HOME HEALTH AGENCY INC,WV
517139,CAPITAL HEALTH HOME CARE,WV
517140,HOLZER HOME CARE MASON COUNTY,WV
517141,TRINITY HOME HEALTH,WV
517143,CARING ANGELS HOME HEALTH LLC,WV
517800,BARBOUR COUNTY HOME HEALTH,WV
517803,DODDRIDGE CO HEALTH DEPT AND HOME HEALTH SERVICES,WV
517805,JACKSON HOME HEALTH,WV
517810,STONERISE RELIABLE HEALTHCARE LLC,WV
517813,GRAFTON TAYLOR COUNTY HEALTH DEPT HOME HEALTH,WV
