state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Connecticut,23627,77112,30A  SALMON KILL RD,2004-01-11,YES,YES,YES,YES,1974-01-11,Same As Expected,3.0 - 4.0,Non - Profit Private
Connecticut,22477,77113,70 STONY HILL ROAD,2004-10-01,YES,YES,YES,YES,1974-10-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Connecticut,22527,77119,100 DOUBLE BEACH ROAD,2007-06-01,YES,YES,YES,YES,1977-06-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Connecticut,22702,77120,111 FOUNDERS PLAZA SUITE 200,2007-10-01,YES,YES,YES,YES,1977-10-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Connecticut,23427,77135,12 CASE ST   SUITE 215,2000-12-01,YES,YES,YES,YES,1980-12-01,Same As Expected,3.0 - 4.0,Proprietary
Connecticut,22852,77134,231 FARMINGTON AVE,2001-02-19,YES,YES,YES,YES,1981-02-19,Same As Expected,3.0 - 4.0,Proprietary
Connecticut,23352,77133,278 STATE ST,2001-05-14,YES,YES,YES,YES,1981-05-14,Same As Expected,3.0 - 4.0,Proprietary
Connecticut,23727,77136,68 SOUTHFIELD AVENUE SUITE 215,2001-10-15,YES,YES,YES,YES,1981-10-15,Same As Expected,3.0 - 4.0,Proprietary
Connecticut,23152,77143,309 SEASIDE AVE,2002-06-09,YES,YES,YES,YES,1982-06-09,Same As Expected,3.0 - 4.0,Non - Profit Other
Connecticut,23602,77158,1344 SILAS DEANE HWY,2004-01-27,YES,YES,YES,YES,1984-01-27,Same As Expected,3.0 - 4.0,Proprietary
Connecticut,22852,77162,30 STANFORD DRIVE,2004-03-30,YES,YES,YES,YES,1984-03-30,Same As Expected,3.0 - 4.0,Proprietary
Connecticut,23877,77159,33 NORTH PLAINS INDUSTRIAL ROAD,2004-04-13,YES,YES,YES,YES,1984-04-13,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Connecticut,22652,77163,136 BERLIN ROAD,2004-05-18,YES,YES,YES,YES,1984-05-18,Worse Than Expected,1.0 - 2.5,Proprietary
Connecticut,23677,77166,75 GREAT POND RD,2005-12-13,YES,YES,YES,YES,1985-12-13,Same As Expected,3.0 - 4.0,Non - Profit Other
Connecticut,22677,77172,30 MILESTONE ROAD,2007-05-04,YES,YES,YES,YES,1987-05-04,Not Available,,Non - Profit Other
Connecticut,23077,77173,267 FINCH AVE,2007-06-05,YES,YES,YES,YES,1987-06-05,Same As Expected,3.0 - 4.0,Non - Profit Religious
Connecticut,23827,77175,56 QUARRY ROAD,2009-06-14,YES,YES,YES,YES,1989-06-14,Same As Expected,3.0 - 4.0,Proprietary
Connecticut,23652,77176,8 OLD MILL LANE,2009-10-31,YES,YES,YES,YES,1989-10-31,Same As Expected,3.0 - 4.0,Non - Profit Private
Connecticut,23427,77177,227 DUNHAM STREET,2005-03-28,YES,YES,YES,YES,1990-03-28,Not Available,,Proprietary
Connecticut,22802,77181,60 KATONA DRIVE,2006-09-05,YES,YES,YES,YES,1991-09-05,Same As Expected,3.0 - 4.0,Non - Profit Private
Connecticut,22977,77182,705 NEW BRITAIN AVE,2006-10-11,YES,YES,YES,YES,1991-10-11,Same As Expected,3.0 - 4.0,Non - Profit Religious
Connecticut,23027,77187,5 WEST MAIN STREET,2007-05-19,YES,YES,NO,YES,1992-05-19,Not Available,,Proprietary
Connecticut,22727,77191,21 HIGH ST,2008-02-23,YES,YES,NO,YES,1993-02-23,Same As Expected,3.0 - 4.0,Proprietary
Connecticut,22577,77198,222 MAIN STREET,2008-11-04,YES,YES,YES,YES,1993-11-04,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Connecticut,23777,77199,999 ORONOQUE LANE,2008-11-18,YES,YES,YES,YES,1993-11-18,Not Available,,Proprietary
Connecticut,23377,77200,14 WESTPORT AVENUE,2009-02-22,YES,YES,YES,YES,1994-02-22,Same As Expected,3.0 - 4.0,Proprietary
Connecticut,23777,77205,999 ORONOQUE LANE,2010-02-07,YES,YES,YES,YES,1995-02-07,Same As Expected,3.0 - 4.0,Proprietary
Connecticut,22527,77216,163 CEDAR STREET,2011-11-25,YES,YES,YES,YES,1996-11-25,Same As Expected,3.0 - 4.0,Proprietary
Connecticut,23777,77218,99 HAWLEY LANE SUITE 1101,2012-07-01,YES,YES,YES,YES,1997-07-01,Same As Expected,3.0 - 4.0,Proprietary
Connecticut,22752,77223,444 FOXON ROAD,2012-07-17,YES,YES,YES,YES,1997-07-17,Same As Expected,3.0 - 4.0,Proprietary
Connecticut,23227,77224,21 GROVE STREET 2ND FLOOR,2013-05-26,YES,YES,YES,YES,1998-05-26,Same As Expected,3.0 - 4.0,Non - Profit Other
Connecticut,22927,77225,24 SCOTT STREET,2013-10-02,YES,YES,YES,YES,1998-10-02,Same As Expected,3.0 - 4.0,Proprietary
