state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Georgia,37002,117010,1611 MARTHA BERRY BOULEVARD NW SUITE 1611,1997-06-30,YES,YES,YES,YES,1967-06-30,Better Than Expected,4.5 - 5.0,Proprietary
Georgia,36502,117012,140 COLONIAL WAY,1998-03-05,YES,YES,YES,YES,1968-03-05,Same As Expected,3.0 - 4.0,Non - Profit Other
Georgia,37352,117019,1021 JAMESTOWN BLVD SUITE 215,2000-01-01,YES,YES,YES,YES,1970-01-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Georgia,36352,117021,601  BROAD STREET SUITE F,2000-07-01,YES,YES,YES,YES,1970-07-01,Same As Expected,3.0 - 4.0,Proprietary
Georgia,36177,117022,2680 LAWRENCEVILLE HIGHWAY SUITE 201 BOX 6,2002-12-04,YES,YES,YES,YES,1972-12-04,Same As Expected,3.0 - 4.0,Proprietary
Georgia,36602,117023,3780 EISENHOWER PARKWAY,2004-06-01,YES,YES,YES,YES,1974-06-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Georgia,37177,117024,400 OLD ALBANY ROAD,2004-10-01,YES,YES,YES,YES,1974-10-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Georgia,35727,117025,1501 ANTHONY ROAD,2005-09-01,YES,YES,YES,YES,1975-09-01,Same As Expected,3.0 - 4.0,Proprietary
Georgia,36927,117028,122 BATTLEFIELD CROSSING COURT,2005-12-01,YES,YES,YES,NO,1975-12-01,Same As Expected,3.0 - 4.0,Proprietary
Georgia,37252,117026,1990 LAKESIDE PARKWAY SUITE 210,2005-12-04,YES,YES,YES,YES,1975-12-04,Same As Expected,3.0 - 4.0,Proprietary
Georgia,36677,117027,1395 S MARIETTA PARKWAY SUITE 902,2005-12-11,YES,YES,YES,YES,1975-12-11,Same As Expected,3.0 - 4.0,Proprietary
Georgia,36702,117031,4106 COLUMBIA ROAD SUITE 102,2007-05-01,YES,YES,YES,YES,1977-05-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Georgia,37152,117033,1525 FAIR ROAD SUITE 106,2007-12-01,YES,YES,YES,YES,1977-12-01,Worse Than Expected,1.0 - 2.5,Proprietary
Georgia,36527,117032,120 GLENN BASS ROAD,2007-12-15,YES,YES,YES,YES,1977-12-15,Same As Expected,3.0 - 4.0,Government - Local
Georgia,35652,117039,2000 RIVEREDGE PARKWAY NW SUITE GL200,2008-06-15,YES,YES,YES,YES,1978-06-15,Same As Expected,3.0 - 4.0,Proprietary
Georgia,35777,117040,117 DONALSON STREET,2008-06-30,YES,YES,YES,YES,1978-06-30,Same As Expected,3.0 - 4.0,Non - Profit Other
Georgia,36977,117041,160 THREE RIVERS DRIVE NE SUITE 1100,2008-07-03,YES,YES,YES,YES,1978-07-03,Same As Expected,3.0 - 4.0,Proprietary
Georgia,37102,117143,5510 PAULSEN STREET,2008-07-15,YES,YES,YES,YES,1978-07-15,Same As Expected,3.0 - 4.0,Non - Profit Other
Georgia,37377,117142,360 OSSIE DAVIS PKWY,2008-07-18,YES,YES,NO,YES,1978-07-18,Same As Expected,3.0 - 4.0,Proprietary
Georgia,36402,117045,244 ODELL ROAD UNIT 1,2008-09-15,YES,YES,YES,YES,1978-09-15,Worse Than Expected,1.0 - 2.5,Proprietary
Georgia,36752,117044,2516 5TH AVE SE,2008-09-21,YES,YES,YES,YES,1978-09-21,Same As Expected,3.0 - 4.0,Non - Profit Private
Georgia,37227,117046,2014 US HIGHWAY 41 N,2008-10-04,YES,YES,YES,YES,1978-10-04,Same As Expected,3.0 - 4.0,Non - Profit Private
Georgia,36927,117308,7409 NASHVILLE STREET SUITE B,2009-02-01,YES,YES,YES,YES,1979-02-01,Same As Expected,3.0 - 4.0,Proprietary
Georgia,36227,117050,3009 CHAPEL HILL ROAD SUITE C,2009-03-13,YES,YES,YES,YES,1979-03-13,Same As Expected,3.0 - 4.0,Proprietary
Georgia,36352,117305,2565 THOMPSON BRIDGE RD STE 204 & 205,2009-04-01,YES,YES,YES,YES,1979-04-01,Same As Expected,3.0 - 4.0,Proprietary
Georgia,35977,117306,6001 RIVER ROAD SUITE 220,2009-04-01,YES,YES,YES,YES,1979-04-01,Same As Expected,3.0 - 4.0,Proprietary
Georgia,37327,117054,806 MAPLE DRIVE,2009-05-23,YES,YES,YES,YES,1979-05-23,Same As Expected,3.0 - 4.0,Non - Profit Private
Georgia,35827,117074,52 N OAK STREET,2009-05-29,YES,YES,YES,YES,1979-05-29,Worse Than Expected,1.0 - 2.5,Proprietary
Georgia,36302,117053,205 FOSTER STREET,2009-06-01,YES,YES,YES,YES,1979-06-01,Same As Expected,3.0 - 4.0,Proprietary
Georgia,35977,117056,1921 WHITTLESEY ROAD  SUITE 310,2009-06-20,YES,YES,YES,YES,1979-06-20,Same As Expected,3.0 - 4.0,Proprietary
Georgia,37302,117058,3404 GREYSTONE WAY,2009-06-25,YES,YES,YES,YES,1979-06-25,Same As Expected,3.0 - 4.0,Proprietary
Georgia,36052,117309,906  5TH STREET  NORTH SUITE F6,2009-07-01,YES,YES,YES,YES,1979-07-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Georgia,36477,117064,91 SAMMY MCGHEE BLVD SUITE 104,2000-07-29,YES,YES,YES,YES,1980-07-29,Same As Expected,3.0 - 4.0,Proprietary
Georgia,36077,117065,4162 BAKER STREET NE,2001-05-06,YES,YES,YES,YES,1981-05-06,Same As Expected,3.0 - 4.0,Proprietary
Georgia,35652,117067,6000 LAKE FORREST DRIVE SUITE 500,2001-11-10,YES,YES,YES,YES,1981-11-10,Same As Expected,3.0 - 4.0,Proprietary
Georgia,36777,117317,59 BRANTLEY STREET,2002-01-05,YES,YES,YES,YES,1982-01-05,Same As Expected,3.0 - 4.0,Proprietary
Georgia,36877,117316,380  ROBERTS AVENUE EAST,2002-01-06,YES,YES,YES,YES,1982-01-06,Same As Expected,3.0 - 4.0,Proprietary
Georgia,37402,117068,225 OLD MILLEN HWY,2002-06-01,YES,YES,YES,YES,1982-06-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Georgia,36327,117069,333 B HEARD STREET,2002-06-01,YES,YES,YES,YES,1982-06-01,Same As Expected,3.0 - 4.0,Proprietary
Georgia,36727,117072,342 SOUTH THIRD AVENUE,2002-08-01,YES,YES,YES,YES,1982-08-01,Same As Expected,3.0 - 4.0,Proprietary
Georgia,37377,117076,203 ALBANY AVENUE,2002-12-09,YES,YES,YES,YES,1982-12-09,Same As Expected,3.0 - 4.0,Proprietary
