state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Iowa,39102,167020,1600 MORGAN STREET,1997-05-09,YES,YES,YES,YES,1967-05-09,Same As Expected,3.0 - 4.0,Non - Profit Private
Iowa,37827,167024,1114 DUFF AVENUE,1998-03-12,YES,YES,YES,YES,1968-03-12,Same As Expected,3.0 - 4.0,Government - Combination Government & Voluntary
Iowa,38002,167026,522 NORTH THIRD STREET,1998-07-01,YES,NO,NO,YES,1968-07-01,Not Available,,Government - Local
Iowa,40127,167030,116 E 11TH STREET,1999-01-21,YES,YES,YES,YES,1969-01-21,Same As Expected,3.0 - 4.0,Government - Local
Iowa,37977,167034,105 SOUTH MARSHALL,1999-05-05,YES,YES,YES,YES,1969-05-05,Same As Expected,3.0 - 4.0,Government - Local
Iowa,38727,167035,216 SOUTH 4TH STREET,1999-06-11,YES,YES,YES,YES,1969-06-11,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,39027,167033,301 NORTH BUXTON  SUITE 203,1999-06-19,YES,YES,YES,YES,1969-06-19,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,39727,167038,108 EAST MAIN STREET,1999-07-01,YES,YES,NO,YES,1969-07-01,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,38452,167039,305 MONTGOMERY STREET,1999-08-01,YES,YES,YES,YES,1969-08-01,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,39702,167040,1229 C AVENUE EAST,1999-11-10,YES,YES,YES,YES,1969-11-10,Worse Than Expected,1.0 - 2.5,Government - State/ County
Iowa,39677,167042,415 PLEASANT STREET SUITE 100,2000-04-01,YES,YES,YES,YES,1970-04-01,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,40202,167041,400 CEDAR STREET,2000-04-28,YES,YES,YES,YES,1970-04-28,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,39602,167043,95 NINTH STREET NORTH,2000-05-28,YES,YES,YES,YES,1970-05-28,Same As Expected,3.0 - 4.0,Government - Local
Iowa,38302,167045,100 EAST SOUTH STREET,2000-09-03,YES,YES,YES,YES,1970-09-03,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,39277,167046,116 N 2ND AVENUE  COURTHOUSE AVENUE,2001-01-18,YES,YES,YES,YES,1971-01-18,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,38652,167049,3201 FIRST STREET,2001-08-11,YES,YES,YES,YES,1971-08-11,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,40327,167050,805 JAMES L HODGES AVENUE NORTH,2001-10-01,YES,YES,YES,YES,1971-10-01,Not Available,,Government - Local
Iowa,38152,167051,1003 GILBERT STREET,2002-03-15,YES,YES,YES,YES,1972-03-15,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,38102,167052,209 EAST JACKSON STREET,2002-05-10,YES,YES,YES,YES,1972-05-10,Not Available,,Government - State/ County
Iowa,39402,167054,22 NORTH GEORGIA,2002-07-01,YES,YES,YES,YES,1972-07-01,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,39452,167057,119 SOUTH FILLMORE,2002-12-20,YES,YES,NO,YES,1972-12-20,Not Available,,Government - State/ County
Iowa,38777,167055,2218 AVENUE H SUITE A,2003-01-03,YES,YES,YES,YES,1973-01-03,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,38602,167056,2411 EDGINGTON AVENUE,2003-02-01,YES,YES,YES,YES,1973-02-01,Same As Expected,3.0 - 4.0,Government - Combination Government & Voluntary
Iowa,38627,167058,600 GUNDER ROAD NE,2003-02-14,YES,YES,YES,YES,1973-02-14,Same As Expected,3.0 - 4.0,Non - Profit Other
Iowa,37877,167059,1408 EAST 10TH STREET,2003-03-16,YES,YES,YES,YES,1973-03-16,Same As Expected,3.0 - 4.0,Non - Profit Other
Iowa,38877,167062,306 4TH AVENUE SUITE A,2003-12-17,YES,YES,YES,YES,1973-12-17,Same As Expected,3.0 - 4.0,Non - Profit Private
Iowa,40227,167061,129 WEST HIGH STREET,2003-12-27,YES,YES,YES,YES,1973-12-27,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,40302,167063,502 NORTH 9TH AVENUE,2004-01-03,YES,YES,YES,YES,1974-01-03,Same As Expected,3.0 - 4.0,Non - Profit Private
Iowa,38827,167067,212 INDEPENDENCE,2004-04-15,YES,YES,YES,YES,1974-04-15,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,38802,167064,545 STATE STREET,2004-04-19,YES,YES,YES,YES,1974-04-19,Same As Expected,3.0 - 4.0,Government - Local
Iowa,38477,167066,105 NORTH MAIN,2004-05-01,YES,YES,NO,YES,1974-05-01,Same As Expected,3.0 - 4.0,Government - State/ County
Iowa,38952,167071,2712 12TH STREET,2005-01-09,YES,YES,YES,YES,1975-01-09,Better Than Expected,4.5 - 5.0,Government - State/ County
Iowa,40077,167073,801 FIFTH STREET SUITE 320 ROOM 3952,2005-01-23,YES,YES,YES,YES,1975-01-23,Same As Expected,3.0 - 4.0,Non - Profit Private
Iowa,37927,167074,405 JEFFERSON STREET,2005-06-23,YES,YES,YES,YES,1975-06-23,Same As Expected,3.0 - 4.0,Government - Local
