state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Idaho,41277,137014,222 SHOSHONE STREET EAST,2007-06-01,YES,YES,YES,YES,1977-06-01,Same As Expected,3.0 - 4.0,Proprietary
Idaho,40727,137016,1031 E MAIN STREET,2008-06-19,YES,YES,YES,YES,1978-06-19,Same As Expected,3.0 - 4.0,Non - Profit Private
Idaho,40702,137006,9199 WEST BLACK EAGLE DRIVE,2008-07-01,YES,YES,YES,YES,1978-07-01,Same As Expected,3.0 - 4.0,Proprietary
Idaho,40777,137019,850 W KATHLEEN AVENUE,2009-07-01,YES,YES,YES,YES,1979-07-01,Same As Expected,3.0 - 4.0,Proprietary
Idaho,40652,137028,325 WEST IDAHO STREET,2004-01-20,YES,YES,YES,YES,1984-01-20,Same As Expected,3.0 - 4.0,Non - Profit Private
Idaho,41227,137032,520 N 3RD AVE,2004-05-24,YES,YES,YES,YES,1984-05-24,Same As Expected,3.0 - 4.0,Non - Profit Private
Idaho,41277,137034,601 POLELINE ROAD,2004-10-11,YES,YES,YES,YES,1984-10-11,Same As Expected,3.0 - 4.0,Non - Profit Other
Idaho,40927,137048,3470 WASHINGTON PKWY,2006-02-14,YES,YES,YES,YES,1991-02-14,Not Available,,Proprietary
Idaho,40677,137049,1514 SHOSHONE STREET,2006-03-01,YES,YES,YES,YES,1991-03-01,Same As Expected,3.0 - 4.0,Proprietary
Idaho,40902,137057,403 1ST ST,2007-05-21,YES,YES,YES,YES,1992-05-21,Same As Expected,3.0 - 4.0,Proprietary
Idaho,41152,137058,126 EAST FIRST  NORTH,2007-06-30,YES,YES,YES,YES,1992-06-30,Same As Expected,3.0 - 4.0,Government - State/ County
Idaho,41202,137062,1218 9TH STREET SUITE 4,2008-03-09,YES,YES,YES,YES,1993-03-09,Same As Expected,3.0 - 4.0,Government - State/ County
Idaho,41002,137065,63 WEST WILLOWBROOK DR,2008-08-24,YES,YES,YES,YES,1993-08-24,Same As Expected,3.0 - 4.0,Proprietary
Idaho,41027,137069,465 WASHINGTON STREET,2008-12-14,YES,YES,YES,YES,1993-12-14,Same As Expected,3.0 - 4.0,Government - State/ County
