state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Illinois,43802,147086,601 EAST TWELFTH STREET,1997-12-18,YES,YES,YES,YES,1967-12-18,Worse Than Expected,1.0 - 2.5,Government - State/ County
Illinois,45552,147088,2 GOOD SAMARITAN WAY,1998-11-04,YES,YES,YES,YES,1968-11-04,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Illinois,41927,147091,310 FIFTH STREET,1999-04-11,YES,YES,YES,YES,1969-04-11,Same As Expected,3.0 - 4.0,Government - State/ County
Illinois,41427,147094,3060 SALT CREEK LANE,1999-08-12,YES,YES,YES,YES,1969-08-12,Same As Expected,3.0 - 4.0,Non - Profit Other
Illinois,41752,147105,179 E BETHEL DRIVE,2002-07-28,YES,YES,YES,YES,1972-07-28,Same As Expected,3.0 - 4.0,Non - Profit Religious
Illinois,41677,147111,303 NORTH HERSHEY SUITE C,2004-04-01,YES,YES,YES,YES,1974-04-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Illinois,41377,147113,915 EAST FIFTH STREET,2005-02-14,YES,YES,YES,YES,1975-02-14,Same As Expected,3.0 - 4.0,Non - Profit Religious
Illinois,42752,147126,6141 N CICERO,2006-03-15,YES,YES,YES,YES,1976-03-15,Same As Expected,3.0 - 4.0,Non - Profit Religious
Illinois,43402,147131,403 EAST 1ST STREET,2006-07-07,YES,YES,YES,YES,1976-07-07,Same As Expected,3.0 - 4.0,Non - Profit Private
Illinois,47327,147147,416 WEST EDWARDS,2006-08-10,YES,YES,YES,YES,1976-08-10,Same As Expected,3.0 - 4.0,Government - State/ County
Illinois,41877,147142,225 WEST WALNUT,2006-12-01,YES,YES,YES,YES,1976-12-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Illinois,43452,147150,1441 BRANDING AVENUE,2007-06-01,YES,YES,YES,YES,1977-06-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Illinois,46502,147151,33 W. CROWN ST. SUITE A,2007-08-12,YES,YES,YES,NO,1977-08-12,Same As Expected,3.0 - 4.0,Non - Profit Private
Illinois,45152,147112,8341 EXPRESS DRIVE,2008-05-01,YES,YES,YES,YES,1978-05-01,Same As Expected,3.0 - 4.0,Proprietary
Illinois,41952,147159,73 SOUTH ADAMS  P.O. BOX 357,2008-05-23,YES,YES,YES,YES,1978-05-23,Same As Expected,3.0 - 4.0,Government - Local
Illinois,46427,147161,907 SOUTH MAIN,2008-07-05,YES,YES,YES,NO,1978-07-05,Same As Expected,3.0 - 4.0,Government - State/ County
Illinois,42027,147132,1501 INTERSTATE DRIVE,2009-06-01,YES,YES,YES,YES,1979-06-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Illinois,46602,147175,1000 N ALLEN STREET MEDICAL CENTER SUITE B,2009-08-01,YES,YES,YES,YES,1979-08-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Illinois,44052,147178,P. O. BOX 220,2009-09-13,YES,YES,YES,YES,1979-09-13,Same As Expected,3.0 - 4.0,Government - State/ County
Illinois,41352,147182,12855 S CICERO SUITE 200,2000-01-01,YES,YES,YES,YES,1980-01-01,Same As Expected,3.0 - 4.0,Proprietary
Illinois,46027,147187,800 E LOCUST,2000-05-01,YES,YES,YES,YES,1980-05-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Illinois,44927,147195,109 THIRD STREET  P.O. BOX 508,2001-05-11,YES,YES,YES,YES,1981-05-11,Same As Expected,3.0 - 4.0,Government - State/ County
Illinois,45427,147204,2 INDUSTRIAL PARK AVENUE,2001-07-30,YES,YES,YES,YES,1981-07-30,Same As Expected,3.0 - 4.0,Proprietary
Illinois,44452,147202,741 EAST LAUREL,2002-01-09,YES,YES,NO,YES,1982-01-09,Same As Expected,3.0 - 4.0,Government - Local
Illinois,43302,147206,3122 BRETTWOOD CIRCLE,2002-01-13,YES,YES,YES,YES,1982-01-13,Same As Expected,3.0 - 4.0,Non - Profit Other
Illinois,46952,147214,8340 LINCOLN AVENUE SUITE 100,2002-04-01,YES,YES,YES,YES,1982-04-01,Not Available,,Proprietary
Illinois,44727,147207,5101 WILLOW SPRINGS ROAD,2002-04-16,YES,YES,YES,YES,1982-04-16,Same As Expected,3.0 - 4.0,Non - Profit Religious
Illinois,44252,147211,220 SOUTH GREENLEAF AVE SUITE C,2002-06-30,YES,YES,YES,YES,1982-06-30,Same As Expected,3.0 - 4.0,Proprietary
Illinois,42502,147213,6323 N AVONDALE AVE,2002-07-12,YES,YES,YES,YES,1982-07-12,Same As Expected,3.0 - 4.0,Proprietary
Illinois,44652,147224,310 NORTH HAMMES AVENUE SUITE 301E,2002-07-28,YES,YES,YES,YES,1982-07-28,Same As Expected,3.0 - 4.0,Proprietary
Illinois,47177,147222,2667 FARRAGUT DRIVE,2003-02-27,YES,YES,NO,YES,1983-02-27,Same As Expected,3.0 - 4.0,Non - Profit Religious
Illinois,47377,147221,331 SOUTH MAIN STREET,2003-03-01,YES,YES,YES,YES,1983-03-01,Worse Than Expected,1.0 - 2.5,Government - Local
Illinois,42352,147244,7928 S. KING DRIVE,2003-08-17,YES,YES,YES,YES,1983-08-17,Not Available,,Proprietary
Illinois,42052,147241,206A WEST ANTHONY DRIVE,2003-09-12,YES,YES,YES,YES,1983-09-12,Same As Expected,3.0 - 4.0,Non - Profit Private
Illinois,45452,147263,1802 N. FRANKLIN ST.  STE. 203,2003-10-28,YES,YES,YES,YES,1983-10-28,Same As Expected,3.0 - 4.0,Proprietary
Illinois,46352,147243,2265 W ALTORFER DR,2003-11-03,YES,YES,YES,YES,1983-11-03,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Illinois,44502,147251,1201 WEAVER ROAD,2003-11-15,YES,YES,YES,YES,1983-11-15,Same As Expected,3.0 - 4.0,Proprietary
Illinois,45877,147280,5730 W 159TH STREET,2004-01-04,YES,YES,YES,YES,1984-01-04,Same As Expected,3.0 - 4.0,Proprietary
Illinois,45327,147257,701 W NORTH AVENUE,2004-01-09,YES,YES,YES,YES,1984-01-09,Same As Expected,3.0 - 4.0,Non - Profit Religious
Illinois,46377,147259,221 N.E. GLEN OAK AVE.            MAILING ADDRESS,2004-02-23,YES,YES,YES,YES,1984-02-23,Same As Expected,3.0 - 4.0,Non - Profit Other
Illinois,43002,147267,1400 OTTO BLVD,2004-05-24,YES,YES,YES,YES,1984-05-24,Same As Expected,3.0 - 4.0,Non - Profit Religious
Illinois,46702,147271,5501 E STATE STREET,2004-07-18,YES,YES,YES,YES,1984-07-18,Same As Expected,3.0 - 4.0,Non - Profit Religious
