state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Indiana,50777,157034,2403 VALLEY DR,2000-12-07,YES,YES,YES,YES,1970-12-07,Same As Expected,3.0 - 4.0,Non - Profit Private
Indiana,48577,157046,9894 E 121ST ST,2006-12-01,YES,YES,YES,YES,1976-12-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Indiana,50077,157051,500 W MAIN ST,2007-07-01,YES,YES,YES,YES,1977-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Indiana,50052,157048,605 W EDISON RD STE H,2007-07-11,YES,YES,YES,YES,1977-07-11,Not Available,,Proprietary
Indiana,50877,157050,1515 PROVIDENT DR STE 250,2007-08-01,YES,YES,YES,YES,1977-08-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Indiana,50002,157054,1575 E 85TH AVE,2007-12-08,YES,YES,YES,YES,1977-12-08,Not Available,,Proprietary
Indiana,49802,157055,370 BIELBY RD,2008-01-01,YES,YES,YES,YES,1978-01-01,Same As Expected,3.0 - 4.0,Government - State/ County
Indiana,47827,157059,2015 JACKSON ST,2009-02-01,YES,YES,YES,YES,1979-02-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Indiana,50852,157061,400 ASH ST STE B,2009-12-01,YES,YES,YES,YES,1979-12-01,Same As Expected,3.0 - 4.0,Government - State/ County
Indiana,50652,157067,111 SUNNYBROOK CT,2000-08-04,YES,YES,YES,YES,1980-08-04,Not Available,,Non - Profit Private
Indiana,48227,157077,4550 MIDDLE RD STE C,2002-07-23,YES,YES,YES,YES,1982-07-23,Same As Expected,3.0 - 4.0,Proprietary
Indiana,50927,157078,616 E 13TH ST PO BOX 279,2002-10-14,YES,YES,YES,YES,1982-10-14,Worse Than Expected,1.0 - 2.5,Government - State/ County
Indiana,49327,157081,6302 N RUCKER RD STE J,2003-04-04,YES,YES,YES,YES,1983-04-04,Same As Expected,3.0 - 4.0,Proprietary
Indiana,49977,157090,801 PLAZA DR STE A,2003-09-21,YES,YES,YES,YES,1983-09-21,Worse Than Expected,1.0 - 2.5,Proprietary
Indiana,48927,157092,1560 B N STATE ST,2003-10-14,YES,YES,YES,YES,1983-10-14,Same As Expected,3.0 - 4.0,Government - State/ County
Indiana,49577,157083,8450 N PAYNE RD STE 200,2003-10-28,YES,YES,YES,YES,1983-10-28,Same As Expected,3.0 - 4.0,Non - Profit Religious
Indiana,48052,157094,3800 W GIFFORD RD,2003-11-10,YES,YES,NO,YES,1983-11-10,Same As Expected,3.0 - 4.0,Proprietary
Indiana,50627,157095,3355 DOUGLAS RD STE 100,2003-11-17,YES,YES,YES,YES,1983-11-17,Same As Expected,3.0 - 4.0,Proprietary
Indiana,48252,157097,1941 VIRGINIA AVENUE,2004-01-31,YES,YES,YES,YES,1984-01-31,Same As Expected,3.0 - 4.0,Non - Profit Other
Indiana,50002,157116,103 W 78TH PL,2004-04-10,YES,YES,YES,YES,1984-04-10,Same As Expected,3.0 - 4.0,Proprietary
Indiana,48302,157113,300 N WASHINGTON STREET,2004-05-02,YES,YES,YES,YES,1984-05-02,Same As Expected,3.0 - 4.0,Proprietary
Indiana,47852,157117,416 E MAUMEE ST,2004-06-13,YES,YES,YES,YES,1984-06-13,Same As Expected,3.0 - 4.0,Non - Profit Private
Indiana,49477,157115,8606 ALLISONVILLE RD STE 350,2004-06-26,YES,YES,YES,YES,1984-06-26,Same As Expected,3.0 - 4.0,Proprietary
Indiana,49752,157124,1415 SALEM ST STE 202 W,2004-08-31,YES,YES,YES,YES,1984-08-31,Same As Expected,3.0 - 4.0,Non - Profit Religious
Indiana,49902,157141,2670 MICHIGAN RD,2005-03-08,YES,YES,YES,YES,1985-03-08,Same As Expected,3.0 - 4.0,Non - Profit Private
Indiana,47927,157143,108 N ELM ST,2005-03-29,YES,YES,YES,YES,1985-03-29,Same As Expected,3.0 - 4.0,Non - Profit Private
Indiana,49152,157313,1439 S LAKE PARK AVE,2005-04-09,YES,YES,YES,YES,1985-04-09,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Indiana,49027,157145,5454 HOHMAN AVE,2005-04-11,YES,YES,YES,YES,1985-04-11,Same As Expected,3.0 - 4.0,Non - Profit Religious
Indiana,50577,157155,411 W TIPTON ST,2005-04-18,YES,YES,YES,YES,1985-04-18,Same As Expected,3.0 - 4.0,Government - State/ County
Indiana,49852,157148,409 A ST NE,2005-05-03,YES,YES,YES,YES,1985-05-03,Same As Expected,3.0 - 4.0,Proprietary
Indiana,50402,157149,1104 E GRACE ST,2005-05-13,YES,YES,YES,YES,1985-05-13,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Indiana,50202,157152,1915 BONO RD,2005-06-24,YES,YES,YES,YES,1985-06-24,Worse Than Expected,1.0 - 2.5,Government - Local
Indiana,48952,157153,955 N MICHIGAN AVE ROOM 6,2005-06-24,YES,YES,YES,YES,1985-06-24,Same As Expected,3.0 - 4.0,Government - State/ County
Indiana,47877,157157,400 ERIE PASS,2005-07-09,YES,YES,YES,YES,1985-07-09,Same As Expected,3.0 - 4.0,Non - Profit Other
Indiana,49227,157158,950 N MERIDIAN ST STE 700,2005-08-05,YES,YES,YES,YES,1985-08-05,Same As Expected,3.0 - 4.0,Non - Profit Private
