state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Louisiana,56752,197014,135 EAST FIFTH ST.,1999-07-15,YES,YES,YES,YES,1969-07-15,Not Available,,Proprietary
Louisiana,56402,197015,4444 LAKE STREET,1999-08-27,YES,YES,YES,YES,1969-08-27,Same As Expected,3.0 - 4.0,Non - Profit Private
Louisiana,55352,197019,3233 S  SHERWOOD FOREST BLVD SUITE 103,1999-10-01,YES,YES,YES,YES,1969-10-01,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,55177,197018,1004 CALAIS CIRCLE,1999-12-30,YES,YES,YES,YES,1969-12-30,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,57252,197020,3601 YOUREE DRIVE,2000-01-07,YES,YES,YES,YES,1970-01-07,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,55577,197023,832 EAST BOSTON STREET  #10,2000-03-02,YES,YES,YES,YES,1970-03-02,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,55602,197024,538 S E COURT CIRCLE,2000-05-25,YES,YES,YES,YES,1970-05-25,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56652,197026,111 RYAN'S WAY,2000-07-27,YES,YES,YES,YES,1970-07-27,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,55802,197031,1117 MARION HWY 33,2000-11-23,YES,YES,YES,YES,1970-11-23,Not Available,,Proprietary
Louisiana,55577,197037,19550 NORTH TENTH STREET  SUITE B,2002-05-05,YES,YES,YES,YES,1972-05-05,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,55252,197038,1424 FUSELIER AVE,2002-11-06,YES,YES,YES,YES,1972-11-06,Same As Expected,3.0 - 4.0,Non - Profit Private
Louisiana,56377,197005,1801 OAK PARK BLVD,2002-12-27,YES,YES,YES,YES,1972-12-27,Same As Expected,3.0 - 4.0,Non - Profit Private
Louisiana,56127,197039,1322 ELTON ROAD SUITE B,2003-06-25,YES,YES,YES,YES,1973-06-25,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,55177,197044,137 YORKTOWN DRIVE,2004-12-19,YES,YES,YES,YES,1974-12-19,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56527,197052,301 JEFFERSON STREET,2007-07-12,YES,YES,YES,YES,1977-07-12,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56302,197060,458 HEYMANN BLVD BLDG A,2009-05-23,YES,YES,YES,YES,1979-05-23,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56352,197057,5000 AMBASSADOR CAFFERY PKWY SUITE 102,2009-06-06,YES,YES,YES,YES,1979-06-06,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,57227,197056,3300 ALBERT BICKNELL DR,2009-06-15,YES,YES,YES,YES,1979-06-15,Same As Expected,3.0 - 4.0,Non - Profit Other
Louisiana,56102,197058,212 NINTH STREET,2009-11-05,YES,YES,YES,YES,1979-11-05,Same As Expected,3.0 - 4.0,Government - Local
Louisiana,56077,197312,4722 HIGHWAY 311,2000-05-22,YES,YES,YES,YES,1980-05-22,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,57052,197062,1310 SOUTH UNION STREET SUITE 1,2000-08-08,YES,YES,YES,YES,1980-08-08,Worse Than Expected,1.0 - 2.5,Proprietary
Louisiana,57527,197063,4951 HIGHWAY 84 WEST,2000-08-18,YES,YES,YES,YES,1980-08-18,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,57202,197074,1700 BUCKNER SQUARE STE 200,2002-05-05,YES,YES,YES,YES,1982-05-05,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Louisiana,57552,197084,4624 CYPRESS STREET SUITE 4,2003-02-02,YES,YES,YES,YES,1983-02-02,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,57552,197086,3101 CYPRESS STREET 4 & 5,2003-05-23,YES,YES,YES,YES,1983-05-23,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,55652,197089,509 CINCINNATI STREET,2003-06-13,YES,YES,YES,YES,1983-06-13,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56677,197091,1107 HUDSON LANE SUITE A,2003-07-29,YES,YES,YES,YES,1983-07-29,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,55527,197099,9735 GRACE LANE,2003-08-11,YES,YES,YES,YES,1983-08-11,Worse Than Expected,1.0 - 2.5,Proprietary
Louisiana,56477,197097,68445 TAMMANY TRACE,2003-08-15,YES,YES,YES,YES,1983-08-15,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56677,197095,1110 JACKSON STREET,2003-09-09,YES,YES,YES,YES,1983-09-09,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56127,197315,422 KADE STREET SUITE 3,2003-09-28,YES,YES,YES,YES,1983-09-28,Worse Than Expected,1.0 - 2.5,Proprietary
Louisiana,56552,197317,599 TUNICA DRIVE WEST,2003-10-01,YES,YES,YES,YES,1983-10-01,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,55852,197102,826 WEST HWY 30 SUITE C,2003-11-18,YES,YES,YES,YES,1983-11-18,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,57377,197104,2990 EAST GAUSE BLVD SUITE B,2003-12-07,YES,YES,YES,YES,1983-12-07,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,57152,197115,111 ELLINGTON DRIVE SUITE A,2003-12-07,YES,YES,YES,YES,1983-12-07,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56752,197120,105 JEFFERSON STREET,2004-01-02,YES,YES,YES,YES,1984-01-02,Worse Than Expected,1.0 - 2.5,Proprietary
Louisiana,57302,197170,9400 VILLAGE GREEN DR.,2004-01-24,YES,YES,YES,YES,1984-01-24,Not Available,,Proprietary
Louisiana,57077,197124,58725 BELLEVIEW ROAD SUITE A-3,2004-01-26,YES,YES,YES,YES,1984-01-26,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,57627,197113,202 FAIR AVENUE,2004-02-20,YES,YES,YES,YES,1984-02-20,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,55502,197114,1123 SHIRLEY ROAD,2004-02-20,YES,YES,YES,YES,1984-02-20,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56002,197112,2439 MANHATTAN BLVD SUITE 400,2004-02-21,YES,YES,YES,YES,1984-02-21,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56602,197122,2901 RIDGELAKE DRIVE SUITE 212,2004-03-05,YES,YES,YES,YES,1984-03-05,Not Available,,Proprietary
Louisiana,57127,197119,4608 HIGHWAY 1,2004-03-14,YES,YES,YES,YES,1984-03-14,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56477,197123,68425 HWY 59 SUITE #7,2004-04-18,YES,YES,YES,YES,1984-04-18,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,57452,197121,9 CROTHERS DRIVE,2004-06-06,YES,YES,YES,YES,1984-06-06,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,57102,197143,1579 HIGHWAY 51 NORTH,2004-06-12,YES,YES,YES,YES,1984-06-12,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,57052,197136,426 HEATHER DRIVE,2004-06-19,YES,YES,YES,YES,1984-06-19,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,57002,197135,110 NORTH FRONT STREET,2004-06-21,YES,YES,YES,YES,1984-06-21,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56952,197154,350 HOSPITAL ROAD,2004-08-17,YES,YES,YES,YES,1984-08-17,Same As Expected,3.0 - 4.0,Government - Local
Louisiana,56677,197142,1800 HUDSON LANE SUITE 2 C,2004-09-05,YES,YES,YES,YES,1984-09-05,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56527,197161,502 TEXAS STREET,2004-10-17,YES,YES,YES,YES,1984-10-17,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,55277,197163,3401 NORTH BLVD SUITE 360,2004-10-17,YES,YES,YES,YES,1984-10-17,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,55577,197168,725 WEST 11TH AVE,2004-10-24,YES,YES,YES,YES,1984-10-24,Same As Expected,3.0 - 4.0,Government - State/ County
Louisiana,57652,197149,6300 MAIN STREET.,2004-11-01,YES,YES,YES,YES,1984-11-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Louisiana,55577,197156,100 INNWOOD DRIVE SUITE C,2004-12-12,YES,YES,YES,YES,1984-12-12,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,55177,197159,6501 COLISEUM BLVD SUITE 700 D,2004-12-27,YES,YES,YES,YES,1984-12-27,Same As Expected,3.0 - 4.0,Proprietary
Louisiana,56077,197167,1403 ST CHARLES STREET  SUITE 101,2005-01-24,YES,YES,YES,YES,1985-01-24,Same As Expected,3.0 - 4.0,Proprietary
