state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Maryland,61227,217027,6401 YORK ROAD 3RD FLOOR,1997-06-05,YES,YES,YES,YES,1967-06-05,Better Than Expected,4.5 - 5.0,Government - Local
Maryland,62102,217030,11800 TECH ROAD - SUITE #240,1998-05-21,YES,YES,YES,YES,1968-05-21,Same As Expected,3.0 - 4.0,Non - Profit Religious
Maryland,61577,217031,1050 WEST INDUSTRIAL BLVD,1999-07-01,YES,YES,YES,YES,1969-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Maryland,62102,217032,12041 BOURNEFIELD WAYSUITE B,2004-01-03,YES,YES,YES,YES,1974-01-03,Same As Expected,3.0 - 4.0,Non - Profit Religious
Maryland,61702,217034,605 EAST CHURCH STREET,2004-01-21,YES,YES,YES,YES,1974-01-21,Same As Expected,3.0 - 4.0,Non - Profit Private
Maryland,61352,217036,1501 S EDGEWOOD ST SUITE A,2005-01-16,YES,YES,YES,YES,1975-01-16,Same As Expected,3.0 - 4.0,Proprietary
Maryland,61727,217040,1446 W PATRICK STREET SUITES 15 16 & 17,2009-03-15,YES,YES,YES,YES,1979-03-15,Same As Expected,3.0 - 4.0,Proprietary
Maryland,61652,217045,19 NEWPORT DRIVE STE 201,2009-11-15,YES,YES,YES,YES,1979-11-15,Same As Expected,3.0 - 4.0,Proprietary
Maryland,62202,217048,511 JERMOR LANE  SUITE 200,2000-05-23,YES,YES,YES,YES,1980-05-23,Same As Expected,3.0 - 4.0,Proprietary
Maryland,62177,217047,1101 MERCANTILE LANE SUITE 292,2000-07-01,YES,YES,YES,YES,1980-07-01,Same As Expected,3.0 - 4.0,Proprietary
Maryland,62152,217058,200 EAST JOPPA ROAD STE 103,2001-10-01,YES,YES,YES,YES,1981-10-01,Same As Expected,3.0 - 4.0,Proprietary
Maryland,61602,217066,29509 CANVASBACK DRIVE SUITE 204,2002-03-18,YES,YES,YES,YES,1982-03-18,Same As Expected,3.0 - 4.0,Proprietary
Maryland,61302,217068,9601 PULASKI PARK DRIVE SUITE 417,2002-10-01,YES,YES,YES,YES,1982-10-01,Better Than Expected,4.5 - 5.0,Non - Profit Private
Maryland,62127,217072,2300 DULANEY VALLEY RD,2003-04-06,YES,YES,YES,YES,1983-04-06,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Maryland,61552,217071,9700 PATUXENT WOODS DRIVE SUITE 131,2003-07-01,YES,YES,YES,YES,1983-07-01,Worse Than Expected,1.0 - 2.5,Proprietary
Maryland,62077,217079,1001 MOUNT HERMON STREET SUITE 200,2003-12-19,YES,YES,YES,YES,1983-12-19,Same As Expected,3.0 - 4.0,Proprietary
Maryland,61327,217081,5901 HOLABIRD AVENUE SUITE A,2004-03-13,YES,YES,YES,YES,1984-03-13,Same As Expected,3.0 - 4.0,Non - Profit Private
Maryland,62027,217084,6001 MONTROSE ROAD  301,2004-04-05,YES,YES,YES,YES,1984-04-05,Same As Expected,3.0 - 4.0,Non - Profit Other
