state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
North Dakota,79902,357013,986 2ND AVE WEST,2009-03-05,YES,YES,YES,YES,1979-03-05,Same As Expected,3.0 - 4.0,Non - Profit Religious
North Dakota,79977,357014,1380 SOUTH COLUMBIA RD,2009-09-01,YES,YES,YES,YES,1979-09-01,Same As Expected,3.0 - 4.0,Non - Profit Other
North Dakota,79852,357016,1212 E MAIN AVE,2000-03-11,YES,YES,YES,YES,1980-03-11,Better Than Expected,4.5 - 5.0,Non - Profit Religious
North Dakota,80127,357021,415 2ND AVENUE NE,2002-02-08,YES,YES,YES,YES,1982-02-08,Same As Expected,3.0 - 4.0,Government - Local
North Dakota,80177,357030,1301 15TH AVENUE WEST,2004-10-18,YES,YES,YES,YES,1984-10-18,Same As Expected,3.0 - 4.0,Non - Profit Religious
North Dakota,80052,357029,910 18TH ST NW,2004-10-25,YES,YES,YES,YES,1984-10-25,Same As Expected,3.0 - 4.0,Non - Profit Other
North Dakota,80127,357035,367  2ND ST NW,2005-05-29,YES,YES,YES,YES,1985-05-29,Same As Expected,3.0 - 4.0,Non - Profit Religious
North Dakota,79927,357037,100 4TH SOUTH STREET,2005-08-30,YES,YES,YES,YES,1985-08-30,Worse Than Expected,1.0 - 2.5,Non - Profit Other
North Dakota,80102,357040,1104 HIGHWAY 5 W,2006-03-17,YES,NO,NO,YES,1986-03-17,Same As Expected,3.0 - 4.0,Proprietary
North Dakota,79852,357042,309 N MANDAN ST STE 4,2007-11-09,YES,YES,YES,YES,1987-11-09,Not Available,,Non - Profit Religious
North Dakota,80077,357044,1015 S BROADWAY STE 306,2008-02-26,YES,YES,YES,YES,1988-02-26,Same As Expected,3.0 - 4.0,Non - Profit Private
North Dakota,80002,357052,903 SUNRISE DRIVE,2009-04-25,YES,YES,YES,YES,1994-04-25,Same As Expected,3.0 - 4.0,Non - Profit Other
North Dakota,80152,357059,1307 N 7TH ST,2012-04-17,YES,YES,YES,YES,1997-04-17,Same As Expected,3.0 - 4.0,Non - Profit Religious
North Dakota,79927,357301,1102 PAGE DR SW,2014-06-15,YES,YES,YES,YES,1999-06-15,Same As Expected,3.0 - 4.0,Non - Profit Religious
North Dakota,79877,357007,3027TH AVENUE NE,2005-10-28,YES,YES,YES,YES,2003-10-28,Same As Expected,3.0 - 4.0,Non - Profit Religious
North Dakota,79952,357302,2877 45TH ST S SUITE 201,2016-12-09,YES,YES,YES,YES,2014-12-09,Not Available,,Non - Profit Religious
North Dakota,79927,357303,825 28TH ST S SUITE A,2016-02-25,YES,YES,NO,YES,2016-02-25,Not Available,,Proprietary
North Dakota,80027,357002,2422 20TH ST SW,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Non - Profit Other
North Dakota,80152,357004,413 3RD AVE N,1996-07-20,YES,NO,NO,YES,1966-07-20,Not Available,,Government - State/ County
