state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Nebraska,80552,287005,2116 W FAIDLEY AVE,1997-04-13,YES,YES,YES,YES,1967-04-13,Same As Expected,3.0 - 4.0,Non - Profit Religious
Nebraska,80602,287009,620  NORTH ST JOSEPH AVENUE,2002-04-24,YES,YES,YES,YES,1972-04-24,Same As Expected,3.0 - 4.0,Non - Profit Private
Nebraska,80327,287015,718 N 21ST STREET,2005-02-03,YES,YES,YES,YES,1975-02-03,Same As Expected,3.0 - 4.0,Non - Profit Other
Nebraska,80527,287016,2400 NORTH LINCOLN SUITE B,2006-02-01,YES,YES,YES,YES,1976-02-01,Same As Expected,3.0 - 4.0,Government - State/ County
Nebraska,80427,287008,835 MERIDAN AVENUE PO BOX 207,2007-05-01,YES,YES,YES,YES,1977-05-01,Same As Expected,3.0 - 4.0,Government - Local
Nebraska,80977,287019,810 N 96TH ST SUITE 201,2007-11-15,YES,YES,YES,YES,1977-11-15,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Nebraska,80927,287020,600 EAST FRANCIS STREET SUITES 8 & 9,2008-06-05,YES,YES,YES,YES,1978-06-05,Same As Expected,3.0 - 4.0,Non - Profit Other
Nebraska,80402,287026,3005 19TH STREET SUITE 600,2002-05-01,YES,YES,YES,YES,1982-05-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Nebraska,81102,287027,5332 S 138TH ST STE100,2002-06-28,YES,YES,YES,YES,1982-06-28,Same As Expected,3.0 - 4.0,Proprietary
Nebraska,80977,287028,1000 NORTH 90TH STREET SUITE 203,2002-07-20,YES,YES,YES,YES,1982-07-20,Same As Expected,3.0 - 4.0,Proprietary
Nebraska,80502,287036,116 WEST 19TH STREET,2003-12-19,YES,YES,YES,YES,1983-12-19,Same As Expected,3.0 - 4.0,Proprietary
Nebraska,80477,287037,P O BOX 277 2200 NORTH H STREET,2004-02-22,YES,YES,YES,YES,1984-02-22,Not Available,,Non - Profit Private
Nebraska,80977,287038,9140 WEST DODGE RD SUITE 401,2004-08-24,YES,YES,YES,YES,1984-08-24,Same As Expected,3.0 - 4.0,Proprietary
Nebraska,80452,287039,1503 MAIN STREET,2004-11-21,YES,YES,YES,YES,1984-11-21,Not Available,,Government - Local
Nebraska,80877,287040,P O BOX 229 102 WEST 9TH STREET,2005-01-28,YES,YES,YES,YES,1985-01-28,Same As Expected,3.0 - 4.0,Non - Profit Private
Nebraska,81302,287041,1625 DORWART DR STE A,2005-05-28,YES,YES,YES,YES,1985-05-28,Same As Expected,3.0 - 4.0,Non - Profit Other
Nebraska,80777,287050,245 SOUTH 84TH STREET SUITE 300,2006-05-01,YES,YES,YES,YES,1986-05-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Nebraska,81402,287053,P O BOX 367  141 EAST 5TH STREET,2008-04-01,YES,YES,YES,YES,1988-04-01,Same As Expected,3.0 - 4.0,Proprietary
Nebraska,80377,287052,825 CENTENNIAL DR,2008-05-23,YES,YES,YES,YES,1988-05-23,Same As Expected,3.0 - 4.0,Non - Profit Private
Nebraska,80227,287056,632 WEST FAIRVIEW STREET ROOM#4,2009-10-19,YES,YES,YES,YES,1989-10-19,Same As Expected,3.0 - 4.0,Government - State/ County
Nebraska,81202,287055,400 SOUTH 23RD STREET,2009-10-20,YES,YES,YES,YES,1989-10-20,Same As Expected,3.0 - 4.0,Government - State/ County
Nebraska,81327,287057,1579 MIDLAND STREET BOX N,2009-12-21,YES,YES,YES,YES,1989-12-21,Same As Expected,3.0 - 4.0,Government - Local
