state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Ohio,91552,367102,15100 BIRCHAVEN LANE,1997-05-23,YES,YES,YES,YES,1967-05-23,Same As Expected,3.0 - 4.0,Non - Profit Private
Ohio,92827,367103,31927 STATE ROUTE 93 NORTH,1997-06-05,YES,YES,YES,YES,1967-06-05,Same As Expected,3.0 - 4.0,Government - Local
Ohio,91002,367034,117 SOUTH MAIN STREET 2ND FLOOR,2001-01-01,YES,YES,YES,NO,1971-01-01,Not Available,,Government - Local
Ohio,91652,367117,2881 STATE ROUTE 160,2001-06-24,YES,YES,NO,YES,1971-06-24,Same As Expected,3.0 - 4.0,Non - Profit Other
Ohio,91677,367118,425 HOME STREET,2002-01-10,YES,YES,YES,YES,1972-01-10,Same As Expected,3.0 - 4.0,Proprietary
Ohio,88327,367128,3949 JEFFERSON ROAD,2004-08-19,YES,YES,YES,YES,1974-08-19,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Ohio,94852,367131,1159 WESTWOOD DRIVE,2005-02-06,YES,YES,YES,YES,1975-02-06,Same As Expected,3.0 - 4.0,Non - Profit Private
Ohio,91352,367134,425 WEST 5TH STREET,2005-11-17,YES,YES,YES,YES,1975-11-17,Same As Expected,3.0 - 4.0,Non - Profit Private
Ohio,94327,367135,380 SUMMIT AVENUE,2006-01-15,YES,YES,NO,YES,1976-01-15,Same As Expected,3.0 - 4.0,Non - Profit Religious
Ohio,92252,367137,1231 EAST MAIN STREET,2006-04-12,YES,YES,YES,YES,1976-04-12,Same As Expected,3.0 - 4.0,Proprietary
Ohio,88802,367139,966 EAST MARKET STREET,2006-12-13,YES,YES,NO,YES,1976-12-13,Same As Expected,3.0 - 4.0,Non - Profit Other
Ohio,93677,367140,1856 E PERRY STREET,2007-06-29,YES,YES,YES,YES,1977-06-29,Same As Expected,3.0 - 4.0,Government - State/ County
Ohio,88977,367141,1115 CANTON ROAD SUITE C,2007-07-01,YES,YES,YES,YES,1977-07-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Ohio,92052,367142,6801 BRECKSVILLE ROAD SUITE 10,2007-08-16,YES,YES,YES,YES,1977-08-16,Better Than Expected,4.5 - 5.0,Non - Profit Private
Ohio,93152,367145,1843 OAKWOOD AVENUE,2008-05-10,YES,YES,YES,YES,1978-05-10,Same As Expected,3.0 - 4.0,Government - Local
Ohio,92702,367146,500 LONDON AVENUE,2008-10-20,YES,YES,YES,YES,1978-10-20,Same As Expected,3.0 - 4.0,Government - State/ County
Ohio,95502,367114,2503 MAPLE AVENUE,2009-01-01,YES,YES,YES,YES,1979-01-01,Worse Than Expected,1.0 - 2.5,Proprietary
Ohio,88202,367159,495 PORTAGE LAKES DRIVE,2001-09-02,YES,YES,YES,YES,1981-09-02,Same As Expected,3.0 - 4.0,Proprietary
Ohio,93027,367160,3170 KETTERING BOULEVARD,2001-09-24,YES,YES,YES,YES,1981-09-24,Better Than Expected,4.5 - 5.0,Non - Profit Other
Ohio,89827,367158,11890 FAIRHILL ROAD,2001-10-07,YES,YES,YES,YES,1981-10-07,Not Available,,Non - Profit Private
Ohio,89377,367163,8050 HOSBROOK SUITE 406,2001-11-04,YES,YES,YES,YES,1981-11-04,Same As Expected,3.0 - 4.0,Proprietary
Ohio,89227,367167,2300 WALL STREET SUITE D,2001-11-04,YES,YES,YES,YES,1981-11-04,Worse Than Expected,1.0 - 2.5,Proprietary
