state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Oregon,99577,387032,1416 SE COURT AVENUE,2003-08-15,YES,YES,YES,YES,1973-08-15,Better Than Expected,4.5 - 5.0,Non - Profit Religious
Oregon,99802,387033,2675 NW EDENBOWER BLVD,2005-04-14,YES,YES,YES,YES,1975-04-14,Same As Expected,3.0 - 4.0,Non - Profit Religious
Oregon,99327,387037,2502 COVE AVENUE SUITE A,2007-05-09,YES,YES,NO,YES,1977-05-09,Same As Expected,3.0 - 4.0,Non - Profit Private
Oregon,99202,387038,564 EAST PIONEER DRIVE,2007-10-08,YES,YES,NO,YES,1977-10-08,Worse Than Expected,1.0 - 2.5,Government - State/ County
Oregon,99552,387039,3950 SHERMAN AVENUE,2008-01-01,YES,YES,YES,YES,1978-01-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Oregon,99902,387041,1730 EAST 12TH STREET,2008-05-01,YES,YES,YES,YES,1978-05-01,Better Than Expected,4.5 - 5.0,Non - Profit Private
Oregon,99277,387045,422 WEST MAIN STREET,2000-01-21,YES,YES,YES,YES,1980-01-21,Same As Expected,3.0 - 4.0,Government - State/ County
Oregon,99727,387047,5835 NE 122ND AVENUE STE 155,2000-11-13,YES,YES,YES,YES,1980-11-13,Same As Expected,3.0 - 4.0,Non - Profit Religious
Oregon,99627,387048,6410 NE HALSEY STREET SUITE 200,2001-02-04,YES,YES,YES,YES,1981-02-04,Same As Expected,3.0 - 4.0,Non - Profit Religious
Oregon,99052,387057,2650 SUZANNE WAY SUITE 200,2002-07-28,YES,YES,YES,YES,1982-07-28,Same As Expected,3.0 - 4.0,Non - Profit Private
Oregon,99102,387062,3201 19TH AVENUE,2003-04-11,YES,YES,YES,YES,1983-04-11,Same As Expected,3.0 - 4.0,Non - Profit Private
Oregon,99877,387064,209 NORTH PACIFIC HWY,2003-07-01,YES,YES,YES,YES,1983-07-01,Same As Expected,3.0 - 4.0,Government - Combination Government & Voluntary
Oregon,99077,387066,2230 KINGWOOD STREET,2003-09-29,YES,YES,YES,YES,1983-09-29,Same As Expected,3.0 - 4.0,Non - Profit Private
Oregon,98777,387067,2075 NE WYATT COURT,2003-10-01,YES,YES,YES,YES,1983-10-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Oregon,99302,387075,2605 CROSBY AVE,2004-03-09,YES,YES,YES,YES,1984-03-09,Same As Expected,3.0 - 4.0,Non - Profit Private
Oregon,99502,387074,570 SOUTH MAIN STREET,2004-03-15,YES,YES,YES,YES,1984-03-15,Same As Expected,3.0 - 4.0,Non - Profit Religious
Oregon,99177,387076,1830 NE 7TH STREET SUITE 101,2004-05-10,YES,YES,YES,YES,1984-05-10,Better Than Expected,4.5 - 5.0,Proprietary
Oregon,99527,387077,749 SW 11TH STREET,2004-06-13,YES,YES,YES,YES,1984-06-13,Same As Expected,3.0 - 4.0,Non - Profit Other
Oregon,98902,387079,942 NORTH CENTRAL BOULEVARD,2004-06-29,YES,YES,YES,YES,1984-06-29,Same As Expected,3.0 - 4.0,Non - Profit Other
Oregon,99152,387087,29975 HARBOR WAY SUITE A,2005-06-28,YES,YES,YES,YES,1985-06-28,Better Than Expected,4.5 - 5.0,Non - Profit Private
Oregon,99377,387086,3011 NE 28TH STREET,2005-07-16,YES,YES,YES,YES,1985-07-16,Same As Expected,3.0 - 4.0,Non - Profit Other
Oregon,98952,387089,601 MEDICAL PARKWAY,2005-11-13,YES,YES,NO,NO,1985-11-13,Same As Expected,3.0 - 4.0,Government - State/ County
Oregon,99227,387090,435 NW 11TH STREET,2006-02-12,YES,YES,YES,YES,1986-02-12,Same As Expected,3.0 - 4.0,Non - Profit Other
Oregon,98927,387092,815 NW 9TH STREET AVERY SQUARE SUITE 202,2006-04-02,YES,YES,YES,YES,1986-04-02,Same As Expected,3.0 - 4.0,Non - Profit Private
Oregon,99852,387093,1255 LEE STREET SE SUITE 110,2007-03-19,YES,YES,YES,YES,1987-03-19,Same As Expected,3.0 - 4.0,Non - Profit Private
Oregon,99452,387098,691 MURPHY ROAD SUITE 236,2009-06-27,YES,YES,YES,YES,1989-06-27,Same As Expected,3.0 - 4.0,Proprietary
Oregon,99402,387108,421 SE EVANS STREET,2007-08-07,YES,YES,YES,YES,1992-08-07,Same As Expected,3.0 - 4.0,Proprietary
Oregon,99127,387130,712 JAY STREET,2009-04-06,YES,YES,NO,YES,1994-04-06,Not Available,,Non - Profit Private
Oregon,98727,387122,2158 EXCHANGE STREET SUITE 206,2009-08-23,YES,YES,YES,YES,1994-08-23,Same As Expected,3.0 - 4.0,Non - Profit Religious
Oregon,99977,387127,29757 SW BOONES FERRY ROAD,2011-01-19,YES,YES,YES,YES,1996-01-19,Same As Expected,3.0 - 4.0,Proprietary
Oregon,99827,387136,3220 STATE STREET SUITE 100,2011-07-30,YES,YES,YES,NO,1996-07-30,Better Than Expected,4.5 - 5.0,Proprietary
Oregon,98877,387135,455 SOUTH 4TH SUITE 3,2011-08-13,YES,YES,YES,YES,1996-08-13,Same As Expected,3.0 - 4.0,Proprietary
Oregon,99352,387141,922 S 7TH STREET,2011-09-05,YES,YES,YES,YES,1996-09-05,Same As Expected,3.0 - 4.0,Non - Profit Other
Oregon,99002,387140,2620 RIVER ROAD 200A,2012-07-30,YES,YES,YES,YES,1997-07-30,Same As Expected,3.0 - 4.0,Proprietary
Oregon,98827,387142,834 SOUTH FRONT STREET,2013-10-07,YES,YES,YES,YES,1998-10-07,Same As Expected,3.0 - 4.0,Proprietary
Oregon,99777,387311,1820 NW MULHOLLAND DRIVE,2014-04-01,YES,YES,YES,YES,1999-04-01,Better Than Expected,4.5 - 5.0,Proprietary
Oregon,99177,387143,402 SE G STREET,2014-12-15,YES,YES,YES,YES,1999-12-15,Better Than Expected,4.5 - 5.0,Proprietary
Oregon,99652,387146,7515 NE AMBASSADOR PLACE SUITE C,2005-01-09,YES,YES,YES,YES,2003-01-09,Same As Expected,3.0 - 4.0,Proprietary
Oregon,99852,387147,2608 CASCADIA INDUSTRIAL ST SE,2005-05-15,YES,YES,YES,YES,2003-05-15,Worse Than Expected,1.0 - 2.5,Proprietary
Oregon,99927,387148,7632 SW DURHAM RD SUITE 105,2005-10-06,YES,YES,YES,YES,2003-10-06,Same As Expected,3.0 - 4.0,Proprietary
Oregon,99027,387149,3500 HILYARD STREET,2006-03-18,YES,YES,YES,YES,2004-03-18,Same As Expected,3.0 - 4.0,Non - Profit Religious
Oregon,98752,387150,1515 CAMPBELL ST SUITE A,2006-05-20,YES,YES,YES,YES,2004-05-20,Better Than Expected,4.5 - 5.0,Proprietary
Oregon,99477,387151,4560 SE INTERNATIONAL WAY SUITE 100,2006-10-01,YES,YES,YES,NO,2004-10-01,Same As Expected,3.0 - 4.0,Proprietary
Oregon,99952,387312,980 3RD STREET PO BOX 188,2009-01-01,YES,YES,YES,YES,2007-01-01,Better Than Expected,4.5 - 5.0,Proprietary
Oregon,99777,387155,847 SE WATSON STREET,2012-09-13,YES,NO,NO,YES,2010-09-13,Not Available,,Proprietary
Oregon,99827,387156,2965 RYAN DRIVE SE SUITE 100,2013-10-29,YES,YES,YES,YES,2011-10-29,Same As Expected,3.0 - 4.0,Proprietary
Oregon,99702,387158,9900 SW WILSHIRE STREET #170,2014-06-29,YES,YES,YES,YES,2012-06-29,Same As Expected,3.0 - 4.0,Proprietary
Oregon,99452,387157,830 O'HARE PARKWAY #102,2014-07-11,YES,YES,YES,YES,2012-07-11,Same As Expected,3.0 - 4.0,Proprietary
Oregon,98752,387159,1705 MAIN ST SUITE 101,2014-08-29,YES,YES,YES,YES,2012-08-29,Not Available,,Proprietary
Oregon,98852,387160,10121 SE SUNNYSIDE ROAD SUITE 210,2015-01-28,YES,YES,YES,YES,2013-01-28,Same As Expected,3.0 - 4.0,Proprietary
Oregon,99252,387161,341  SE  3RD AVENUE,2015-10-24,YES,YES,YES,YES,2013-10-24,Not Available,,Proprietary
Oregon,99752,387162,4380 SW MACADAM AVENUE SUITE 180,2016-10-03,YES,YES,YES,YES,2014-10-03,Not Available,,Proprietary
Oregon,98802,387000,415 NORTH FAIRVIEW,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Government - State/ County
Oregon,99677,387003,16083 SW UPPER BOONES FERRY RD SUITE 100,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Proprietary
Oregon,99602,387007,2701 NW VAUGHN STREET SUITE 140,1996-07-01,YES,YES,YES,YES,1966-07-01,Not Available,,Non - Profit Private
Oregon,99427,387016,2033 COMMERCE DRIVE,1996-07-01,YES,YES,YES,YES,1966-07-01,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Oregon,98977,387023,677 E 12TH AVE SUITE N200,1996-07-01,YES,YES,YES,YES,1966-07-01,Better Than Expected,4.5 - 5.0,Non - Profit Religious
Oregon,98777,387026,63031 NE LAYTON AVE,1996-08-05,YES,YES,YES,YES,1966-08-05,Same As Expected,3.0 - 4.0,Non - Profit Private
