state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Pennsylvania,101377,397083,875 NORTH EASTON ROAD,1998-09-16,YES,YES,YES,YES,1968-09-16,Same As Expected,3.0 - 4.0,Non - Profit Private
Pennsylvania,103752,397089,7 PARK STREET,1998-09-25,YES,YES,YES,YES,1968-09-25,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,100177,397087,20 SHERATON DRIVE,1999-01-01,YES,YES,YES,YES,1969-01-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Pennsylvania,106052,397092,TWO CRESCENT PK W PO BOX 68,1999-11-01,YES,YES,YES,YES,1969-11-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,101127,397091,438 WEST FRONT STREET,1999-12-08,YES,YES,YES,YES,1969-12-08,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,102127,397090,134 INDUSTRIAL PARK ROAD,1999-12-10,YES,YES,YES,YES,1969-12-10,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Pennsylvania,103852,397095,65 QUEEN STREET,2000-05-22,YES,YES,YES,YES,1970-05-22,Same As Expected,3.0 - 4.0,Non - Profit Private
Pennsylvania,100777,397094,154 HINDMAN RD,2000-08-12,YES,YES,YES,YES,1970-08-12,Same As Expected,3.0 - 4.0,Non - Profit Private
Pennsylvania,105077,397096,602 EAST MAHONING STREET,2000-09-02,YES,YES,YES,YES,1970-09-02,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,102527,397097,850 HOSPITAL ROAD 3RD FLOOR,2001-07-01,YES,YES,YES,YES,1971-07-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,102052,397101,491 ALLEGHENY BOULEVARD,2002-06-23,YES,YES,YES,YES,1972-06-23,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,102427,397102,850 SOUTH HERMITAGE ROAD SUITE C,2003-01-10,YES,YES,YES,YES,1973-01-10,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Pennsylvania,104502,397104,12265 TOWNSEND RD,2003-07-19,YES,YES,YES,YES,1973-07-19,Same As Expected,3.0 - 4.0,Non - Profit Religious
Pennsylvania,104252,397107,444 NORTH THIRD STREET STE 202,2004-01-14,YES,YES,YES,YES,1974-01-14,Not Available,,Non - Profit Private
Pennsylvania,101077,397116,271 PERKINS ROAD,2005-09-25,YES,YES,YES,YES,1975-09-25,Same As Expected,3.0 - 4.0,Non - Profit Private
Pennsylvania,105752,397119,2872 TURNPIKE STREET,2006-03-10,YES,YES,NO,YES,1976-03-10,Same As Expected,3.0 - 4.0,Non - Profit Private
Pennsylvania,105852,397120,421 TOMAHAWK ROAD,2006-05-01,YES,YES,YES,YES,1976-05-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Pennsylvania,105652,397126,2437 EAST COLLEGE AVENUE SUITE 6,2007-03-16,YES,YES,YES,YES,1977-03-16,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,100252,397125,150 MONUMENT ROAD SUITE 300,2007-04-26,YES,YES,YES,YES,1977-04-26,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,100602,397130,1223 EAST MAIN STREET,2007-10-07,YES,YES,YES,YES,1977-10-07,Same As Expected,3.0 - 4.0,Non - Profit Private
Pennsylvania,102977,397105,800 MAHONING STREET,2007-11-02,YES,YES,YES,YES,1977-11-02,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,102477,397135,600 MAPLE AVENUE AND STOURBRIDGE MALL,2008-04-01,YES,YES,YES,YES,1978-04-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Pennsylvania,101002,397133,2700 LUTHER DR,2008-06-06,YES,YES,YES,YES,1978-06-06,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Pennsylvania,103002,397134,110 YOUNGSTOWN ROAD,2008-09-01,YES,YES,YES,YES,1978-09-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,105427,397129,1223 POTTSVILLE PIKE,2008-11-16,YES,YES,YES,YES,1978-11-16,Same As Expected,3.0 - 4.0,Non - Profit Private
Pennsylvania,106127,397138,1150 7TH STREET SUITE 4,2009-02-09,YES,YES,YES,YES,1979-02-09,Same As Expected,3.0 - 4.0,Proprietary
Pennsylvania,105927,397139,1368 MALL RUN ROAD SUITE 628,2009-02-15,YES,YES,YES,YES,1979-02-15,Same As Expected,3.0 - 4.0,Proprietary
Pennsylvania,104677,397141,4800 FRIENDSHIP AVENUE,2009-05-16,YES,YES,YES,YES,1979-05-16,Not Available,,Non - Profit Private
Pennsylvania,105602,397144,200 WEST SPROUL ROAD,2000-03-21,YES,YES,YES,YES,1980-03-21,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,106402,397145,2510 MARYLAND ROAD SUITE 250,2000-09-09,YES,YES,YES,YES,1980-09-09,Same As Expected,3.0 - 4.0,Non - Profit Private
Pennsylvania,101802,397157,1700 PEACH STREET SUITE 244,2001-08-13,YES,YES,YES,YES,1981-08-13,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,101102,397167,100 ABINGTON EXECUTIVE PARK,2002-02-12,YES,YES,YES,YES,1982-02-12,Same As Expected,3.0 - 4.0,Non - Profit Private
Pennsylvania,100702,397173,240 ALLEGHENY BLVD STE G,2002-04-28,YES,YES,YES,YES,1982-04-28,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,104627,397183,TOWNE CTR OFFICES 1789 SOUTH BRADDOCK AVE STE 220,2002-09-23,YES,YES,YES,YES,1982-09-23,Better Than Expected,4.5 - 5.0,Proprietary
Pennsylvania,102652,397184,261 OLD YORK ROAD,2002-10-01,YES,YES,YES,YES,1982-10-01,Not Available,,Proprietary
Pennsylvania,104652,397188,750 HOLIDAY DR FOSTER PLAZA 9,2003-02-02,YES,YES,YES,YES,1983-02-02,Same As Expected,3.0 - 4.0,Proprietary
Pennsylvania,105502,397196,223 SOUTH PLEASANT AVENUE,2003-06-13,YES,YES,YES,YES,1983-06-13,Same As Expected,3.0 - 4.0,Non - Profit Private
Pennsylvania,105577,397197,909 SUMNEYTOWN PK SUITE 105,2003-06-15,YES,YES,YES,YES,1983-06-15,Not Available,,Proprietary
Pennsylvania,100277,397203,150 MONUMENT ROAD SUITE 300,2003-10-04,YES,YES,YES,YES,1983-10-04,Same As Expected,3.0 - 4.0,Non - Profit Other
Pennsylvania,100102,397202,5100 TILGHMAN STREET SUITE 205,2003-10-12,YES,YES,NO,YES,1983-10-12,Not Available,,Proprietary
Pennsylvania,100277,397212,19 BALA AVENUE,2004-01-03,YES,YES,YES,YES,1984-01-03,Same As Expected,3.0 - 4.0,Proprietary
Pennsylvania,105052,397214,420 SOUTH JACKSON ST,2004-01-19,YES,YES,YES,YES,1984-01-19,Same As Expected,3.0 - 4.0,Non - Profit Private
Pennsylvania,103452,397221,2500 MOSSIDE BOULEVARD,2004-03-04,YES,YES,YES,YES,1984-03-04,Same As Expected,3.0 - 4.0,Proprietary
Pennsylvania,104477,397231,8101 CASTOR AVENUE,2004-04-05,YES,YES,YES,YES,1984-04-05,Same As Expected,3.0 - 4.0,Non - Profit Private
