state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
South Carolina,107177,427846,1704 E GREENVILLE STREET SUITE 2D,2001-11-16,YES,YES,YES,YES,1971-11-16,Same As Expected,3.0 - 4.0,Government - State/ County
South Carolina,107627,427858,1705 WEST EVANS STREET,2002-10-01,YES,YES,YES,YES,1972-10-01,Not Available,,Government - State/ County
South Carolina,108052,427850,2521 EVANS STREET,2003-02-01,YES,YES,YES,YES,1973-02-01,Better Than Expected,4.5 - 5.0,Proprietary
South Carolina,107627,427854,1705 W EVANS STREET,2003-07-01,YES,YES,YES,YES,1973-07-01,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,108302,427856,415 E ROBERTSON BLVD,2004-07-01,YES,YES,YES,YES,1974-07-01,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107352,427004,51 NASSAU ST,2005-10-01,YES,YES,YES,YES,1975-10-01,Not Available,,Proprietary
South Carolina,108102,427005,2675 LAKE PARK DRIVE,2007-01-20,YES,YES,YES,YES,1977-01-20,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,108127,427006,719 OKATIE HIGHWAY 170 N,2007-06-01,YES,YES,NO,YES,1977-06-01,Worse Than Expected,1.0 - 2.5,Non - Profit Private
South Carolina,107852,427007,3627 MAYBANK HWY,2007-09-27,YES,YES,YES,YES,1977-09-27,Not Available,,Non - Profit Other
South Carolina,108027,427009,2694 LAKE PARK DRIVE,2009-07-27,YES,YES,YES,YES,1979-07-27,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107827,427010,2 PALMETTO WOOD PKWY SUITE 201,2009-08-03,YES,YES,YES,YES,1979-08-03,Better Than Expected,4.5 - 5.0,Proprietary
South Carolina,107552,427013,PO BOX 7275,2000-07-10,YES,YES,YES,YES,1980-07-10,Same As Expected,3.0 - 4.0,Non - Profit Private
South Carolina,107752,427015,16 HYLAND ROAD,2000-08-13,YES,YES,YES,YES,1980-08-13,Better Than Expected,4.5 - 5.0,Proprietary
South Carolina,107752,427017,15 BENDAN WAY SUITE 250,2000-08-13,YES,YES,YES,YES,1980-08-13,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107777,427018,1325 SPRING STREET,2000-11-25,YES,YES,NO,YES,1980-11-25,Same As Expected,3.0 - 4.0,Government - State/ County
South Carolina,107452,427020,PO BOX 813,2001-01-27,YES,YES,NO,YES,1981-01-27,Worse Than Expected,1.0 - 2.5,Proprietary
South Carolina,108077,427300,106B EAST MARTINTOWN RD,2001-06-01,YES,YES,YES,YES,1981-06-01,Same As Expected,3.0 - 4.0,Non - Profit Other
South Carolina,108227,427024,120 HEYWOOD AVE,2001-12-21,YES,YES,YES,YES,1981-12-21,Same As Expected,3.0 - 4.0,Government - State/ County
South Carolina,108002,427025,4685 HWY 17 BYPASS,2002-04-22,YES,YES,YES,YES,1982-04-22,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107427,427027,1027 PHYSICIANS DRIVE SUITE 210,2002-09-13,YES,YES,YES,YES,1982-09-13,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107727,427029,440 ROPER MOUNTAIN ROAD SUITE C,2004-02-17,YES,YES,YES,YES,1984-02-17,Same As Expected,3.0 - 4.0,Government - State/ County
South Carolina,107227,427030,923 MIDWAY ST PO BOX 1048,2004-08-13,YES,YES,YES,YES,1984-08-13,Same As Expected,3.0 - 4.0,Non - Profit Private
South Carolina,107202,427032,1926 MCCONNELL SPRINGS RD PO BOX 195,2005-01-19,YES,YES,YES,YES,1985-01-19,Same As Expected,3.0 - 4.0,Non - Profit Other
South Carolina,107902,427034,901 MEETING ST,2005-04-19,YES,YES,YES,YES,1985-04-19,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,108102,427035,4975 LACROSS RD STE 354,2005-07-09,YES,YES,YES,YES,1985-07-09,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107327,427036,1110 BROAD STREET,2005-12-04,YES,YES,YES,YES,1985-12-04,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107652,427037,1605C W PALMETTO ST,2006-06-06,YES,YES,NO,YES,1986-06-06,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107927,427039,714 SOUTHLAKE DRIVE SUITE 250,2007-02-26,YES,YES,YES,YES,1987-02-26,Better Than Expected,4.5 - 5.0,Proprietary
South Carolina,107377,427042,1483 TOBIAS GADSON BLVD. SUITE 208A,2008-02-12,YES,YES,YES,YES,1988-02-12,Same As Expected,3.0 - 4.0,Non - Profit Private
South Carolina,107527,427000,2000 HAMPTON STREET,2005-01-01,YES,YES,YES,YES,1990-01-01,Not Available,,Government - State/ County
South Carolina,108002,427045,1240 21ST AVENUE NORTHSUITE 200,2005-07-31,YES,YES,YES,YES,1990-07-31,Worse Than Expected,1.0 - 2.5,Proprietary
South Carolina,107327,427046,124 BATTLESHIP ROAD,2006-01-09,YES,YES,YES,YES,1991-01-09,Same As Expected,3.0 - 4.0,Non - Profit Other
South Carolina,107302,427048,59 SHERIDAN PARK CIRCLE  SUITE A,2006-04-03,YES,YES,YES,NO,1991-04-03,Worse Than Expected,1.0 - 2.5,Proprietary
South Carolina,107752,427049,10 PATEWOOD DRIVE BLDG 6 STE 300,2006-04-24,YES,YES,YES,YES,1991-04-24,Better Than Expected,4.5 - 5.0,Non - Profit Other
South Carolina,107802,427051,300 NEW RIVER PARKWAY SUITE 7,2006-05-22,YES,YES,YES,YES,1991-05-22,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107402,427055,408 FOLLY ROAD,2007-05-27,YES,YES,YES,YES,1992-05-27,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107627,427057,300 SOUTH DARGAN STREET,2007-06-11,YES,YES,YES,YES,1992-06-11,Same As Expected,3.0 - 4.0,Non - Profit Private
South Carolina,107627,427058,121 E. CEDAR STREET PO BOX 100550,2007-09-10,YES,YES,YES,YES,1992-09-10,Worse Than Expected,1.0 - 2.5,Proprietary
South Carolina,107577,427061,2000 CENTER POINT DR SUITE 2300,2008-02-23,YES,YES,YES,YES,1993-02-23,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107477,427063,1645 JA COCHRAN BYPASS SUITE 1,2008-07-30,YES,YES,YES,YES,1993-07-30,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,108177,427064,1674 CRANIUM DRIVE SUITE 101,2008-08-19,YES,YES,YES,YES,1993-08-19,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107702,427065,2503 HIGHMARKET STREET,2008-12-21,YES,YES,YES,YES,1993-12-21,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,108002,427067,1309 PROFESSIONAL DRIVE STE 100,2009-02-17,YES,YES,YES,YES,1994-02-17,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107877,427068,127 E MILL STREET,2009-04-08,YES,YES,YES,YES,1994-04-08,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107302,427074,7 PLANTATION PARK DRIVE UNIT 4  PO BOX 3827,2010-11-08,YES,YES,YES,YES,1995-11-08,Not Available,,Non - Profit Private
South Carolina,107777,427075,315 WEST ALEXANDER AVENUE,2010-12-29,YES,YES,YES,YES,1995-12-29,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107102,427076,104 W PICKENS STREET,2011-02-01,YES,YES,YES,YES,1996-02-01,Better Than Expected,4.5 - 5.0,Government - State/ County
South Carolina,107127,427077,690 MEDICAL PARK DRIVE,2011-02-07,YES,YES,YES,YES,1996-02-07,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,108277,427078,500 PINEWOOD ROAD SUITE 2,2011-04-26,YES,YES,YES,YES,1996-04-26,Same As Expected,3.0 - 4.0,Non - Profit Private
South Carolina,107502,427079,700 PLAZA CIRCLE SUITE O,2011-05-23,YES,YES,YES,YES,1996-05-23,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,108352,427081,102 US HY 321 BYPASS PO BX 620,2011-07-18,YES,YES,YES,YES,1996-07-18,Same As Expected,3.0 - 4.0,Non - Profit Other
South Carolina,107952,427108,619 SOUTH MILL STREET,2012-02-01,YES,YES,YES,YES,1997-02-01,Same As Expected,3.0 - 4.0,Non - Profit Other
South Carolina,108252,427303,109 BURTON AVE SUITE D,2012-02-12,YES,YES,YES,YES,1997-02-12,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,108327,427302,3229 SUNSET BLVD SUITE N,2012-04-01,YES,YES,YES,YES,1997-04-01,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107577,427109,140 STONERIDGE DRIVE STE 620,2012-05-08,YES,YES,YES,YES,1997-05-08,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,108152,427110,1895 ST MATTHEWS ROAD,2012-06-05,YES,YES,YES,YES,1997-06-05,Same As Expected,3.0 - 4.0,Government - State/ County
South Carolina,107602,427112,176 WACCAMAW MEDICAL PK CT,2014-04-09,YES,YES,YES,YES,1999-04-09,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,108202,427114,298 MEMORIAL DRIVE,2014-08-20,YES,YES,YES,YES,1999-08-20,Same As Expected,3.0 - 4.0,Non - Profit Other
South Carolina,107502,427116,210 PHYSICIANS PARK DR STE U,2005-02-12,YES,YES,YES,YES,2003-02-12,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107252,427304,2121 BOUNDARY STREET SUITE 200,2005-07-01,YES,YES,YES,YES,2003-07-01,Worse Than Expected,1.0 - 2.5,Proprietary
South Carolina,107677,427117,517 CHESNEE HIGHWAY SUITE C & D,2009-06-13,YES,YES,YES,YES,2007-06-13,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107152,427119,690 MEDICAL PARK DR SUITE 400,2011-08-07,YES,YES,YES,YES,2009-08-07,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107277,427120,405 EAST MAIN STREET,2012-01-21,YES,YES,NO,YES,2010-01-21,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,108002,427121,1293 PROFESSIONAL DRIVE,2012-02-19,YES,YES,NO,YES,2010-02-19,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107252,427123,1605 NORTH STREET,2015-11-07,YES,YES,YES,YES,2013-11-07,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107977,427124,9405 HIGHWAY 17 BYPASS,2016-07-09,YES,YES,YES,YES,2014-07-09,Not Available,,Proprietary
South Carolina,107127,427128,410 UNIVERSITY PARKWAY,2016-10-17,YES,YES,YES,YES,2014-10-17,Same As Expected,3.0 - 4.0,Proprietary
South Carolina,107302,427125,14 WESTBURY PARK WAY STE 102,2016-10-29,YES,YES,YES,YES,2014-10-29,Not Available,,Proprietary
South Carolina,108327,427126,215 MEDICAL CIRCLE,2016-12-12,YES,YES,YES,YES,2014-12-12,Not Available,,Proprietary
South Carolina,108127,427127,3039 OKATIE HIGHWAY,2015-01-06,YES,YES,YES,NO,2015-01-06,Not Available,,Proprietary
South Carolina,107627,427129,609 S COIT STREET,2015-04-17,YES,YES,NO,YES,2015-04-17,Not Available,,Proprietary
South Carolina,107477,427130,118 YORK STREET,2016-06-09,YES,YES,YES,YES,2016-06-09,Not Available,,Proprietary
South Carolina,107152,427001,1307 EAST PINE LOG ROAD SUITE B,1997-02-01,YES,YES,NO,YES,1967-02-01,Same As Expected,3.0 - 4.0,Proprietary
