state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
South Dakota,109052,437006,501 SUMMIT,1998-01-01,YES,YES,YES,YES,1968-01-01,Same As Expected,3.0 - 4.0,Non - Profit Other
South Dakota,109027,437009,245 MAIN STREET,2007-08-10,YES,YES,NO,YES,1977-08-10,Same As Expected,3.0 - 4.0,Non - Profit Private
South Dakota,108577,437008,172 4TH ST SE,2008-07-01,YES,YES,YES,YES,1978-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
South Dakota,109002,437019,401 9TH AVE NW  POST OFFICE BOX 1210,2004-07-31,YES,YES,YES,YES,1984-07-31,Worse Than Expected,1.0 - 2.5,Non - Profit Private
South Dakota,108377,437024,201 S LLOYD ST STE 210 W  POST OFFICE BOX 4450,2004-11-07,YES,YES,YES,YES,1984-11-07,Same As Expected,3.0 - 4.0,Non - Profit Other
South Dakota,108677,437020,318 WEST 5TH STREET,2004-11-20,YES,YES,YES,YES,1984-11-20,Not Available,,Non - Profit Private
South Dakota,108452,437030,300 22ND AVE,2005-08-21,YES,YES,YES,YES,1985-08-21,Same As Expected,3.0 - 4.0,Government - Local
South Dakota,108952,437037,1440 NORTH MAIN,2007-03-05,YES,YES,YES,YES,1992-03-05,Same As Expected,3.0 - 4.0,Non - Profit Private
South Dakota,108752,437039,255 TEXAS ST,2007-03-23,YES,YES,YES,YES,1992-03-23,Same As Expected,3.0 - 4.0,Non - Profit Private
South Dakota,108627,437040,102 MAJOR ALLEN STREET POST OFFICE BOX 70,2007-09-10,YES,YES,NO,YES,1992-09-10,Not Available,,Non - Profit Private
South Dakota,108702,437041,525 NORTH FOSTER,2007-10-21,YES,YES,YES,YES,1992-10-21,Same As Expected,3.0 - 4.0,Non - Profit Other
South Dakota,108727,437046,801 E SIOUX AVE,2008-12-21,YES,YES,YES,YES,1993-12-21,Same As Expected,3.0 - 4.0,Non - Profit Other
South Dakota,108752,437047,725 INDIANA ST,2009-02-04,YES,YES,NO,YES,1994-02-04,Same As Expected,3.0 - 4.0,Proprietary
South Dakota,108877,437051,900 E 20TH ST STE 317,2009-08-17,YES,YES,YES,YES,1994-08-17,Same As Expected,3.0 - 4.0,Proprietary
South Dakota,108652,437053,901 EAST VIRGIL AVE,2009-09-09,YES,YES,YES,YES,1994-09-09,Not Available,,Non - Profit Other
South Dakota,108602,437054,728 S WASHINGTON AVE,2009-10-06,YES,YES,YES,YES,1994-10-06,Not Available,,Non - Profit Private
South Dakota,108802,437055,1005 W 1ST ST UNIV PLZ STE 2  POST OFFICE BOX 420,2010-01-06,YES,YES,YES,YES,1995-01-06,Not Available,,Non - Profit Private
South Dakota,108827,437056,3608 S SOUTHEASTERN AVE,2010-01-24,YES,YES,YES,YES,1995-01-24,Same As Expected,3.0 - 4.0,Proprietary
South Dakota,108502,437057,600 E LINCOLN ST,2010-01-25,YES,YES,YES,YES,1995-01-25,Not Available,,Proprietary
South Dakota,108552,437059,611 EAST 2ND AVE,2010-02-08,YES,YES,YES,YES,1995-02-08,Not Available,,Proprietary
South Dakota,108527,437063,410 9TH ST  POST OFFICE BOX 517,2010-06-27,YES,YES,NO,YES,1995-06-27,Not Available,,Non - Profit Other
South Dakota,108927,437067,205 ORCHARD DRIVE,2011-04-10,YES,YES,YES,YES,1996-04-10,Same As Expected,3.0 - 4.0,Non - Profit Private
South Dakota,108977,437070,EAST CEMETERY RD HC 64 BOX 30,2011-10-03,YES,YES,NO,YES,1996-10-03,Same As Expected,3.0 - 4.0,Proprietary
South Dakota,108427,437071,413 9TH ST,2011-10-25,YES,YES,YES,YES,1996-10-25,Not Available,,Non - Profit Private
South Dakota,108477,437072,701 3RD AVE SOUTH,2011-12-11,YES,YES,YES,YES,1996-12-11,Not Available,,Proprietary
South Dakota,108877,437075,3700 S KIWANIS AVE  STE 4,2012-07-15,YES,YES,YES,YES,1997-07-15,Same As Expected,3.0 - 4.0,Non - Profit Religious
South Dakota,108702,437077,910 S EDGERTON,2003-09-12,YES,YES,YES,NO,2001-09-12,Not Available,,Proprietary
South Dakota,108752,437300,1301 W OMAHA STE 205,2004-07-11,YES,YES,YES,YES,2002-07-11,Same As Expected,3.0 - 4.0,Proprietary
South Dakota,108402,437081,2398 5TH AVE  SUITE 101,2010-07-09,YES,YES,YES,YES,2008-07-09,Same As Expected,3.0 - 4.0,Proprietary
South Dakota,108902,437084,5116 S SOLBERG AVE,2016-07-14,YES,YES,YES,YES,2014-07-14,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
South Dakota,108777,437086,1104 JACKSON BLVD SUITE B,2015-10-19,YES,YES,YES,YES,2015-10-19,Not Available,,Non - Profit Religious
South Dakota,108752,437003,224 ELK ST,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
South Dakota,108852,437004,2710 WEST 12TH STREET,1996-12-19,YES,YES,YES,YES,1966-12-19,Same As Expected,3.0 - 4.0,Non - Profit Private
