state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Utah,127552,467012,965 SOUTH MAIN STREET,1999-01-01,YES,YES,YES,YES,1969-01-01,Better Than Expected,4.5 - 5.0,Non - Profit Other
Utah,127802,467016,130 WEST MAIN STREET,2000-08-01,YES,YES,YES,YES,1980-08-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Utah,127752,467024,550 EAST 1400 NORTH,2004-01-09,YES,YES,YES,YES,1984-01-09,Same As Expected,3.0 - 4.0,Non - Profit Private
Utah,127977,467025,1492 E RIDGELINE DRIVE,2004-02-27,YES,YES,YES,YES,1984-02-27,Same As Expected,3.0 - 4.0,Proprietary
Utah,128527,467030,11520 SOUTH REDWOOD ROAD,2004-04-23,YES,YES,YES,YES,1984-04-23,Same As Expected,3.0 - 4.0,Non - Profit Private
Utah,128602,467033,555 SOUTH BLUFF STREET,2004-10-12,YES,YES,YES,YES,1984-10-12,Same As Expected,3.0 - 4.0,Non - Profit Private
Utah,127627,467035,45 EAST 100 NORTH,2004-10-30,YES,YES,YES,YES,1984-10-30,Same As Expected,3.0 - 4.0,Government - Local
Utah,127902,467034,152 WEST 1500 NORTH,2004-11-16,YES,YES,YES,YES,1984-11-16,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Utah,127452,467038,1109 NORTH 100 WEST,2006-01-06,YES,YES,YES,YES,1986-01-06,Same As Expected,3.0 - 4.0,Non - Profit Other
Utah,128177,467039,26 WEST 200 NORTH,2006-03-10,YES,YES,YES,YES,1986-03-10,Same As Expected,3.0 - 4.0,Non - Profit Other
Utah,128302,467051,404 EAST 4500 SOUTH,2009-04-22,YES,YES,YES,YES,1989-04-22,Not Available,,Proprietary
Utah,128602,467055,640 EAST 700 SOUTH,2005-12-19,YES,YES,YES,YES,1990-12-19,Same As Expected,3.0 - 4.0,Proprietary
Utah,127702,467061,523 WEST HERITAGE PARK BOULEVARD,2007-12-22,YES,YES,YES,YES,1992-12-22,Same As Expected,3.0 - 4.0,Non - Profit Private
Utah,128027,467071,1371 WEST 1250 SOUTH,2008-11-03,YES,YES,YES,YES,1993-11-03,Same As Expected,3.0 - 4.0,Proprietary
Utah,128627,467075,292 SOUTH 1470 EAST,2008-12-21,YES,YES,YES,YES,1993-12-21,Same As Expected,3.0 - 4.0,Proprietary
Utah,128502,467077,8074 SOUTH 1300 EAST,2009-04-13,YES,YES,YES,YES,1994-04-13,Same As Expected,3.0 - 4.0,Proprietary
Utah,127502,467081,401 SOUTH 400 EAST,2009-06-13,YES,YES,YES,YES,1994-06-13,Better Than Expected,4.5 - 5.0,Non - Profit Other
Utah,128327,467095,2835 EAST 3300 SOUTH,2010-10-04,YES,YES,YES,YES,1995-10-04,Same As Expected,3.0 - 4.0,Proprietary
Utah,127877,467100,990 W 5370 S,2011-01-30,YES,YES,YES,YES,1996-01-30,Same As Expected,3.0 - 4.0,Proprietary
Utah,127877,467104,5650 SOUTH GREEN STREET,2011-06-06,YES,YES,YES,YES,1996-06-06,Same As Expected,3.0 - 4.0,Proprietary
Utah,128052,467106,1485 EAST 840 NORTH,2011-10-15,YES,YES,YES,YES,1996-10-15,Same As Expected,3.0 - 4.0,Proprietary
Utah,127827,467108,184 EAST 5900 SOUTH,2011-12-09,YES,YES,YES,YES,1996-12-09,Same As Expected,3.0 - 4.0,Proprietary
Utah,127677,467110,620 SOUTH 9500 EAST,2012-02-18,YES,YES,YES,YES,1997-02-18,Same As Expected,3.0 - 4.0,Proprietary
Utah,128202,467112,45 NORTH 100 WEST,2012-03-10,YES,YES,NO,YES,1997-03-10,Same As Expected,3.0 - 4.0,Proprietary
Utah,128402,467117,1624 EAST 4500 SOUTH,2013-05-28,YES,YES,YES,YES,1998-05-28,Same As Expected,3.0 - 4.0,Proprietary
Utah,127552,487002,MEDICAL ARTS COMPLEX,2014-04-21,YES,YES,YES,NO,1999-04-21,Worse Than Expected,1.0 - 2.5,Proprietary
Utah,128002,467200,1443 NORTH 1200 WEST,2003-02-01,YES,YES,YES,YES,2001-02-01,Same As Expected,3.0 - 4.0,Proprietary
Utah,127827,467206,310 EAST 4500 SOUTH,2005-04-09,YES,YES,YES,YES,2003-04-09,Same As Expected,3.0 - 4.0,Proprietary
Utah,127427,467207,62 NORTH GRANT AVENUE #203,2005-05-21,YES,YES,NO,YES,2003-05-21,Same As Expected,3.0 - 4.0,Proprietary
Utah,128402,467208,5383 SOUTH 900 EAST,2005-06-06,YES,YES,YES,YES,2003-06-06,Same As Expected,3.0 - 4.0,Proprietary
Utah,128527,467210,1341 W SOUTH JORDAN PARKWAY,2005-09-19,YES,YES,YES,YES,2003-09-19,Not Available,,Proprietary
Utah,128152,467211,1561 NORTH GRANDVIEW LANE,2005-11-13,YES,YES,YES,YES,2003-11-13,Same As Expected,3.0 - 4.0,Proprietary
Utah,128302,467212,4424 SOUTH 700 EAST SUITE 240,2006-02-11,YES,YES,YES,YES,2004-02-11,Not Available,,Proprietary
Utah,128277,467213,1376 EAST 3300 SOUTH,2006-03-18,YES,YES,YES,YES,2004-03-18,Same As Expected,3.0 - 4.0,Proprietary
Utah,127602,467214,11576 SOUTH STATE STREET,2006-04-22,YES,YES,YES,YES,2004-04-22,Same As Expected,3.0 - 4.0,Proprietary
Utah,128277,467121,1398 LUCK LANE,2007-02-16,YES,YES,YES,YES,2005-02-16,Same As Expected,3.0 - 4.0,Proprietary
Utah,127427,467217,677 QUALITY DRIVE,2007-04-20,YES,YES,YES,YES,2005-04-20,Same As Expected,3.0 - 4.0,Proprietary
Utah,127727,467219,74 WEST 100 NORTH,2007-06-09,YES,YES,YES,YES,2005-06-09,Same As Expected,3.0 - 4.0,Proprietary
Utah,127877,467220,5323 SOUTH MURRAY BOULEVARD,2007-06-21,YES,YES,YES,YES,2005-06-21,Same As Expected,3.0 - 4.0,Proprietary
Utah,128002,467221,1345 WEST 1600 NORTH,2007-11-03,YES,YES,YES,YES,2005-11-03,Same As Expected,3.0 - 4.0,Proprietary
