state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Vermont,132252,477007,7 ALBERT CREE,1997-04-26,YES,YES,YES,YES,1967-04-26,Same As Expected,3.0 - 4.0,Non - Profit Private
Vermont,132152,477009,PO BOX 1224,1998-06-03,YES,YES,YES,YES,1968-06-03,Same As Expected,3.0 - 4.0,Non - Profit Private
Vermont,132277,477010,161 SHERMAN DRIVE,1998-06-28,YES,YES,YES,YES,1968-06-28,Same As Expected,3.0 - 4.0,Non - Profit Private
Vermont,132177,477014,PO BOX 754,2000-04-22,YES,YES,YES,YES,1970-04-22,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Vermont,132302,477016,3 HOME HEALTH CIRCLE SUITE 1,2001-01-18,YES,YES,YES,YES,1971-01-18,Same As Expected,3.0 - 4.0,Non - Profit Private
Vermont,132202,477015,54 FARR AVENUE,2001-02-23,YES,YES,YES,YES,1971-02-23,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Vermont,132227,477018,46 LAKEMONT ROAD,2004-06-16,YES,YES,YES,YES,1974-06-16,Same As Expected,3.0 - 4.0,Non - Profit Private
Vermont,132127,477019,80 PEARL STREET,2007-11-30,YES,YES,YES,YES,2005-11-30,Better Than Expected,4.5 - 5.0,Non - Profit Other
Vermont,132102,477000,1110 PRIM ROAD,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Vermont,132327,477002,205 BILLINGS FARM ROAD 5,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Vermont,132077,477003,600 GRANGER ROAD,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
