state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Wisconsin,135702,527062,706 BRATLEY DRIVE,1999-02-04,YES,YES,NO,YES,1969-02-04,Same As Expected,3.0 - 4.0,Non - Profit Private
Wisconsin,134052,527068,412 W KINNE ST,2000-10-13,YES,YES,YES,YES,1970-10-13,Same As Expected,3.0 - 4.0,Government - State/ County
Wisconsin,134752,527072,3001 US HWY 12 EAST SUITE 120,2001-08-24,YES,YES,NO,YES,1971-08-24,Same As Expected,3.0 - 4.0,Government - State/ County
Wisconsin,133952,527074,729 CLAY ST,2003-04-23,YES,YES,YES,YES,1973-04-23,Same As Expected,3.0 - 4.0,Government - State/ County
Wisconsin,133777,527075,1904 EAST HUEBBE PARKWAY,2003-10-01,YES,YES,YES,YES,1973-10-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Wisconsin,134002,527078,1204 N JOSEPH ST  SUITE 201,2005-04-17,YES,YES,YES,YES,1975-04-17,Same As Expected,3.0 - 4.0,Proprietary
Wisconsin,134602,527081,1004  WASHINGTON ST,2006-05-01,YES,YES,YES,YES,1976-05-01,Same As Expected,3.0 - 4.0,Proprietary
Wisconsin,134402,527082,311 MINER AVE  EAST  SUITE C220,2006-06-04,YES,YES,NO,YES,1976-06-04,Same As Expected,3.0 - 4.0,Government - State/ County
Wisconsin,133902,527085,206 COURT ST COURTHOUSE,2006-07-20,YES,YES,YES,YES,1976-07-20,Same As Expected,3.0 - 4.0,Government - State/ County
Wisconsin,134977,527083,11400 W LAKE PARK DRIVE,2006-09-09,YES,YES,YES,YES,1976-09-09,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Wisconsin,134152,527089,1920 LIBAL STREET,2007-11-01,YES,YES,YES,YES,1977-11-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Wisconsin,135302,527091,37868 US HWY 18,2008-05-01,YES,YES,YES,YES,1978-05-01,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Wisconsin,135202,527094,2020 WEST 9TH ST,2008-09-01,YES,YES,YES,YES,1978-09-01,Same As Expected,3.0 - 4.0,Proprietary
Wisconsin,135327,527098,6233 BANKERS ROAD  SUITE 1,2009-05-01,YES,YES,YES,YES,1979-05-01,Better Than Expected,4.5 - 5.0,Proprietary
Wisconsin,134102,527113,239 TROWBRIDGE DRIVE,2000-09-26,YES,YES,YES,YES,1980-09-26,Same As Expected,3.0 - 4.0,Non - Profit Religious
Wisconsin,135777,527122,801 W FULTON ST  SUITE A,2002-12-09,YES,YES,YES,YES,1982-12-09,Same As Expected,3.0 - 4.0,Proprietary
Wisconsin,134902,527121,6014 W CONGRESS ST,2002-12-23,YES,YES,YES,YES,1982-12-23,Not Available,,Non - Profit Other
Wisconsin,135227,527125,1133 S FOURTH AVE,2003-04-21,YES,YES,NO,YES,1983-04-21,Same As Expected,3.0 - 4.0,Proprietary
Wisconsin,134152,527132,900 SOUTH WEBSTER AVE,2004-02-29,YES,YES,YES,YES,1984-02-29,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Wisconsin,134202,527133,1496 BELLEVUE STREET  SUITE 501,2004-03-01,YES,NO,NO,YES,1984-03-01,Not Available,,Non - Profit Private
Wisconsin,134527,527135,2500 RIMROCK RD #101,2004-08-29,YES,YES,YES,YES,1984-08-29,Same As Expected,3.0 - 4.0,Proprietary
Wisconsin,135852,527136,7425 HARWOOD AVE,2004-10-30,YES,YES,YES,YES,1984-10-30,Not Available,,Proprietary
Wisconsin,134027,527138,1221 WHIPPLE ST,2004-11-20,YES,YES,YES,YES,1984-11-20,Same As Expected,3.0 - 4.0,Non - Profit Private
Wisconsin,135452,527139,3100 SUPERIOR AVENUE,2004-11-27,YES,YES,YES,YES,1984-11-27,Same As Expected,3.0 - 4.0,Non - Profit Religious
Wisconsin,134427,527140,612 WELLS ST  SUITE H,2004-12-07,YES,YES,YES,YES,1984-12-07,Same As Expected,3.0 - 4.0,Proprietary
Wisconsin,133727,527137,2231 HIGHWAY 12   SUITE 201,2004-12-11,YES,YES,YES,YES,1984-12-11,Same As Expected,3.0 - 4.0,Non - Profit Other
Wisconsin,135727,527151,1020 HILL STREET,2005-05-03,YES,YES,YES,YES,1985-05-03,Same As Expected,3.0 - 4.0,Non - Profit Religious
Wisconsin,134377,527156,620 11TH ST SOUTH,2005-06-06,YES,YES,YES,YES,1985-06-06,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Wisconsin,135077,527157,515 22ND AVE,2005-06-26,YES,YES,YES,YES,1985-06-26,Same As Expected,3.0 - 4.0,Non - Profit Religious
Wisconsin,134627,527154,2300 WESTERN AVENUE,2005-07-05,YES,YES,YES,YES,1985-07-05,Better Than Expected,4.5 - 5.0,Non - Profit Religious
Wisconsin,135602,527159,1300 EGG HARBOR RD  NO 110,2005-07-05,YES,YES,YES,YES,1985-07-05,Same As Expected,3.0 - 4.0,Non - Profit Religious
Wisconsin,135427,527158,2304 S MAIN ST  SUITE 6,2005-07-22,YES,YES,YES,YES,1985-07-22,Same As Expected,3.0 - 4.0,Non - Profit Private
Wisconsin,134727,527166,1476 KENWOOD DR,2005-08-27,YES,NO,NO,YES,1985-08-27,Not Available,,Proprietary
Wisconsin,133927,527165,2661 COUNTY HIGHWAY I,2005-09-04,YES,YES,YES,YES,1985-09-04,Same As Expected,3.0 - 4.0,Non - Profit Religious
Wisconsin,135877,527164,10101 W WISCONSIN AVE,2005-09-11,YES,YES,YES,YES,1985-09-11,Same As Expected,3.0 - 4.0,Non - Profit Religious
Wisconsin,135752,527178,2000 PEWAUKEE RD STE C,2006-01-23,YES,YES,YES,YES,1986-01-23,Same As Expected,3.0 - 4.0,Non - Profit Private
Wisconsin,134802,527177,619 N 35TH ST,2006-03-20,YES,NO,NO,YES,1986-03-20,Not Available,,Proprietary
Wisconsin,134552,527184,2802 WALTON COMMONS LANE,2006-06-04,YES,YES,YES,YES,1986-06-04,Same As Expected,3.0 - 4.0,Non - Profit Private
Wisconsin,135627,527180,1416 CUMMING AVE  STE 2B,2006-07-17,YES,YES,NO,YES,1986-07-17,Same As Expected,3.0 - 4.0,Non - Profit Religious
Wisconsin,134827,527187,3070 NORTH 51ST ST  STE 406,2006-09-05,YES,YES,YES,YES,1986-09-05,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Wisconsin,133752,527191,709 S UNIVERSITY AVE,2006-10-02,YES,YES,YES,YES,1986-10-02,Same As Expected,3.0 - 4.0,Non - Profit Other
Wisconsin,134677,527189,303 W UPHAM ST  SUITE 208,2007-01-07,YES,YES,YES,YES,1987-01-07,Worse Than Expected,1.0 - 2.5,Proprietary
