state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
West Virginia,136102,517031,12 HARTMAN PLAZA,2001-07-27,YES,YES,YES,YES,1971-07-27,Same As Expected,3.0 - 4.0,Proprietary
West Virginia,137177,517034,2110 LUMBER AVENUE SUITE 1,2005-12-09,YES,YES,YES,YES,1975-12-09,Same As Expected,3.0 - 4.0,Proprietary
West Virginia,136652,517035,208 OLD MILL ROAD,2006-04-15,YES,YES,YES,YES,1976-04-15,Same As Expected,3.0 - 4.0,Non - Profit Private
West Virginia,136577,517037,410 E MAIN STREET,2007-10-15,YES,YES,NO,NO,1977-10-15,Same As Expected,3.0 - 4.0,Proprietary
West Virginia,136902,517041,1011 VIAND STREET,2008-03-27,YES,YES,YES,YES,1978-03-27,Same As Expected,3.0 - 4.0,Non - Profit Private
West Virginia,136402,517045,75 ST JOHN DRIVE,2009-08-02,YES,YES,YES,YES,1979-08-02,Same As Expected,3.0 - 4.0,Non - Profit Religious
West Virginia,137127,517803,60 PENNSYLVANIA STREET,2002-06-30,YES,YES,NO,YES,1982-06-30,Same As Expected,3.0 - 4.0,Government - State/ County
West Virginia,136177,517048,100 KANAWHA BOULEVARD  WEST,2004-06-18,YES,YES,YES,YES,1984-06-18,Same As Expected,3.0 - 4.0,Proprietary
West Virginia,136602,517051,50 SENECA TRAIL,2005-01-16,YES,YES,NO,YES,1985-01-16,Same As Expected,3.0 - 4.0,Proprietary
West Virginia,136027,517054,108 SUNSET DRIVE,2005-04-17,YES,YES,NO,YES,1985-04-17,Worse Than Expected,1.0 - 2.5,Proprietary
West Virginia,136077,517053,327 MEDICAL PARK DRIVE,2005-04-18,YES,YES,YES,YES,1985-04-18,Same As Expected,3.0 - 4.0,Non - Profit Private
West Virginia,136527,517055,5187 US ROUTE 60 SUITE 13,2005-04-30,YES,YES,YES,YES,1985-04-30,Same As Expected,3.0 - 4.0,Proprietary
West Virginia,136502,517059,1340 HAL GREER BOULEVARD,2005-08-16,YES,YES,YES,YES,1985-08-16,Same As Expected,3.0 - 4.0,Non - Profit Private
West Virginia,136152,517060,46 FRIENDLY NEIGHBORHOOD DRIVE,2005-09-16,YES,YES,YES,YES,1985-09-16,Worse Than Expected,1.0 - 2.5,Proprietary
West Virginia,136427,517062,100 HOYLMAN DRIVE,2006-03-14,YES,YES,NO,YES,1986-03-14,Same As Expected,3.0 - 4.0,Non - Profit Private
West Virginia,136452,517065,800 WHEELING AVE,2006-07-02,YES,YES,NO,YES,1986-07-02,Same As Expected,3.0 - 4.0,Non - Profit Private
West Virginia,136277,517069,22 BUFFALO STREET,2006-07-26,YES,YES,NO,YES,1986-07-26,Worse Than Expected,1.0 - 2.5,Proprietary
West Virginia,136852,517071,10 VALLEY VIEW STREET,2007-09-18,YES,YES,NO,YES,1987-09-18,Same As Expected,3.0 - 4.0,Proprietary
West Virginia,137002,517072,4825 MACCORKLE AVENUE SW SUITE B,2007-10-30,YES,YES,NO,YES,1987-10-30,Same As Expected,3.0 - 4.0,Proprietary
West Virginia,136952,517075,25072 NORTHWESTERN PIKE,2008-06-02,YES,YES,YES,YES,1988-06-02,Worse Than Expected,1.0 - 2.5,Non - Profit Private
West Virginia,137077,517074,2200 GRAND CENTRAL AVENUE SUITE 101,2008-06-28,YES,YES,YES,YES,1988-06-28,Same As Expected,3.0 - 4.0,Proprietary
