LocationNO,Country,State_Abbv,State,County,City,ZipCode
37727,United States,IA,Iowa,Dallas,ADEL,50003
37752,United States,IA,Iowa,Monroe,ALBIA,52531
37777,United States,IA,Iowa,Kossuth,ALGONA,50511
37802,United States,IA,Iowa,Butler,ALLISON,50602
37827,United States,IA,Iowa,Story,AMES,50010
37852,United States,IA,Iowa,Polk,ANKENY,50021
37877,United States,IA,Iowa,Cass,ATLANTIC,50022
37902,United States,IA,Iowa,Audubon,AUDUBON,50025
37927,United States,IA,Iowa,Taylor,BEDFORD,50833
37952,United States,IA,Iowa,Scott,BETTENDORF,52722
37977,United States,IA,Iowa,Boone,BOONE,50036
38002,United States,IA,Iowa,Des Moines,BURLINGTON,52601
38027,United States,IA,Iowa,Carroll,CARROLL,51401
38052,United States,IA,Iowa,Linn,CEDAR RAPIDS,52402
38077,United States,IA,Iowa,Linn,CEDAR RAPIDS,52403
38102,United States,IA,Iowa,Appanoose,CENTERVILLE,52544
38127,United States,IA,Iowa,Lucas,CHARITON,50049
38152,United States,IA,Iowa,Floyd,CHARLES CITY,50616
38177,United States,IA,Iowa,Cherokee,CHEROKEE,51012
38202,United States,IA,Iowa,Wright,CLARION,50525
38227,United States,IA,Iowa,Clinton,CLINTON,52732
38252,United States,IA,Iowa,Polk,CLIVE,50325
38277,United States,IA,Iowa,Adams,CORNING,50841
38302,United States,IA,Iowa,Wayne,CORYDON,50060
38327,United States,IA,Iowa,Pottawattamie,COUNCIL BLUFFS,51501
38352,United States,IA,Iowa,Pottawattamie,COUNCIL BLUFFS,51503
38377,United States,IA,Iowa,Howard,CRESCO,52136
38402,United States,IA,Iowa,Scott,DAVENPORT,52802
38427,United States,IA,Iowa,Scott,DAVENPORT,52804
38452,United States,IA,Iowa,Winneshiek,DECORAH,52101
38477,United States,IA,Iowa,Crawford,DENISON,51442
38502,United States,IA,Iowa,Polk,DES MOINES,50309
38527,United States,IA,Iowa,Lee,DONNELLSON,52625
38552,United States,IA,Iowa,Dubuque,DUBUQUE,52001
38577,United States,IA,Iowa,Dubuque,DUBUQUE,52003
38602,United States,IA,Iowa,Hardin,ELDORA,50627
38627,United States,IA,Iowa,Clayton,ELKADER,52043
38652,United States,IA,Iowa,Palo Alto,EMMETSBURG,50536
38677,United States,IA,Iowa,Emmet,ESTHERVILLE,51334
38702,United States,IA,Iowa,Jefferson,FAIRFIELD,52556
38727,United States,IA,Iowa,Winnebago,FOREST CITY,50436
38752,United States,IA,Iowa,Webster,FORT DODGE,50501
38777,United States,IA,Iowa,Lee,FORT MADISON,52627
38802,United States,IA,Iowa,Hancock,GARNER,50438
38827,United States,IA,Iowa,Mills,GLENWOOD,51534
38852,United States,IA,Iowa,Adair,GREENFIELD,50849
38877,United States,IA,Iowa,Poweshiek,GRINNELL,50112
38902,United States,IA,Iowa,Guthrie,GUTHRIE CENTER,50115
38927,United States,IA,Iowa,Franklin,HAMPTON,50441
38952,United States,IA,Iowa,Shelby,HARLAN,51537
38977,United States,IA,Iowa,Linn,HIAWATHA,52233
39002,United States,IA,Iowa,Ida,IDA GROVE,51445
39027,United States,IA,Iowa,Warren,INDIANOLA,50125
39052,United States,IA,Iowa,Johnson,IOWA CITY,52240
39077,United States,IA,Iowa,Polk,JOHNSTON,50131
39102,United States,IA,Iowa,Lee,KEOKUK,52632
39127,United States,IA,Iowa,Van Buren,KEOSAUQUA,52565
39152,United States,IA,Iowa,Benton,KEYSTONE,52249
