country,state,abbv,county,city,address,zipcode_x,loc_no,name,cer_no,date_cer,ownership,lrd,ncs,pts,sps,hhas,sq,sqr,c_sqr,latitude,longitude,zipcode_y,Population,Male,Female,Median Age,Race,Poverty Count,Poverty Rate,Household Income,Per Capita Income,Unemployment Count,Unemployment Rate,Total housing units,Median year structure built,Median Value for Housing Units,White alone race,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone
United States,Colorado,CO,Alamosa,ALAMOSA,8900 INDEPENDENCE WAY,81101,20127,ALAMOSA COUNTY PUBLIC HEALTH DEPARTMENT,67026,4/1/72,Government - State/ County,4/1/02,YES,YES,NO,YES,Same As Expected,3.0 - 4.0,3.5,37.4463101,-105.8800181,81101,15680,7581,8099,29.8,15680,4624,29.48979592,32094,17899,573,3.654336735,6315,1975,141800,13626,337,452,167,631
United States,Colorado,CO,Alamosa,ALAMOSA,177 CRAFT DRIVE SUITE 100,81101,20127,AT HOME HEALTHCARE,67248,3/1/95,Proprietary,3/1/10,YES,YES,NO,YES,Same As Expected,3.0 - 4.0,3.5,37.4779684,-105.8949143,81101,15680,7581,8099,29.8,15680,4624,29.48979592,32094,17899,573,3.654336735,6315,1975,141800,13626,337,452,167,631
United States,Colorado,CO,Summit,FRISCO,18 SCHOOL ROAD SUITE 100,80443,21252,BRISTLECONE HEALTH SERVICES,67044,4/1/79,Non - Profit Religious,4/1/09,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,39.5812488,-106.0928146,80443,3755,2235,1520,40,3755,194,5.16644474,73062,34154,154,4.101198402,5241,1987,537600,3557,0,9,82,0
United States,Colorado,CO,Denver,DENVER,501 S CHERRY STREET #700,80246,20977,OPTIO HEALTH SERVICES,67051,1/3/80,Non - Profit Private,1/3/00,YES,YES,YES,NO,Not Available,,,39.7069002,-104.9344136,80246,13284,7103,6181,30.9,13284,2068,15.56760012,45913,35517,577,4.343571213,7698,1974,279800,10325,754,71,568,1018
United States,Colorado,CO,Arapahoe,ENGLEWOOD,3680 SOUTH GALAPAGO STREET #102,80110,21027,HOME HEALTH CARE PROFESSIONALS INC,67054,9/30/80,Non - Profit Private,9/30/00,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,39.6497037,-104.9956139,80110,21794,11316,10478,35.5,21794,3816,17.50940626,48439,26260,859,3.941451776,9442,1963,214700,17189,408,130,551,2413
United States,Colorado,CO,Arapahoe,ENGLEWOOD,333 W HAMPDEN AVENUE #925,80110,21027,INTERIM HEALTHCARE,67438,1/23/04,Proprietary,1/23/06,YES,YES,YES,YES,Not Available,,,39.6535704,-104.9926012,80110,21794,11316,10478,35.5,21794,3816,17.50940626,48439,26260,859,3.941451776,9442,1963,214700,17189,408,130,551,2413
United States,Colorado,CO,Arapahoe,ENGLEWOOD,945 W KENYON AVE STE 200,80110,21027,ALL STATE HOME HEALTH,67457,1/3/06,Proprietary,1/3/08,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,39.6501079,-104.9985353,80110,21794,11316,10478,35.5,21794,3816,17.50940626,48439,26260,859,3.941451776,9442,1963,214700,17189,408,130,551,2413
United States,Colorado,CO,Denver,DENVER,1385 S COLORADO BLVD SUITE 222,80222,20852,BAYADA HOME HEALTH CARE INC,67056,12/19/80,Proprietary,12/19/00,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,39.6915116,-104.9411669,80222,21272,10533,10739,38.6,21272,2466,11.59270402,50670,37866,827,3.887739752,10585,1963,280100,17421,1357,207,563,805
United States,Colorado,CO,Denver,DENVER,1385 S COLORADO BLVD STE A306,80222,20852,AMI - WELLNESS,67254,5/17/95,Proprietary,5/17/10,YES,YES,YES,YES,Not Available,,,39.6915116,-104.9411669,80222,21272,10533,10739,38.6,21272,2466,11.59270402,50670,37866,827,3.887739752,10585,1963,280100,17421,1357,207,563,805
United States,Colorado,CO,Denver,DENVER,2168 SOUTH BIRCH STREET,80222,20852,COLORADO HEALTH CONNECTIONS INC,67454,11/23/05,Proprietary,11/23/07,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,39.6771732,-104.9361247,80222,21272,10533,10739,38.6,21272,2466,11.59270402,50670,37866,827,3.887739752,10585,1963,280100,17421,1357,207,563,805
