state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Alabama,1827,17865,14900 SAINT STEPHENS AVENUE,1999-01-10,YES,NO,NO,YES,1969-01-10,Same As Expected,3.0 - 4.0,Government - State/ County
Alabama,3602,17824,100 SAMUEL O. MOSLEY DR,1999-03-06,YES,YES,NO,YES,1969-03-06,Same As Expected,3.0 - 4.0,Government - State/ County
Alabama,2652,17848,150 JUDY SMITH DRIVE,1999-03-26,YES,YES,NO,YES,1969-03-26,Same As Expected,3.0 - 4.0,Government - State/ County
Alabama,3027,17850,416 AGRICULTURE DRIVE,1999-08-14,YES,YES,NO,YES,1969-08-14,Same As Expected,3.0 - 4.0,Government - State/ County
Alabama,1927,17875,601 LOGAN AVENUE SW,2000-10-01,YES,YES,NO,YES,1970-10-01,Same As Expected,3.0 - 4.0,Government - State/ County
Alabama,2902,17812,303 INDUSTRIAL DRIVE,2000-10-14,YES,YES,NO,YES,1970-10-14,Same As Expected,3.0 - 4.0,Government - State/ County
Alabama,1527,17008,2201 ARLINGTON AVENUE,2002-10-01,YES,YES,YES,YES,1972-10-01,Same As Expected,3.0 - 4.0,Government - State/ County
Alabama,1552,17009,2970 LORNA ROAD,2003-01-18,YES,YES,YES,YES,1973-01-18,Worse Than Expected,1.0 - 2.5,Proprietary
Alabama,2227,17013,1239 RUCKER BLVD,2005-07-24,YES,YES,NO,YES,1975-07-24,Same As Expected,3.0 - 4.0,Proprietary
Alabama,1677,17014,68278 MAIN STREET,2005-09-04,YES,YES,YES,YES,1975-09-04,Same As Expected,3.0 - 4.0,Proprietary
Alabama,2227,17016,804 GLOVER AVENUE,2006-06-09,YES,YES,YES,NO,1976-06-09,Same As Expected,3.0 - 4.0,Proprietary
Alabama,3827,17300,1300  MCFARLAND BOULEVARD NORTHEAST SUITE 320,2006-09-17,YES,YES,YES,YES,1976-09-17,Same As Expected,3.0 - 4.0,Proprietary
Alabama,3427,17018,3225 RAINBOW STREET SUITE 256,2007-01-01,YES,YES,YES,YES,1977-01-01,Same As Expected,3.0 - 4.0,Proprietary
Alabama,3527,17017,508 ST CLAIR STREET SE,2007-03-26,YES,YES,YES,YES,1977-03-26,Not Available,,Non - Profit Private
