state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Delaware,24552,87007,1221 COLLEGE PARK DRIVE STE 203,2008-10-17,YES,YES,YES,YES,1978-10-17,Same As Expected,3.0 - 4.0,Proprietary
Delaware,24577,87009,205 E. MARKET STREET,2002-11-01,YES,YES,NO,YES,1982-11-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Delaware,24677,87012,64 READS WAY,2003-03-08,YES,YES,YES,YES,1983-03-08,Same As Expected,3.0 - 4.0,Non - Profit Private
Delaware,24727,87016,201 RUTHAR DRIVE STE 5 FORUM 2000,2004-05-10,YES,YES,NO,YES,1984-05-10,Not Available,,Proprietary
Delaware,24802,87022,1070 JUSTISON STREET,2005-03-13,YES,YES,YES,YES,1985-03-13,Same As Expected,3.0 - 4.0,Non - Profit Religious
Delaware,24652,87023,232 MITCHELL ST STE 200,2005-03-22,YES,YES,YES,YES,1985-03-22,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Delaware,24552,87024,560 S GOVERNORS AVENUE,2005-06-06,YES,YES,YES,YES,1985-06-06,Same As Expected,3.0 - 4.0,Non - Profit Private
Delaware,24802,87021,750 SHIPYARD DRIVE SUITE 100,2005-07-01,YES,YES,YES,YES,1985-07-01,Same As Expected,3.0 - 4.0,Proprietary
Delaware,24777,87026,100 SOUTH MAIN STREET STE 203,2007-08-12,YES,YES,NO,YES,1987-08-12,Not Available,,Proprietary
Delaware,24702,87027,256 CHAPMAN ROAD SUITE 102,2009-09-29,YES,YES,YES,YES,1989-09-29,Same As Expected,3.0 - 4.0,Proprietary
Delaware,24527,87033,1675 S STATE STREET SUITE 4C,2011-09-30,YES,YES,YES,YES,1996-09-30,Same As Expected,3.0 - 4.0,Proprietary
Delaware,24502,87301,2116 SOUTH DUPONT HIGHWAY SUITE 2,2003-07-01,YES,YES,YES,YES,2001-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Delaware,24577,87034,21309 BERLIN ROAD,2005-05-02,YES,YES,YES,YES,2003-05-02,Same As Expected,3.0 - 4.0,Proprietary
Delaware,24827,87035,1409 FOULK ROAD SUITE 203,2005-10-09,YES,NO,NO,YES,2003-10-09,Not Available,,Proprietary
Delaware,24752,87036,501 HEALTH SERVICES DRIVE,2007-01-13,YES,YES,NO,YES,2005-01-13,Better Than Expected,4.5 - 5.0,Proprietary
Delaware,24852,87037,1021 GILPIN AVENUE SUITE 202,2008-12-08,YES,YES,NO,YES,2006-12-08,Same As Expected,3.0 - 4.0,Proprietary
Delaware,24552,87038,1012 STATE COLLEGE ROAD SUITE 101,2008-12-14,YES,NO,NO,YES,2006-12-14,Not Available,,Proprietary
Delaware,24627,87039,1017 MATTLIND WAY,2009-06-01,YES,YES,YES,YES,2007-06-01,Same As Expected,3.0 - 4.0,Proprietary
Delaware,24702,87040,56 WEST MAIN STREET PLAZA 273  SUITE  211,2010-09-23,YES,NO,NO,YES,2008-09-23,Same As Expected,3.0 - 4.0,Proprietary
Delaware,24677,87041,908B CHURCHMANS ROAD EXT,2013-02-10,YES,YES,YES,YES,2011-02-10,Not Available,,Proprietary
Delaware,24777,87042,203 N MAIN STREET,2014-05-04,YES,YES,NO,YES,2012-05-04,Same As Expected,3.0 - 4.0,Proprietary
Delaware,24552,87043,57 SAULSBURY ROAD,2016-05-01,YES,NO,NO,YES,2014-05-01,Not Available,,Proprietary
Delaware,24602,87044,1632 SAVANNAH ROAD SUITE 8,2015-11-23,YES,YES,NO,NO,2015-11-23,Not Available,,Proprietary
Delaware,24627,87045,1016 NORTH WALNUT STREET,2016-03-02,YES,NO,NO,YES,2016-03-02,Not Available,,Proprietary
Delaware,24677,87002,ONE READ'S WAY SUITE 100,1996-07-01,YES,YES,YES,YES,1966-07-01,Worse Than Expected,1.0 - 2.5,Non - Profit Private
