state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Kansas,52177,177030,1212 WALNUT STREET- US HIGHWAY 59,1997-08-01,YES,YES,YES,YES,1967-08-01,Same As Expected,3.0 - 4.0,Government - Local
Kansas,52277,177183,11050 ROE AVE  SUITE 120,1999-02-26,YES,YES,YES,YES,1969-02-26,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51827,177034,200 MAINE STREET STE C,1999-03-10,YES,YES,YES,YES,1969-03-10,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Kansas,51577,177031,907 SOUTH SECOND STREET,2002-12-07,YES,YES,YES,YES,1972-12-07,Same As Expected,3.0 - 4.0,Non - Profit Private
Kansas,51402,177045,902 SOUTH HORTON STREET,2004-11-01,YES,YES,YES,YES,1974-11-01,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Kansas,51327,177053,620 WEST CENTRAL,2007-10-17,YES,YES,YES,YES,1977-10-17,Same As Expected,3.0 - 4.0,Non - Profit Private
Kansas,52102,177059,1715 MEDICAL PARKWAY SUITE 100,2008-04-04,YES,YES,YES,YES,1978-04-04,Same As Expected,3.0 - 4.0,Non - Profit Other
Kansas,51177,177060,1709 WEST 7TH STREET,2008-05-01,YES,YES,YES,YES,1978-05-01,Same As Expected,3.0 - 4.0,Government - State/ County
Kansas,52802,177062,217 W 8TH STREET SUITE 2,2008-08-10,YES,YES,YES,YES,1978-08-10,Same As Expected,3.0 - 4.0,Government - State/ County
Kansas,52727,177063,201 SOUTH MAIN,2008-08-21,YES,YES,YES,YES,1978-08-21,Same As Expected,3.0 - 4.0,Government - State/ County
Kansas,51977,177064,3801 VANESTA DRIVE,2008-10-01,YES,YES,YES,YES,1978-10-01,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Kansas,51102,177071,310  WEST 8TH STREET,2009-02-01,YES,YES,NO,YES,1979-02-01,Not Available,,Government - State/ County
Kansas,51527,177065,3515 BROADWAY SUITE 214,2009-05-01,YES,YES,YES,YES,1979-05-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Kansas,52452,177070,14TH & OREGON,2009-05-01,YES,YES,YES,YES,1979-05-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Kansas,51202,177072,820-B SPELLMAN CIRCLE,2009-07-24,YES,YES,YES,YES,1979-07-24,Not Available,,Proprietary
Kansas,52002,177079,535 SOUTH FREEBORN,2009-11-01,YES,YES,YES,YES,1979-11-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Kansas,52352,177077,784 SIXTH STREET,2000-01-01,YES,YES,YES,YES,1980-01-01,Same As Expected,3.0 - 4.0,Government - State/ County
Kansas,52577,177078,426 MAIN,2000-01-01,YES,YES,YES,YES,1980-01-01,Same As Expected,3.0 - 4.0,Government - State/ County
Kansas,53077,177083,1305 EAST FIFTH AVENUE,2001-03-05,YES,YES,YES,YES,1981-03-05,Same As Expected,3.0 - 4.0,Non - Profit Other
Kansas,52277,177087,10977 GRANADA LANE SUITE 205,2001-09-08,YES,YES,YES,YES,1981-09-08,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52927,177090,9920 EAST HARRY STREET,2001-12-23,YES,YES,YES,YES,1981-12-23,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51652,177100,921 WEST MYRTLE STREET,2002-10-14,YES,YES,YES,YES,1982-10-14,Same As Expected,3.0 - 4.0,Non - Profit Religious
Kansas,52027,177101,805 BROADWAY,2002-11-05,YES,YES,YES,YES,1982-11-05,Same As Expected,3.0 - 4.0,Non - Profit Private
Kansas,50977,177106,1111 NORTH BRADY SUITE B,2003-03-12,YES,YES,YES,YES,1983-03-12,Same As Expected,3.0 - 4.0,Government - State/ County
Kansas,52952,177117,555 SOUTH WASHINGTON SUITE 103,2003-11-09,YES,YES,YES,YES,1983-11-09,Same As Expected,3.0 - 4.0,Non - Profit Religious
Kansas,51077,177125,1206 EIGHTEENTH STREET,2004-03-15,YES,YES,YES,YES,1984-03-15,Not Available,,Government - State/ County
Kansas,51627,177127,1600 NORTH LORRAINE SUITE 203,2004-04-19,YES,YES,YES,YES,1984-04-19,Same As Expected,3.0 - 4.0,Non - Profit Private
Kansas,51702,177140,1310 WEST ASH STREET SUITE B,2004-06-15,YES,YES,YES,YES,1984-06-15,Worse Than Expected,1.0 - 2.5,Government - State/ County
Kansas,52377,177145,3 MED CENTER CIRCLE SUITE B,2004-08-02,YES,YES,YES,YES,1984-08-02,Same As Expected,3.0 - 4.0,Non - Profit Religious
Kansas,52152,177159,100 WEST 8TH STREET,2005-01-17,YES,YES,YES,YES,1985-01-17,Same As Expected,3.0 - 4.0,Non - Profit Other
Kansas,51677,177160,826 EAST MADISON,2005-02-05,YES,YES,YES,YES,1985-02-05,Worse Than Expected,1.0 - 2.5,Government - State/ County
Kansas,51227,177169,908 SIGGINS,2005-05-31,YES,YES,YES,YES,1985-05-31,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Kansas,52827,177170,250 W DOUGLAS SUITE 101,2005-07-02,YES,YES,YES,YES,1985-07-02,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51652,177176,415 FRUITLAND,2006-05-08,YES,YES,NO,YES,1986-05-08,Not Available,,Non - Profit Private
Kansas,52252,177179,11880 COLLEGE BLVD SUITE 4A,2007-02-01,YES,YES,YES,YES,1987-02-01,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51027,177181,800 RAVEN HILL DRIVE,2007-04-06,YES,YES,YES,YES,1987-04-06,Same As Expected,3.0 - 4.0,Non - Profit Private
Kansas,51477,177185,302 NORTH HOSPITAL DRIVE,2007-08-13,YES,YES,YES,YES,1987-08-13,Same As Expected,3.0 - 4.0,Government - State/ County
Kansas,52477,177187,123 INDIANA AVE SUITE B,2007-09-01,YES,YES,YES,YES,1987-09-01,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52477,177191,1015 ELMHURST SUITE B,2008-02-19,YES,YES,YES,NO,1988-02-19,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52127,177193,20920 W 151ST STREET SUITE 204,2008-05-23,YES,YES,YES,YES,1988-05-23,Same As Expected,3.0 - 4.0,Non - Profit Private
Kansas,51452,177195,2810 NORTH BARONS PLACE,2008-06-24,YES,YES,YES,YES,1988-06-24,Worse Than Expected,1.0 - 2.5,Proprietary
Kansas,52627,177201,1915 SW 6TH AVENUE,2009-05-03,YES,YES,YES,NO,1989-05-03,Same As Expected,3.0 - 4.0,Non - Profit Religious
Kansas,52877,177202,2872 N. RIDGE ROAD SUITE 122,2009-07-10,YES,YES,YES,YES,1989-07-10,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51552,177212,1307 LAWRENCE DRIVE,2005-12-10,YES,YES,YES,YES,1990-12-10,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52827,177216,245 NORTH WACO STREET SUITE 125,2006-02-22,YES,YES,YES,YES,1991-02-22,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51777,177220,750 AVE D WEST,2006-10-04,YES,YES,YES,YES,1991-10-04,Same As Expected,3.0 - 4.0,Non - Profit Private
Kansas,51152,177226,409 CROSS STREET,2007-08-21,YES,YES,YES,YES,1992-08-21,Worse Than Expected,1.0 - 2.5,Government - State/ County
Kansas,51752,177234,2915 STRONG AVENUE,2008-03-08,YES,YES,YES,YES,1993-03-08,Same As Expected,3.0 - 4.0,Non - Profit Other
Kansas,52702,177242,2947 SW WANAMAKER DRIVE SUITE 101,2008-07-26,YES,YES,YES,YES,1993-07-26,Worse Than Expected,1.0 - 2.5,Proprietary
Kansas,51377,177243,100 WEST 16TH,2008-08-04,YES,YES,YES,YES,1993-08-04,Same As Expected,3.0 - 4.0,Government - State/ County
Kansas,52327,177254,1902 S HWY 59,2009-05-02,YES,YES,YES,YES,1994-05-02,Same As Expected,3.0 - 4.0,Government - State/ County
Kansas,51577,177270,314 OREGON STREET,2009-10-07,YES,YES,YES,YES,1994-10-07,Same As Expected,3.0 - 4.0,Non - Profit Private
Kansas,51602,177272,129 WEST 4TH STREET,2009-11-09,YES,YES,YES,YES,1994-11-09,Same As Expected,3.0 - 4.0,Non - Profit Private
Kansas,51927,177274,922 NORTH 5TH,2009-11-21,YES,YES,YES,YES,1994-11-21,Not Available,,Proprietary
Kansas,52077,177275,312 E CUSTER,2009-12-05,YES,YES,NO,YES,1994-12-05,Same As Expected,3.0 - 4.0,Government - State/ County
Kansas,52752,177282,320 N 13TH STREET,2010-02-09,YES,YES,YES,NO,1995-02-09,Not Available,,Government - State/ County
Kansas,51877,177286,9100 PARK SUITE 200-C,2010-05-31,YES,YES,YES,YES,1995-05-31,Same As Expected,3.0 - 4.0,Non - Profit Private
Kansas,51952,177289,2121 MEADOWLARK RD,2010-08-07,YES,YES,YES,YES,1995-08-07,Not Available,,Non - Profit Private
Kansas,52552,177295,502 S BUCKEYE,2011-01-08,YES,YES,YES,YES,1996-01-08,Not Available,,Government - State/ County
Kansas,53052,177298,3500 NORTH ROCK ROAD BUILDING 400,2011-02-08,YES,YES,YES,YES,1996-02-08,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52427,178000,200 COMMODORE,2011-02-09,YES,YES,YES,NO,1996-02-09,Same As Expected,3.0 - 4.0,Non - Profit Private
Kansas,51727,178008,155 SOUTH 18TH STREET SUITE 260,2011-02-21,YES,YES,YES,NO,1996-02-21,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51302,178005,200 FOURTH CIRCLE,2011-03-13,YES,YES,NO,YES,1996-03-13,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Kansas,53052,178012,3450 N ROCK ROAD BLDG 200 SUITE 213,2011-05-24,YES,YES,YES,YES,1996-05-24,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51052,178020,14610 PARALLEL ROAD,2011-07-26,YES,YES,YES,YES,1996-07-26,Same As Expected,3.0 - 4.0,Proprietary
Kansas,53052,178045,3500 NORTH ROCK ROAD BLDG 200A,2012-08-08,YES,YES,YES,NO,1997-08-08,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52927,178044,9415 E HARRY SUITES 204 AND 205,2012-08-18,YES,YES,NO,YES,1997-08-18,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52052,178048,110 SOUTH MAIN,2002-11-08,YES,YES,NO,YES,2000-11-08,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52527,178050,217 EAST HIGHWAY 36,2003-11-06,YES,YES,YES,YES,2001-11-06,Same As Expected,3.0 - 4.0,Non - Profit Religious
Kansas,52277,178051,6376 COLLEGE BLVD,2003-12-10,YES,YES,YES,YES,2001-12-10,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51727,178053,1234 STATE AVENUE,2004-06-06,YES,YES,YES,YES,2002-06-06,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51252,178055,1175 SOUTH RANGE SUITE 1,2004-10-17,YES,YES,YES,YES,2002-10-17,Not Available,,Non - Profit Other
Kansas,52852,178056,2622 WEST CENTRAL AVENUE SUITE 401-A,2005-04-03,YES,YES,YES,YES,2003-04-03,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52502,178058,7312 ANTIOCH ROAD,2005-08-28,YES,YES,YES,YES,2003-08-28,Same As Expected,3.0 - 4.0,Non - Profit Religious
Kansas,51127,178059,1400 SOUTH 130TH STREET,2006-02-24,YES,YES,YES,YES,2004-02-24,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51177,178060,11 NORTH HIGHLAND AVENUE,2006-10-06,YES,YES,YES,YES,2004-10-06,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51902,178061,502 NORTH KANSAS,2006-11-05,YES,YES,YES,YES,2004-11-05,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51802,178063,500 EAST THORPE STREET,2006-12-01,YES,YES,NO,YES,2004-12-01,Same As Expected,3.0 - 4.0,Government - State/ County
Kansas,51552,178064,220 EAST 8TH STREET,2007-03-24,YES,YES,YES,YES,2005-03-24,Same As Expected,3.0 - 4.0,Non - Profit Religious
Kansas,51852,178067,13002 STATELINE ROAD,2007-11-22,YES,YES,YES,YES,2005-11-22,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51427,178068,314 NORTH 7TH STREET,2008-04-13,YES,YES,YES,YES,2006-04-13,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52652,178069,2016 SW 37TH STREET SUITE 100,2008-05-03,YES,YES,YES,YES,2006-05-03,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52927,178072,9415  EAST HARRY STREET #301,2008-05-16,YES,YES,YES,YES,2006-05-16,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51602,178071,107 WEST 4TH STREET,2008-05-17,YES,YES,YES,YES,2006-05-17,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52327,178070,1712 MAIN STREET,2008-05-18,YES,YES,NO,YES,2006-05-18,Not Available,,Non - Profit Other
Kansas,52952,178073,1037 SOUTH BROADWAY,2008-08-02,YES,YES,NO,YES,2006-08-02,Not Available,,Proprietary
Kansas,52977,178074,8338 WEST 13TH STREET NORTH,2008-12-28,YES,YES,YES,YES,2006-12-28,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51352,178075,417 COMMERCIAL SUITE A,2009-07-16,YES,YES,YES,YES,2007-07-16,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52202,178077,6811 SHAWNEE MISSION PARKWAY SUITE 115,2010-08-05,YES,YES,NO,YES,2008-08-05,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52927,178078,1125 S ROCK ROAD SUITE 10,2010-08-20,YES,YES,YES,YES,2008-08-20,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52402,178079,8101 MISSION  ROAD,2010-09-22,YES,YES,YES,YES,2008-09-22,Same As Expected,3.0 - 4.0,Proprietary
Kansas,51502,178081,655-B EAST 22ND,2011-08-05,YES,YES,NO,YES,2009-08-05,Not Available,,Proprietary
Kansas,51877,178082,14831 WEST 95TH STREET,2011-09-03,YES,YES,YES,YES,2009-09-03,Worse Than Expected,1.0 - 2.5,Proprietary
Kansas,52277,178085,11111 NALL AVENUE SUITE 114,2012-02-02,YES,YES,YES,YES,2010-02-02,Same As Expected,3.0 - 4.0,Proprietary
Kansas,53027,178086,1631 EAST 17TH STREET NORTH SUITE 100,2012-03-04,YES,YES,YES,YES,2010-03-04,Same As Expected,3.0 - 4.0,Non - Profit Private
Kansas,52927,178087,7607 EAST HARRY,2012-07-06,YES,YES,YES,YES,2010-07-06,Better Than Expected,4.5 - 5.0,Proprietary
Kansas,53052,178088,8200 E 34TH ST CIRCLE NORTH BLDG 1600 SUITE 1601,2012-12-14,YES,YES,YES,NO,2010-12-14,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52627,178090,200 SW FRAZIER CIRCLE,2013-01-20,YES,YES,YES,YES,2011-01-20,Same As Expected,3.0 - 4.0,Non - Profit Private
Kansas,53027,178089,2102 EAST 21ST STREET NORTH #B,2013-03-23,YES,YES,YES,YES,2011-03-23,Not Available,,Proprietary
Kansas,53002,178092,2312 SOUTH MERIDIAN SUITE 102,2014-05-03,YES,YES,YES,YES,2012-05-03,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52252,178094,8600 WEST 110TH ST SUITE 210,2014-07-08,YES,YES,YES,YES,2012-07-08,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52302,178097,100 ANGELA SUITE 4,2015-04-29,YES,YES,YES,YES,2013-04-29,Same As Expected,3.0 - 4.0,Proprietary
Kansas,52602,178098,1251 SW ARROWHEAD SUITE 103,2015-06-07,YES,YES,YES,YES,2013-06-07,Worse Than Expected,1.0 - 2.5,Proprietary
Kansas,52477,178099,131 NORTH SANTA FE AVENUE SUITE 110,2015-06-13,YES,YES,YES,YES,2013-06-13,Same As Expected,3.0 - 4.0,Proprietary
