state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Nevada,84277,297002,PO BOX  1359,1997-06-07,YES,YES,YES,YES,1967-06-07,Not Available,,Non - Profit Private
Nevada,85002,297008,690 SIERRA ROSE DR,2008-06-01,YES,YES,YES,YES,1978-06-01,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Nevada,84977,297015,3935 S MCCARRAN BLVD,2003-07-14,YES,YES,YES,YES,1983-07-14,Same As Expected,3.0 - 4.0,Non - Profit Private
Nevada,84627,297020,1840 E WARM SPRINGS RD SUITE 100,2005-09-13,YES,YES,YES,YES,1985-09-13,Same As Expected,3.0 - 4.0,Proprietary
Nevada,84252,297022,725 BASQUE WAY SUITE 3,2005-10-25,YES,YES,YES,YES,1985-10-25,Same As Expected,3.0 - 4.0,Proprietary
Nevada,84702,297030,8655 S EASTERN AVE,2007-03-24,YES,YES,YES,YES,1987-03-24,Not Available,,Proprietary
Nevada,84677,297032,3075 EAST FLAMINGO ROAD SUITE #116,2005-04-27,YES,YES,YES,YES,1990-04-27,Same As Expected,3.0 - 4.0,Proprietary
Nevada,84477,297034,820 RANCHO LN #20,2005-08-13,YES,YES,YES,YES,1990-08-13,Not Available,,Proprietary
Nevada,84977,297035,1201 CORPORATE BLVD SUITE 130,2006-03-21,YES,YES,YES,YES,1991-03-21,Same As Expected,3.0 - 4.0,Proprietary
Nevada,84577,297036,6950  VIA OLIVERO AVE STE B4,2006-04-28,YES,YES,YES,YES,1991-04-28,Same As Expected,3.0 - 4.0,Proprietary
Nevada,84852,297040,9121 WEST RUSSELL STE 118,2007-05-11,YES,YES,YES,YES,1992-05-11,Same As Expected,3.0 - 4.0,Proprietary
Nevada,84227,297047,901 ADAMS BLVD,2008-04-21,YES,YES,NO,YES,1993-04-21,Same As Expected,3.0 - 4.0,Non - Profit Private
Nevada,85027,297049,9400 GATEWAY DRIVE,2009-03-21,YES,YES,NO,NO,1994-03-21,Not Available,,Proprietary
Nevada,84627,297054,1776 E WARM SPRINGS STE 202,2009-05-18,YES,YES,YES,YES,1994-05-18,Same As Expected,3.0 - 4.0,Non - Profit Religious
Nevada,84777,297055,8542 DEL WEBB BLVD.,2009-05-26,YES,YES,NO,YES,1994-05-26,Not Available,,Proprietary
Nevada,84427,297056,4423 WEST FLAMINGO ROAD,2009-06-07,YES,YES,YES,YES,1994-06-07,Not Available,,Proprietary
Nevada,84677,297058,3075 EAST FLAMINGO ROAD SUITE #116A,2009-07-26,YES,YES,YES,YES,1994-07-26,Not Available,,Proprietary
