state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Virginia,129627,497008,9900 MAIN STREET,2006-10-01,YES,YES,YES,YES,1976-10-01,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Virginia,130852,497245,485 RODMAN AVENUE,2009-10-11,YES,YES,YES,YES,1979-10-11,Better Than Expected,4.5 - 5.0,Non - Profit Religious
Virginia,131477,497255,6800 BACKLICK ROAD SUITE 200,2001-04-09,YES,YES,YES,YES,1981-04-09,Same As Expected,3.0 - 4.0,Proprietary
Virginia,130127,497256,2000 BERRY ROAD,2001-05-08,YES,YES,NO,YES,1981-05-08,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Virginia,131277,497258,1615 FRANKLIN ROAD,2001-10-23,YES,YES,YES,YES,1981-10-23,Same As Expected,3.0 - 4.0,Non - Profit Other
Virginia,129452,497259,23 DUNLAP VILLAGE CIRCLE,2001-12-11,YES,YES,YES,YES,1981-12-11,Same As Expected,3.0 - 4.0,Proprietary
Virginia,130952,497260,701 RANDOLPH STREET SUITE 110,2002-01-13,YES,YES,YES,YES,1982-01-13,Better Than Expected,4.5 - 5.0,Non - Profit Other
Virginia,131752,497264,516 S INDEPENDENCE BLVD  SUITE 106,2002-05-05,YES,YES,YES,YES,1982-05-05,Same As Expected,3.0 - 4.0,Proprietary
Virginia,130827,497263,516 LONDON STREET,2002-06-11,YES,NO,NO,NO,1982-06-11,Not Available,,Non - Profit Other
Virginia,129302,497268,535 INDEPENDENCE PARKWAY SUITE 200,2002-07-01,YES,YES,YES,YES,1982-07-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Virginia,131802,497271,5544 GREENWICH ROAD SUITE 300,2002-10-21,YES,YES,YES,YES,1982-10-21,Same As Expected,3.0 - 4.0,Proprietary
Virginia,129577,497272,2300 FALL HILL AVENUE - SUITE 401,2002-11-01,YES,YES,YES,YES,1982-11-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Virginia,131327,497275,5221 VALLEY PARK DRIVE SUITE 1A,2003-06-01,YES,YES,YES,YES,1983-06-01,Same As Expected,3.0 - 4.0,Proprietary
Virginia,130352,497278,1204 FENWICK DRIVE,2003-09-29,YES,YES,YES,YES,1983-09-29,Same As Expected,3.0 - 4.0,Non - Profit Private
Virginia,129302,497279,667 KINGSBOROUGH SQUARE SUITE 201,2003-12-16,YES,YES,YES,YES,1983-12-16,Worse Than Expected,1.0 - 2.5,Government - Local
Virginia,131852,497281,23 WINCHESTER STREET,2004-01-03,YES,YES,NO,YES,1984-01-03,Same As Expected,3.0 - 4.0,Proprietary
Virginia,129827,497285,64 SPORTS MEDICINE DRIVE,2004-03-13,YES,YES,YES,YES,1984-03-13,Same As Expected,3.0 - 4.0,Non - Profit Private
Virginia,131927,497288,165 PLAZA ROAD SUITE 20,2004-04-12,YES,YES,YES,YES,1984-04-12,Same As Expected,3.0 - 4.0,Non - Profit Private
Virginia,130627,497294,200 ENTERPRISE DRIVE,2004-05-01,YES,YES,YES,YES,1984-05-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Virginia,131427,497287,2204 WILBORN AVENUE,2004-05-02,YES,YES,YES,YES,1984-05-02,Same As Expected,3.0 - 4.0,Non - Profit Private
Virginia,131527,497292,THE SHOPS AT 222 - 106 ROWE ROAD SUITE 103,2004-06-15,YES,YES,YES,YES,1984-06-15,Same As Expected,3.0 - 4.0,Proprietary
Virginia,129552,497289,201 HICKSFORD AVENUE,2004-06-22,YES,YES,NO,YES,1984-06-22,Same As Expected,3.0 - 4.0,Proprietary
Virginia,131852,497299,170 W SHIRLEY AVENUE SUITE 101,2004-09-19,YES,YES,YES,YES,1984-09-19,Worse Than Expected,1.0 - 2.5,Proprietary
Virginia,131352,497038,390 SOUTH MAIN ST SUITE 105,2004-11-21,YES,YES,YES,YES,1984-11-21,Same As Expected,3.0 - 4.0,Non - Profit Other
Virginia,130027,497040,818 GLENDALE ROAD SUITE 1,2005-04-16,YES,YES,YES,YES,1985-04-16,Same As Expected,3.0 - 4.0,Proprietary
Virginia,128752,497044,611 CAMPUS DRIVE SUITE 300,2005-04-25,YES,YES,YES,YES,1985-04-25,Worse Than Expected,1.0 - 2.5,Proprietary
Virginia,129802,497055,711 OAK STREET,2005-05-10,YES,YES,NO,YES,1985-05-10,Same As Expected,3.0 - 4.0,Proprietary
Virginia,130827,497015,801 COURT STREET,2005-05-30,YES,YES,YES,YES,1985-05-30,Same As Expected,3.0 - 4.0,Proprietary
Virginia,130577,497011,26782 NORTH JAMES MADISON HIGHWAY,2005-07-02,YES,YES,YES,YES,1985-07-02,Same As Expected,3.0 - 4.0,Proprietary
Virginia,129227,497019,540 GREENFIELD TERRACE,2005-07-03,YES,YES,YES,YES,1985-07-03,Worse Than Expected,1.0 - 2.5,Non - Profit Other
