state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Wyoming,137327,537014,2600 E 18TH ST,2005-09-01,YES,YES,YES,YES,1975-09-01,Same As Expected,3.0 - 4.0,Government - State/ County
Wyoming,137252,537026,497 WEST LOTT,2004-09-19,YES,YES,YES,YES,1984-09-19,Same As Expected,3.0 - 4.0,Government - Local
Wyoming,137377,537031,1021 9TH STREET,2008-11-16,YES,YES,YES,YES,1988-11-16,Same As Expected,3.0 - 4.0,Government - State/ County
Wyoming,137502,537063,555 EAST BROADWAY SUITE 115,2005-12-05,YES,YES,YES,YES,1990-12-05,Same As Expected,3.0 - 4.0,Government - State/ County
Wyoming,137452,537035,300 SOUTH BURMA AVE,2006-07-19,YES,YES,YES,YES,1991-07-19,Same As Expected,3.0 - 4.0,Government - State/ County
Wyoming,137727,537038,1401 W 5TH STREET,2007-03-17,YES,YES,YES,YES,1992-03-17,Worse Than Expected,1.0 - 2.5,Government - State/ County
Wyoming,137527,537041,230 N 1ST ST,2007-06-22,YES,YES,YES,YES,1992-06-22,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137277,537042,1010 EAST 1ST STREET SUITE A,2007-06-30,YES,YES,YES,YES,1992-06-30,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137277,537044,907 N POPLAR STREET SUITE 153,2007-09-17,YES,YES,YES,YES,1992-09-17,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137352,537045,410 MANEWAL DRIVE,2007-12-31,YES,YES,YES,YES,1992-12-31,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137652,537050,725 WASHINGTON PLAZA,2008-10-12,YES,YES,YES,YES,1993-10-12,Same As Expected,3.0 - 4.0,Government - Local
Wyoming,137777,537052,717 BROADWAY ST,2008-12-09,YES,YES,YES,YES,1993-12-09,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137427,537055,1229 UINTA STREET,2009-08-09,YES,YES,YES,YES,1994-08-09,Same As Expected,3.0 - 4.0,Non - Profit Private
Wyoming,137477,537302,520 WILKES DR STE 14,2012-03-21,YES,YES,NO,YES,1997-03-21,Same As Expected,3.0 - 4.0,Non - Profit Private
Wyoming,137627,537069,116 NORTH LITTLE HORN,2013-07-31,YES,YES,NO,YES,1998-07-31,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137752,537304,487A NORTH MAIN SUITE 2,2002-09-14,YES,YES,YES,YES,2000-09-14,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137402,537831,637 FRONT STREET,2006-12-16,YES,YES,YES,YES,2004-12-16,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137227,537073,625 SOUTH WASHINGTON SUITE B,2008-08-29,YES,YES,YES,YES,2006-08-29,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137702,537074,2400 REAGAN,2009-04-11,YES,YES,NO,YES,2007-04-11,Not Available,,Non - Profit Other
Wyoming,137577,537833,1277 NORTH 15TH STREEET,2011-07-14,YES,YES,YES,YES,2009-07-14,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137302,537075,800 WERNER COURT SUITE 200,2011-08-11,YES,YES,YES,YES,2009-08-11,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137327,537076,4024 LARAMIE STREET,2012-02-23,YES,YES,YES,YES,2010-02-23,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137552,537077,204 MCCOLLUM DR #106,2012-07-15,YES,YES,YES,YES,2010-07-15,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137402,537078,913 CENTER STREET SUITE B,2012-11-27,YES,YES,YES,YES,2010-11-27,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137677,537834,1904 EDINBURGH ST,2013-09-13,YES,YES,YES,YES,2011-09-13,Same As Expected,3.0 - 4.0,Proprietary
Wyoming,137602,537079,PO BOX 1448,2016-03-28,YES,YES,YES,YES,2016-03-28,Not Available,,Proprietary
