country,state,abbv,county,city,address,zipcode,loc_no,name,cer_no,date_cer,ownership,lrd,ncs,pts,sps,hhas,sq,sqr
United States,Colorado,CO,Alamosa,ALAMOSA,8900 INDEPENDENCE WAY,81101,20127,ALAMOSA COUNTY PUBLIC HEALTH DEPARTMENT,67026,1972-04-01,Government - State/ County,2002-04-01,YES,YES,NO,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Alamosa,ALAMOSA,177 CRAFT DRIVE SUITE 100,81101,20127,AT HOME HEALTHCARE,67248,1995-03-01,Proprietary,2010-03-01,YES,YES,NO,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Summit,FRISCO,18 SCHOOL ROAD SUITE 100,80443,21252,BRISTLECONE HEALTH SERVICES,67044,1979-04-01,Non - Profit Religious,2009-04-01,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Denver,DENVER,501 S CHERRY STREET #700,80246,20977,OPTIO HEALTH SERVICES,67051,1980-01-03,Non - Profit Private,2000-01-03,YES,YES,YES,NO,Not Available,
United States,Colorado,CO,Arapahoe,ENGLEWOOD,3680 SOUTH GALAPAGO STREET #102,80110,21027,HOME HEALTH CARE PROFESSIONALS INC,67054,1980-09-30,Non - Profit Private,2000-09-30,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Arapahoe,ENGLEWOOD,333 W HAMPDEN AVENUE #925,80110,21027,INTERIM HEALTHCARE,67438,2004-01-23,Proprietary,2006-01-23,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Arapahoe,ENGLEWOOD,945 W KENYON AVE STE 200,80110,21027,ALL STATE HOME HEALTH,67457,2006-01-03,Proprietary,2008-01-03,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Denver,DENVER,1385 S COLORADO BLVD SUITE 222,80222,20852,BAYADA HOME HEALTH CARE INC,67056,1980-12-19,Proprietary,2000-12-19,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Denver,DENVER,1385 S COLORADO BLVD STE A306,80222,20852,AMI - WELLNESS,67254,1995-05-17,Proprietary,2010-05-17,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Denver,DENVER,2168 SOUTH BIRCH STREET,80222,20852,COLORADO HEALTH CONNECTIONS INC,67454,2005-11-23,Proprietary,2007-11-23,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
