state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Arkansas,6102,47842,1501 WEST FIRST STREET NORTH,1998-04-18,YES,YES,NO,YES,1968-04-18,Not Available,,Government - State/ County
Arkansas,5502,47869,742 AIRPORT ROAD,1998-07-09,YES,YES,NO,NO,1968-07-09,Same As Expected,3.0 - 4.0,Government - State/ County
Arkansas,5577,47870,149 HALEY STREET,1998-07-10,YES,YES,YES,YES,1968-07-10,Same As Expected,3.0 - 4.0,Government - State/ County
Arkansas,5752,47871,204 WHITFIELD STREET,1999-06-05,YES,YES,YES,YES,1969-06-05,Worse Than Expected,1.0 - 2.5,Government - State/ County
Arkansas,5902,47823,200 NORTH SECOND,2000-06-11,YES,YES,NO,YES,1970-06-11,Not Available,,Government - State/ County
Arkansas,5152,47872,506 WEST COURT STREET,2000-07-22,YES,NO,NO,YES,1970-07-22,Same As Expected,3.0 - 4.0,Government - State/ County
Arkansas,5927,47004,900 WEST KINGSHIGHWAY,2000-08-01,YES,YES,YES,YES,1970-08-01,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Arkansas,6127,47873,409 EAST MAGNOLIA STREET,2001-07-08,YES,YES,NO,YES,1971-07-08,Not Available,,Government - State/ County
Arkansas,6577,47874,704 CANAL STREET,2002-05-10,YES,YES,NO,YES,1972-05-10,Not Available,,Government - State/ County
Arkansas,4577,47875,304 NORTH FOURTH STREET,2002-07-01,YES,NO,NO,YES,1972-07-01,Not Available,,Government - State/ County
Arkansas,4077,47876,150 KELLER,2004-04-03,YES,YES,NO,YES,1974-04-03,Not Available,,Government - State/ County
Arkansas,6002,47878,1009 SOUTH GARFIELD,2004-04-22,YES,YES,NO,YES,1974-04-22,Not Available,,Government - State/ County
Arkansas,4877,47877,1119 PRESTRESS DRIVE,2004-05-22,YES,YES,NO,YES,1974-05-22,Not Available,,Government - State/ County
Arkansas,5102,47006,220 MCAULEY COURT,2006-07-26,YES,YES,YES,YES,1976-07-26,Same As Expected,3.0 - 4.0,Non - Profit Religious
Arkansas,5552,47008,901 SOUTH THIRD STREET,2007-06-15,YES,NO,NO,YES,1977-06-15,Same As Expected,3.0 - 4.0,Non - Profit Private
Arkansas,6427,47010,2700 BRYAN ROAD SUITE A,2008-06-10,YES,YES,YES,YES,1978-06-10,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,4827,47009,4300 ROGERS AVENUE SUITE 35,2008-10-25,YES,YES,YES,YES,1978-10-25,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,4827,47011,3300 SOUTH 70TH,2008-12-14,YES,YES,YES,YES,1978-12-14,Same As Expected,3.0 - 4.0,Non - Profit Religious
Arkansas,4477,47016,30 RYAN ROAD,2009-10-18,YES,YES,YES,YES,1979-10-18,Same As Expected,3.0 - 4.0,Non - Profit Private
Arkansas,6302,47020,2921 OLD MISSOURI ROAD SUITE 1 & 2,2000-07-01,YES,YES,YES,YES,1980-07-01,Worse Than Expected,1.0 - 2.5,Proprietary
Arkansas,4677,47021,431 WEST OAK,2000-07-29,YES,YES,YES,YES,1980-07-29,Better Than Expected,4.5 - 5.0,Proprietary
Arkansas,6202,47024,121 SOUTH PICKREN,2001-04-16,YES,YES,YES,YES,1981-04-16,Same As Expected,3.0 - 4.0,Non - Profit Private
Arkansas,4352,47025,726 CALIFORNIA AVENUE SW,2001-07-23,YES,YES,YES,YES,1981-07-23,Better Than Expected,4.5 - 5.0,Non - Profit Private
Arkansas,5352,47029,10825 FINANCIAL CENTRE PARKWAY SUITE 210,2001-10-22,YES,YES,YES,YES,1981-10-22,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,5377,47028,1152 N RODNEY PARHAM ROAD SUITE 1,2001-11-19,YES,YES,YES,YES,1981-11-19,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,6177,47032,1808 WEST MAIN STREET,2001-12-09,YES,YES,YES,YES,1981-12-09,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,6227,47035,3109 EAST MOORE AVENUE,2001-12-18,YES,YES,YES,YES,1981-12-18,Same As Expected,3.0 - 4.0,Non - Profit Other
Arkansas,6002,47031,1206 GORDON DUCKWORTH DRIVE,2001-12-30,YES,YES,YES,YES,1981-12-30,Same As Expected,3.0 - 4.0,Non - Profit Other
Arkansas,6027,47030,709 EAST 8TH AVENUE,2002-01-05,YES,YES,NO,YES,1982-01-05,Same As Expected,3.0 - 4.0,Non - Profit Private
Arkansas,5202,47307,114 N CHICOT STREET,2002-01-06,YES,YES,NO,YES,1982-01-06,Not Available,,Non - Profit Private
Arkansas,4502,47308,208 ALABAMA,2002-01-06,YES,YES,NO,YES,1982-01-06,Not Available,,Non - Profit Private
Arkansas,5652,47306,110 EAST GAINS,2002-01-07,YES,YES,NO,YES,1982-01-07,Not Available,,Non - Profit Private
Arkansas,4802,47034,524 GARRISON AVENUE,2002-01-19,YES,NO,NO,YES,1982-01-19,Same As Expected,3.0 - 4.0,Non - Profit Other
Arkansas,5177,47033,1726 MARIE CIRCLE,2002-01-27,YES,YES,YES,YES,1982-01-27,Same As Expected,3.0 - 4.0,Non - Profit Religious
Arkansas,6127,47309,720 NORTH PECAN STREET,2002-02-11,YES,YES,NO,YES,1982-02-11,Not Available,,Non - Profit Private
Arkansas,6327,47310,700 SOUTH LINCOLN,2002-02-11,YES,YES,NO,YES,1982-02-11,Not Available,,Non - Profit Private
Arkansas,6252,47313,1525 HWY 270E,2002-02-11,YES,YES,NO,YES,1982-02-11,Not Available,,Non - Profit Private
Arkansas,4827,47038,3321 SOUTH 74TH STREET SUITE B,2002-02-16,YES,YES,YES,YES,1982-02-16,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,4302,47043,23157 INTERSTATE 30,2002-02-19,YES,YES,YES,YES,1982-02-19,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Arkansas,4327,47046,54 GRASSE STREET,2002-03-18,YES,YES,YES,YES,1982-03-18,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,5177,47044,2710 PHILLIPS DRIVE,2002-03-25,YES,YES,YES,YES,1982-03-25,Worse Than Expected,1.0 - 2.5,Proprietary
Arkansas,5252,47888,3600 CANTRELL ROAD SUITE 203,2002-05-03,YES,YES,NO,YES,1982-05-03,Not Available,,Government - State/ County
Arkansas,6577,47048,732 EAST ELDRIDGE AVENUE,2002-05-04,YES,YES,YES,YES,1982-05-04,Same As Expected,3.0 - 4.0,Non - Profit Religious
Arkansas,5827,47052,1301 MCLAIN STREET,2002-08-03,YES,YES,NO,NO,1982-08-03,Same As Expected,3.0 - 4.0,Non - Profit Private
Arkansas,6502,47314,96 NORTH ELDRIDGE STREET,2002-08-19,YES,NO,NO,YES,1982-08-19,Not Available,,Non - Profit Private
Arkansas,6352,47315,807 NORTH MAIN,2002-09-02,YES,YES,NO,YES,1982-09-02,Not Available,,Non - Profit Private
Arkansas,6227,47057,404 LLAMA DRIVE,2002-10-05,YES,YES,YES,YES,1982-10-05,Worse Than Expected,1.0 - 2.5,Proprietary
Arkansas,4577,47056,307 WEST STILLWELL AVENUE,2002-11-17,YES,YES,YES,YES,1982-11-17,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,5302,47070,300 SOUTH RODNEY PARHAM SUITE 14,2003-03-01,YES,YES,YES,YES,1983-03-01,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,4127,47080,2236 HARRISON STREET,2003-10-06,YES,YES,YES,YES,1983-10-06,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,5427,47081,833 NORTH WASHINGTON,2004-01-24,YES,YES,NO,YES,1984-01-24,Same As Expected,3.0 - 4.0,Government - Local
Arkansas,4452,47083,2134 ROBINSON,2004-03-06,YES,YES,YES,YES,1984-03-06,Same As Expected,3.0 - 4.0,Non - Profit Other
Arkansas,5627,47082,778 SCOGIN DRIVE,2004-03-13,YES,YES,YES,YES,1984-03-13,Same As Expected,3.0 - 4.0,Non - Profit Private
Arkansas,4927,47087,620 NORTH MAIN STREET,2004-03-16,YES,YES,YES,YES,1984-03-16,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,5527,47088,109 9TH STREET BUILDING 1,2004-04-26,YES,YES,YES,YES,1984-04-26,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,5327,47090,11900 COLONEL GLENN ROAD SUITE 2000,2004-06-19,YES,YES,YES,YES,1984-06-19,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Arkansas,6052,47093,2720 WEST 28TH AVENUE,2004-12-27,YES,YES,NO,YES,1984-12-27,Worse Than Expected,1.0 - 2.5,Proprietary
Arkansas,4027,47326,3050 TWIN RIVERS DRIVE,2005-07-11,YES,YES,YES,YES,1985-07-11,Same As Expected,3.0 - 4.0,Non - Profit Private
Arkansas,4527,47880,1309 EAST EIGHTH STREET,2006-05-13,YES,YES,NO,YES,1986-05-13,Not Available,,Government - State/ County
Arkansas,4527,47096,HIGHWAY 10 AT DETROIT STREET,2007-02-10,YES,YES,YES,YES,1987-02-10,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Arkansas,4602,47883,1616 SOUTH MADISON,2007-03-31,YES,YES,NO,YES,1987-03-31,Same As Expected,3.0 - 4.0,Government - State/ County
Arkansas,4252,47884,721 WEST 1ST STREET,2007-04-29,YES,YES,YES,YES,1987-04-29,Not Available,,Government - State/ County
Arkansas,4502,47886,117 PINE STREET,2007-06-09,YES,YES,NO,YES,1987-06-09,Same As Expected,3.0 - 4.0,Government - State/ County
Arkansas,4652,47887,751 HIGHWAY 65 SOUTH,2007-06-12,YES,NO,NO,YES,1987-06-12,Not Available,,Government - State/ County
Arkansas,4952,47097,1709 WEST MAIN,2007-08-25,YES,YES,YES,YES,1987-08-25,Same As Expected,3.0 - 4.0,Non - Profit Religious
Arkansas,5677,47099,211 HELICOPTER LANE,2007-08-27,YES,YES,YES,YES,1987-08-27,Same As Expected,3.0 - 4.0,Non - Profit Religious
Arkansas,4602,47100,1626 SOUTH MADISON STREET SUITE A,2007-10-28,YES,YES,NO,YES,1987-10-28,Same As Expected,3.0 - 4.0,Non - Profit Private
Arkansas,4727,47102,88 COLT SQUARE,2008-02-11,YES,YES,YES,YES,1988-02-11,Same As Expected,3.0 - 4.0,Non - Profit Other
Arkansas,5452,47103,1001 SCHNEIDER DRIVE,2008-04-01,YES,YES,YES,YES,1988-04-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Arkansas,5202,47104,2729 HIGHWAY 65 AND 82 SOUTH,2008-07-06,YES,YES,YES,YES,1988-07-06,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Arkansas,5077,47105,4328 CENTRAL AVENUE SUITE E,2008-10-12,YES,YES,YES,YES,1988-10-12,Worse Than Expected,1.0 - 2.5,Proprietary
Arkansas,5752,47108,609 SYLAMORE AVENUE,2009-07-20,YES,YES,YES,YES,1989-07-20,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,4502,47109,211 PINE STREET,2009-08-14,YES,YES,YES,YES,1989-08-14,Same As Expected,3.0 - 4.0,Non - Profit Other
Arkansas,4177,47110,804 WEST FREEMAN SUITE 4,2009-09-25,YES,YES,YES,YES,1989-09-25,Same As Expected,3.0 - 4.0,Non - Profit Religious
Arkansas,4977,47112,119 HICKORY HILL,2009-11-09,YES,YES,NO,NO,1989-11-09,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,6377,47114,4100 JEFFERSON AVENUE SUITE A,2005-01-16,YES,YES,YES,YES,1990-01-16,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,6202,47115,111 NORTH MAIN STREET,2005-03-05,YES,YES,YES,YES,1990-03-05,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,4227,47116,509 HUTSON STREET,2005-03-28,YES,YES,YES,YES,1990-03-28,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,5127,47117,1400 BRADEN STREET,2005-03-29,YES,YES,YES,YES,1990-03-29,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,4127,47118,2000 EAST HARRISON ST SUITE E,2005-04-04,YES,YES,YES,YES,1990-04-04,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,6552,47122,318 SOUTH RHODES STREET,2005-08-07,YES,YES,YES,YES,1990-08-07,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,4652,47127,811 HIGHWAY 65 SOUTH,2006-04-08,YES,YES,YES,YES,1991-04-08,Same As Expected,3.0 - 4.0,Non - Profit Private
Arkansas,4777,47128,3105 NORTH WASHINGTON STREET SUITE 7,2006-07-01,YES,YES,YES,YES,1991-07-01,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,5602,47133,1201 SOUTH MENA STREET SUITE 2,2006-09-03,YES,YES,NO,YES,1991-09-03,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,4702,47134,146 PASSION PLAY ROAD SUITE C,2007-01-22,YES,YES,YES,YES,1992-01-22,Same As Expected,3.0 - 4.0,Proprietary
Arkansas,4477,47338,30 RYAN ROAD,2007-04-25,YES,YES,YES,YES,1992-04-25,Same As Expected,3.0 - 4.0,Non - Profit Private
