state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Arizona,8277,37011,14239 WEST BELL ROAD SUITE 219,2002-09-01,YES,YES,YES,YES,1972-09-01,Same As Expected,3.0 - 4.0,Proprietary
Arizona,6827,37015,275 EAST GERMANN ROAD SUITE 110S,2007-12-19,YES,YES,YES,YES,1977-12-19,Better Than Expected,4.5 - 5.0,Non - Profit Private
Arizona,8452,37016,5055 EAST BROADWAY SUITE D-104,2009-11-28,YES,YES,YES,YES,1979-11-28,Same As Expected,3.0 - 4.0,Proprietary
Arizona,7477,37020,1510 EAST FLOWER STREET,2000-12-08,YES,YES,YES,YES,1980-12-08,Same As Expected,3.0 - 4.0,Non - Profit Other
Arizona,8077,37024,7301 E 2ND STREET SUITE 300,2001-11-01,YES,YES,YES,YES,1981-11-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Arizona,8202,37027,3401 SOUTH WHITE MOUNTAIN BOULEVARD,2002-09-15,YES,YES,NO,YES,1982-09-15,Better Than Expected,4.5 - 5.0,Non - Profit Other
Arizona,7952,37030,2971 WILLOW CREEK ROAD BUILDING 1 SUITE A,2002-12-29,YES,YES,YES,YES,1982-12-29,Same As Expected,3.0 - 4.0,Non - Profit Private
Arizona,8452,37036,5255 EAST WILLIAMS CIRCLE SUITE 6400,2003-01-27,YES,YES,YES,YES,1983-01-27,Better Than Expected,4.5 - 5.0,Proprietary
Arizona,7777,37037,16620 NORTH 40TH STREET SUITE D4,2003-03-21,YES,YES,YES,YES,1983-03-21,Better Than Expected,4.5 - 5.0,Proprietary
Arizona,6752,37042,203 SOUTH CANDY LANE SUITE 5A,2003-11-30,YES,YES,YES,YES,1983-11-30,Better Than Expected,4.5 - 5.0,Non - Profit Other
Arizona,6777,37047,107 EAST OAK AVENUE SUITE 102A,2004-01-26,YES,YES,YES,YES,1984-01-26,Same As Expected,3.0 - 4.0,Non - Profit Other
Arizona,6977,37050,2202 STOCKTON HILL ROAD SUITE 200,2004-04-17,YES,YES,YES,YES,1984-04-17,Same As Expected,3.0 - 4.0,Non - Profit Other
Arizona,7027,37057,1851 MESQUITE BOULEVARD SUITE 206,2004-07-27,YES,YES,YES,YES,1984-07-27,Same As Expected,3.0 - 4.0,Proprietary
Arizona,8452,37070,1120 SOUTH SWAN ROAD,2005-01-30,YES,YES,YES,YES,1985-01-30,Same As Expected,3.0 - 4.0,Proprietary
Arizona,7627,37068,706 EAST BELL ROAD SUITE 111,2005-02-06,YES,YES,YES,YES,1985-02-06,Same As Expected,3.0 - 4.0,Proprietary
Arizona,8227,37099,4990 EAST MEDITERRANEAN DRIVE SUITE D,2008-06-10,YES,YES,NO,YES,1988-06-10,Same As Expected,3.0 - 4.0,Proprietary
Arizona,7477,37101,1201 EAST THOMAS ROAD,2008-06-17,YES,YES,YES,YES,1988-06-17,Not Available,,Non - Profit Religious
Arizona,7477,37106,5045 NORTH 12TH STREET SUITE 100,2008-11-30,YES,YES,YES,YES,1988-11-30,Same As Expected,3.0 - 4.0,Proprietary
Arizona,8427,37112,1 WEST WETMORE ROAD SUITE 203,2005-04-17,YES,YES,YES,YES,1990-04-17,Worse Than Expected,1.0 - 2.5,Proprietary
Arizona,7327,37114,708 EAST ROUTE 260 SUITE A1,2005-08-06,YES,YES,NO,YES,1990-08-06,Same As Expected,3.0 - 4.0,Proprietary
Arizona,8552,37118,2980 NORTH CAMPBELL SUITE 160,2006-01-23,YES,NO,NO,YES,1991-01-23,Not Available,,Proprietary
Arizona,8477,37125,3075 NORTH SWAN ROAD,2007-04-14,YES,YES,YES,YES,1992-04-14,Not Available,,Proprietary
Arizona,8402,37130,7070 NORTH ORACLE ROAD SUITE 100,2007-06-24,YES,YES,YES,YES,1992-06-24,Same As Expected,3.0 - 4.0,Proprietary
Arizona,7252,37129,857 WEST BELL ROAD SUITE 7,2007-07-14,YES,NO,NO,YES,1992-07-14,Same As Expected,3.0 - 4.0,Proprietary
Arizona,7577,37132,7310 NORTH 16TH STREET SUITE 165,2007-09-15,YES,YES,YES,YES,1992-09-15,Better Than Expected,4.5 - 5.0,Proprietary
Arizona,7152,37133,6336 EAST BROWN ROAD SUITE 102,2007-09-28,YES,YES,YES,YES,1992-09-28,Same As Expected,3.0 - 4.0,Proprietary
Arizona,7977,37139,3107 CLEARWATER DRIVE SUITE A,2007-12-17,YES,YES,YES,YES,1992-12-17,Same As Expected,3.0 - 4.0,Proprietary
Arizona,8527,37144,2504 EAST RIVER ROAD SUITE 100,2008-04-29,YES,YES,YES,NO,1993-04-29,Same As Expected,3.0 - 4.0,Proprietary
Arizona,6652,37146,2755 SILVER CREEK ROAD SUITE 127,2008-05-05,YES,YES,YES,YES,1993-05-05,Same As Expected,3.0 - 4.0,Proprietary
Arizona,8002,37154,3085 NORTH WINDSONG DRIVE SUITE A,2009-01-14,YES,YES,YES,YES,1994-01-14,Same As Expected,3.0 - 4.0,Proprietary
Arizona,6627,37179,101 COLE AVENUE,2009-04-21,YES,YES,NO,YES,1994-04-21,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Arizona,7777,37162,15255 NORTH 40TH STREET SUITE 141,2009-08-04,YES,YES,YES,NO,1994-08-04,Not Available,,Proprietary
Arizona,7277,37178,32 NORTH 10TH AVENUE SUITE 204,2010-07-18,YES,YES,NO,YES,1995-07-18,Not Available,,Proprietary
Arizona,6877,37185,18001 NORTH 79TH AVENUE SUITE A-3,2011-02-07,YES,YES,YES,YES,1996-02-07,Same As Expected,3.0 - 4.0,Proprietary
Arizona,7702,37188,2411 WEST ROSE GARDEN LANE SUITE 110,2011-04-04,YES,YES,YES,YES,1996-04-04,Same As Expected,3.0 - 4.0,Proprietary
Arizona,8652,37192,1380 SOUTH CASTLE DOME AVENUE SUITE 107,2011-08-10,YES,YES,YES,YES,1996-08-10,Worse Than Expected,1.0 - 2.5,Proprietary
Arizona,8327,37199,1626 SOUTH EDWARD DRIVE,2011-10-28,YES,YES,YES,YES,1996-10-28,Worse Than Expected,1.0 - 2.5,Proprietary
Arizona,7477,37202,1500 EAST BETHANY HOME ROAD SUITE 250,2011-11-15,YES,YES,YES,YES,1996-11-15,Same As Expected,3.0 - 4.0,Proprietary
Arizona,7477,37204,711 EAST MISSOURI AVENUE SUITE 110,2011-11-26,YES,NO,NO,YES,1996-11-26,Not Available,,Proprietary
Arizona,8552,37206,2980 NORTH CAMPBELL AVENUE SUITE 190,2012-01-14,YES,YES,YES,YES,1997-01-14,Not Available,,Proprietary
Arizona,7577,37205,7000 NORTH 16TH STREET SUITE 156,2012-03-06,YES,YES,YES,YES,1997-03-06,Not Available,,Proprietary
Arizona,8352,37212,2421 EAST SOUTHERN AVENUE SUITE 8,2012-07-25,YES,YES,YES,YES,1997-07-25,Same As Expected,3.0 - 4.0,Proprietary
Arizona,8502,37213,6367 EAST TANQUE VERDE ROAD SUITE 150,2013-09-24,YES,YES,YES,YES,1998-09-24,Same As Expected,3.0 - 4.0,Proprietary
Arizona,7477,37215,1550 EAST MISSOURI AVENUE SUITE 102,2013-12-02,YES,YES,YES,YES,1998-12-02,Same As Expected,3.0 - 4.0,Proprietary
Arizona,7577,37216,7600 NORTH 16TH STREET SUITE 140,2003-08-27,YES,YES,YES,YES,2001-08-27,Not Available,,Non - Profit Other
