state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
California,12952,57100,11265 MT VIEW AVE STE H14,1997-10-12,YES,YES,YES,YES,1967-10-12,Same As Expected,3.0 - 4.0,Proprietary
California,16952,57114,591 CAMINO DE LA REINA SUITE 1010,1999-01-01,YES,YES,YES,YES,1969-01-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
California,11352,57135,6729 NORTH WILLOW AVE SUITE 103,2000-05-25,YES,YES,YES,YES,1970-05-25,Same As Expected,3.0 - 4.0,Non - Profit Religious
California,11527,57136,12419 LEWIS STREET SUITE 104,2000-06-12,YES,YES,YES,YES,1970-06-12,Same As Expected,3.0 - 4.0,Proprietary
California,16752,57138,27 WOODLAND ROAD,2000-08-06,YES,YES,YES,NO,1970-08-06,Same As Expected,3.0 - 4.0,Non - Profit Religious
California,16952,57143,2525 CAMINO DEL RIO S STE 22O,2000-12-30,YES,YES,YES,YES,1970-12-30,Same As Expected,3.0 - 4.0,Proprietary
California,17302,57071,4131 GEARY BLVD,2002-07-01,YES,YES,YES,YES,1972-07-01,Not Available,,Non - Profit Other
California,12752,57072,23521 PASEO DE VALENCIA STE 100,2003-01-01,YES,YES,YES,YES,1973-01-01,Better Than Expected,4.5 - 5.0,Proprietary
California,17927,57163,512 EAST GUTIERREZ STREET SUITE B,2004-05-15,YES,YES,YES,YES,1974-05-15,Same As Expected,3.0 - 4.0,Non - Profit Other
California,12627,57187,15050 IMPERIAL HWY,2006-09-01,YES,YES,YES,YES,1976-09-01,Same As Expected,3.0 - 4.0,Non - Profit Private
California,18777,57190,585 NORTH MARY AVENUE,2007-02-28,YES,YES,YES,YES,1977-02-28,Better Than Expected,4.5 - 5.0,Non - Profit Private
California,19102,57200,10985 SPRING LANE,2007-07-01,YES,YES,NO,YES,1977-07-01,Same As Expected,3.0 - 4.0,Government - Local
California,16552,57198,2941 FULTON AVE SUITE B,2007-12-05,YES,YES,YES,YES,1977-12-05,Same As Expected,3.0 - 4.0,Proprietary
California,14427,57129,1000 CORPORATE CENTER DRIVE SUITE110,2008-01-16,YES,NO,NO,YES,1978-01-16,Not Available,,Non - Profit Religious
California,16102,57205,1425 VISTA WAY,2008-01-16,YES,YES,YES,YES,1978-01-16,Better Than Expected,4.5 - 5.0,Non - Profit Religious
California,17702,57203,3220 S HIGUERA ST STE 101,2008-03-06,YES,YES,YES,YES,1978-03-06,Same As Expected,3.0 - 4.0,Proprietary
California,18527,57212,509 W WEBER AVE SUITE 200,2008-04-28,YES,YES,YES,YES,1978-04-28,Same As Expected,3.0 - 4.0,Non - Profit Religious
California,11352,57214,1130 E SHAW AVE SUITE 200,2008-06-01,YES,YES,YES,YES,1978-06-01,Same As Expected,3.0 - 4.0,Non - Profit Private
California,11127,57219,4520 BUSINESS CENTER DRIVE SUITE 160,2009-01-18,YES,YES,YES,YES,1979-01-18,Same As Expected,3.0 - 4.0,Non - Profit Private
California,18377,57226,2092 LAKE TAHOE BLVD SUITE 500,2009-02-27,YES,YES,YES,YES,1979-02-27,Same As Expected,3.0 - 4.0,Non - Profit Private
California,16252,57230,1653 TRIANGLE DRIVE,2009-05-09,YES,YES,YES,YES,1979-05-09,Same As Expected,3.0 - 4.0,Non - Profit Private
California,13002,57246,280 ATLANTIC AVE,2009-08-01,YES,YES,YES,YES,1979-08-01,Not Available,,Proprietary
California,14002,57234,5108 HIGHWAY 140 STE C,2009-10-01,YES,YES,YES,YES,1979-10-01,Same As Expected,3.0 - 4.0,Government - Local
California,17377,57258,1762 TECHNOLOGY DRIVE SUITE 211,2000-04-07,YES,YES,YES,YES,1980-04-07,Same As Expected,3.0 - 4.0,Proprietary
California,11352,57248,1630 EAST SHAW SUITE 154,2000-07-18,YES,YES,YES,YES,1980-07-18,Same As Expected,3.0 - 4.0,Non - Profit Private
California,13277,57252,3699 WILSHIRE BLVD SUITE 720,2000-08-20,YES,YES,YES,YES,1980-08-20,Better Than Expected,4.5 - 5.0,Proprietary
California,19577,57255,403 WEST MAIN STREET,2000-12-03,YES,YES,YES,YES,1980-12-03,Better Than Expected,4.5 - 5.0,Government - State/ County
California,11052,57256,2127 HARRISON AVE #3,2000-12-12,YES,YES,YES,YES,1980-12-12,Better Than Expected,4.5 - 5.0,Non - Profit Religious
California,10202,57276,2298 PIKE COURT,2001-09-04,YES,YES,YES,YES,1981-09-04,Better Than Expected,4.5 - 5.0,Non - Profit Private
California,12927,57278,800 S. LOWER SACRAMENTO RD.,2001-10-16,YES,YES,NO,YES,1981-10-16,Same As Expected,3.0 - 4.0,Non - Profit Other
California,19977,57274,1207 FAIRCHILD COURT,2001-10-20,YES,YES,YES,YES,1981-10-20,Same As Expected,3.0 - 4.0,Non - Profit Other
