state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Colorado,20127,67026,8900 INDEPENDENCE WAY,2002-04-01,YES,YES,NO,YES,1972-04-01,Same As Expected,3.0 - 4.0,Government - State/ County
Colorado,21252,67044,18 SCHOOL ROAD SUITE 100,2009-04-01,YES,YES,YES,YES,1979-04-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Colorado,20977,67051,501 S CHERRY STREET #700,2000-01-03,YES,YES,YES,NO,1980-01-03,Not Available,,Non - Profit Private
Colorado,21027,67054,3680 SOUTH GALAPAGO STREET #102,2000-09-30,YES,YES,YES,YES,1980-09-30,Same As Expected,3.0 - 4.0,Non - Profit Private
Colorado,20852,67056,1385 S COLORADO BLVD SUITE 222,2000-12-19,YES,YES,YES,YES,1980-12-19,Same As Expected,3.0 - 4.0,Proprietary
Colorado,21402,67059,1129 COLORADO AVE,2001-02-09,YES,YES,YES,YES,1981-02-09,Same As Expected,3.0 - 4.0,Non - Profit Private
Colorado,20227,67065,1675 RANGE,2001-04-21,YES,NO,NO,YES,1981-04-21,Not Available,,Non - Profit Other
Colorado,21102,67063,3081 BERGEN PEAK DRIVE,2001-07-01,YES,YES,YES,YES,1981-07-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Colorado,21402,67133,1131 N 21ST ST,2001-07-06,YES,YES,YES,YES,1981-07-06,Same As Expected,3.0 - 4.0,Non - Profit Private
Colorado,22027,67069,54 CLUB MANOR DRIVE #103,2002-01-08,YES,YES,YES,YES,1982-01-08,Same As Expected,3.0 - 4.0,Non - Profit Private
Colorado,22027,67075,4112 OUTLOOK BLVD STE 256,2002-07-01,YES,YES,YES,YES,1982-07-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Colorado,22377,67078,16222 W HIGHWAY 24 SUITE 120,2002-07-30,YES,YES,YES,YES,1982-07-30,Same As Expected,3.0 - 4.0,Non - Profit Other
Colorado,20577,67080,1901 NORTH UNION #202,2002-10-18,YES,YES,YES,YES,1982-10-18,Same As Expected,3.0 - 4.0,Proprietary
Colorado,21202,67084,915 CENTRE AVENUE #2,2002-12-15,YES,YES,YES,YES,1982-12-15,Same As Expected,3.0 - 4.0,Proprietary
Colorado,20752,67090,1673 FILLMORE STREET,2003-06-09,YES,YES,YES,YES,1983-06-09,Not Available,,Proprietary
Colorado,21302,67098,720 S COLORADO BLVD STE 600-N,2003-10-20,YES,YES,YES,YES,1983-10-20,Not Available,,Proprietary
Colorado,21677,67101,1550 DOVER ST,2003-12-15,YES,NO,NO,YES,1983-12-15,Not Available,,Proprietary
Colorado,20702,67117,70 STAFFORD LANE #103,2004-04-10,YES,YES,YES,YES,1984-04-10,Same As Expected,3.0 - 4.0,Government - Local
Colorado,20627,67112,7015 TALL OAK DRIVE,2004-04-12,YES,YES,YES,YES,1984-04-12,Better Than Expected,4.5 - 5.0,Non - Profit Religious
Colorado,21002,67119,175 MERCADO SUITE 131,2004-05-23,YES,YES,YES,YES,1984-05-23,Same As Expected,3.0 - 4.0,Non - Profit Religious
