state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
District of Columbia,24477,97025,1707 L STREET NW SUITE 900,2003-06-30,YES,YES,NO,YES,1973-06-30,Same As Expected,3.0 - 4.0,Proprietary
District of Columbia,24352,97018,5101 WISCONSIN AVENUE NW   SUITE 250,2007-07-29,YES,YES,YES,YES,1987-07-29,Same As Expected,3.0 - 4.0,Proprietary
District of Columbia,24202,97024,1100 H STREET NW  SUITE # 940,2005-02-16,YES,YES,NO,YES,1990-02-16,Same As Expected,3.0 - 4.0,Proprietary
District of Columbia,24302,97036,820 UPSHUR STREET NW,2009-06-27,YES,YES,YES,YES,1994-06-27,Not Available,,Proprietary
District of Columbia,24127,97041,901 FIRST STREET NW,2010-05-24,YES,YES,NO,YES,1995-05-24,Not Available,,Proprietary
District of Columbia,24152,97045,1818 NEW YORK AVENUE NE SUITE 211,2012-03-18,YES,YES,YES,YES,1997-03-18,Not Available,,Proprietary
District of Columbia,24227,97049,1010 WISCONSIN AVENUE NW SUITE 300,2002-04-21,YES,YES,YES,YES,2000-04-21,Same As Expected,3.0 - 4.0,Proprietary
District of Columbia,24302,97050,5513 ILLINOIS AVENUE NW,2002-09-22,YES,YES,YES,YES,2000-09-22,Same As Expected,3.0 - 4.0,Proprietary
District of Columbia,24202,97051,1420 K STREET NW,2004-12-13,YES,YES,YES,YES,2002-12-13,Not Available,,Proprietary
District of Columbia,24127,97052,1416 9TH STREET NW,2005-06-13,YES,YES,YES,YES,2003-06-13,Same As Expected,3.0 - 4.0,Proprietary
District of Columbia,24327,97053,7826 EASTERN AVENUE NW SUITE LL 16,2005-10-09,YES,YES,YES,YES,2003-10-09,Same As Expected,3.0 - 4.0,Proprietary
District of Columbia,24402,97056,2512 24TH STREET NE,2006-03-09,YES,YES,YES,YES,2004-03-09,Not Available,,Proprietary
District of Columbia,24327,97057,7506 GEORGIA AVENUE NW UNIT 1,2006-10-04,YES,YES,NO,YES,2004-10-04,Same As Expected,3.0 - 4.0,Proprietary
District of Columbia,24402,97058,3500 18TH STREET NE,2006-12-17,YES,YES,NO,YES,2004-12-17,Not Available,,Proprietary
District of Columbia,24327,97059,6856 EASTERN AVE NW SUITE 220,2007-03-17,YES,NO,NO,YES,2005-03-17,Not Available,,Proprietary
District of Columbia,24302,97061,821 KENNEDY STREET NW,2008-07-13,YES,YES,NO,YES,2006-07-13,Same As Expected,3.0 - 4.0,Proprietary
District of Columbia,24277,97062,7826 EASTERN AVENUE SUITE # 406,2008-08-04,YES,YES,NO,YES,2006-08-04,Not Available,,Proprietary
District of Columbia,24327,97063,7600 GEORGIA AVENUE NW   SUITE#323,2009-01-05,YES,YES,NO,YES,2007-01-05,Not Available,,Proprietary
District of Columbia,24302,97064,6120 KANSAS AVENUE NW,2009-03-16,YES,YES,YES,YES,2007-03-16,Not Available,,Proprietary
District of Columbia,24327,97065,6856 EASTERN  AVENUE NW SUITE 320A,2009-10-26,YES,YES,YES,YES,2007-10-26,Not Available,,Proprietary
District of Columbia,24352,97066,4000 ABERMARLE STREET NW,2009-12-19,YES,YES,NO,YES,2007-12-19,Same As Expected,3.0 - 4.0,Proprietary
District of Columbia,24477,97067,1820 JEFFERSON PLACE NW,2010-01-08,YES,YES,YES,YES,2008-01-08,Same As Expected,3.0 - 4.0,Proprietary
District of Columbia,24302,97068,6031 KANSAS AVE. NW   SUITE 201,2010-05-02,YES,YES,YES,YES,2008-05-02,Not Available,,Proprietary
District of Columbia,24377,97069,1731 BUNKER HILL ROAD NE,2011-11-19,YES,YES,YES,YES,2009-11-19,Not Available,,Proprietary
District of Columbia,24452,97070,2759 MARTIN LUTHER KING JR AVENUE SE SUITE 105,2015-03-25,YES,YES,NO,YES,2015-03-25,Not Available,,Proprietary
District of Columbia,24427,97071,4130 HUNT PLACE NE,2015-10-20,YES,YES,NO,YES,2015-10-20,Not Available,,Proprietary
District of Columbia,24177,97072,1220 12TH STREET SE #G35,2016-07-01,YES,YES,YES,YES,2016-07-01,Not Available,,Proprietary
District of Columbia,24252,97000,4301 CONNECTICUT AVENUE 441,1996-07-01,YES,YES,YES,YES,1966-07-01,Same As Expected,3.0 - 4.0,Non - Profit Other
