state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Hawaii,37702,127003,1520 EAST MAIN STREET,1998-12-15,YES,YES,YES,YES,1968-12-15,Same As Expected,3.0 - 4.0,Non - Profit Private
Hawaii,37452,127002,45 MOHOULI STREET SUITE 201,1999-12-01,YES,YES,YES,YES,1969-12-01,Same As Expected,3.0 - 4.0,Government - State/ County
Hawaii,37552,127011,1210 ARTESIAN STREET SUITE 201,2005-11-19,YES,YES,YES,YES,1985-11-19,Same As Expected,3.0 - 4.0,Proprietary
Hawaii,37502,127013,680 IWILEI ROAD SUITE 660,2006-03-25,YES,YES,YES,YES,1986-03-25,Same As Expected,3.0 - 4.0,Non - Profit Private
Hawaii,37627,127017,46 001 KAMEHAMEHA HIGHWAY SUITE 212,2008-08-02,YES,YES,YES,YES,1988-08-02,Same As Expected,3.0 - 4.0,Non - Profit Religious
Hawaii,37602,127019,67-1125 MAMALAHOA HIGHWAY,2005-05-22,YES,YES,YES,YES,1990-05-22,Same As Expected,3.0 - 4.0,Non - Profit Private
Hawaii,37527,127022,2828 PA'A STREET #2048,2008-07-08,YES,YES,YES,YES,1993-07-08,Not Available,,Non - Profit Private
Hawaii,37702,127023,55 MAUI LANI PARKWAY,2008-10-11,YES,YES,YES,YES,1993-10-11,Not Available,,Non - Profit Private
Hawaii,37527,127025,3375 KOAPAKA STREET SUITE I-570,2009-08-30,YES,YES,YES,YES,1994-08-30,Better Than Expected,4.5 - 5.0,Proprietary
Hawaii,37652,127027,81-990 HALEKII ST STE 100,2011-10-17,YES,YES,YES,YES,1996-10-17,Same As Expected,3.0 - 4.0,Non - Profit Private
Hawaii,37577,127308,2-2488 B KAUMUALII HWY,2015-02-19,YES,YES,YES,YES,2013-02-19,Same As Expected,3.0 - 4.0,Proprietary
Hawaii,37702,127309,2200 MAIN STREET SUITE 660,2015-06-20,YES,YES,YES,YES,2013-06-20,Same As Expected,3.0 - 4.0,Proprietary
Hawaii,37477,127310,615 PIIKOI STREET SUITE 601,2016-01-29,YES,YES,YES,YES,2014-01-29,Same As Expected,3.0 - 4.0,Proprietary
Hawaii,37677,127311,3-3367 KUHIO HWY,2015-05-29,YES,YES,NO,YES,2015-05-29,Not Available,,Proprietary
Hawaii,37452,127312,68 KEKUANAOA AVE SUITE 350,2015-10-15,YES,YES,YES,YES,2015-10-15,Not Available,,Proprietary
Hawaii,37502,127313,560 NORTH NIMITZ HWY SUITE 114B,2015-10-22,YES,YES,YES,YES,2015-10-22,Not Available,,Proprietary
