state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Kentucky,54327,187013,200 CLINIC DRIVE,1997-07-05,YES,YES,NO,YES,1967-07-05,Same As Expected,3.0 - 4.0,Non - Profit Private
Kentucky,54952,187015,260 HOSPITAL DRIVE,1997-11-10,YES,YES,NO,YES,1967-11-10,Same As Expected,3.0 - 4.0,Non - Profit Private
Kentucky,55052,187014,240 HOSPITAL ROAD,1997-12-07,YES,YES,YES,YES,1967-12-07,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Kentucky,54602,187018,100 JOHN SUTHERLAND DRIVE SUITE 1,1999-01-03,YES,YES,YES,YES,1969-01-03,Same As Expected,3.0 - 4.0,Proprietary
Kentucky,54477,187021,1916 CUMBERLAND AVENUE,1999-01-09,YES,YES,YES,YES,1969-01-09,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Kentucky,53827,187023,955 HIGHWAY 30 WEST,1999-02-14,YES,YES,NO,YES,1969-02-14,Same As Expected,3.0 - 4.0,Government - State/ County
Kentucky,55077,187026,368 PENNY LANE,1999-02-19,YES,YES,YES,YES,1969-02-19,Same As Expected,3.0 - 4.0,Government - State/ County
Kentucky,53677,187025,81 BALL PARK ROAD,1999-02-21,YES,YES,YES,YES,1969-02-21,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Kentucky,53727,187027,100 AIRPORT GARDENS ROAD,1999-03-20,YES,YES,NO,YES,1969-03-20,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Kentucky,53127,187029,261 HOSPITAL DRIVE,1999-05-02,YES,YES,YES,YES,1969-05-02,Same As Expected,3.0 - 4.0,Government - State/ County
Kentucky,54802,187033,850 RIVERVIEW AVENUE,1999-08-01,YES,YES,YES,YES,1969-08-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Kentucky,54502,187037,222 MEDICAL CIRCLE DRIVE,2001-02-02,YES,YES,YES,YES,1971-02-02,Same As Expected,3.0 - 4.0,Non - Profit Religious
Kentucky,53327,187040,131 DANIEL DRIVE,2001-05-10,YES,YES,YES,YES,1971-05-10,Same As Expected,3.0 - 4.0,Non - Profit Other
Kentucky,54452,187043,9879 KY ROUTE 122,2003-01-01,YES,YES,NO,YES,1973-01-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Kentucky,54427,187045,1 WEST MCDONALD PARKWAY,2003-01-15,YES,YES,YES,YES,1973-01-15,Same As Expected,3.0 - 4.0,Non - Profit Private
Kentucky,53202,187044,1953 SCOTTSVILLE ROAD SUITE 200,2003-02-01,YES,YES,YES,YES,1973-02-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Kentucky,53102,187047,2025 CARTER AVENUE,2003-03-19,YES,YES,YES,YES,1973-03-19,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Kentucky,53802,187050,78 MAPLE STREET,2003-07-01,YES,YES,NO,YES,1973-07-01,Same As Expected,3.0 - 4.0,Government - Local
Kentucky,54352,187049,470 MANCHESTER SQUARE SUITE 212,2003-08-01,YES,YES,YES,YES,1973-08-01,Worse Than Expected,1.0 - 2.5,Government - Local
Kentucky,54352,187052,250 RICHMOND ROAD,2004-06-01,YES,YES,NO,YES,1974-06-01,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Kentucky,54652,187053,1600 BRECKINRIDGE STREET,2004-07-01,YES,YES,YES,YES,1974-07-01,Worse Than Expected,1.0 - 2.5,Government - State/ County
Kentucky,53302,187055,364 ODDVILLE AVENUE,2004-10-01,YES,YES,YES,YES,1974-10-01,Same As Expected,3.0 - 4.0,Government - State/ County
Kentucky,54752,187054,630 JAMES TRIMBLE BOULEVARD,2004-12-04,YES,YES,YES,YES,1974-12-04,Same As Expected,3.0 - 4.0,Government - State/ County
Kentucky,53577,187062,1301 NORTH RACE STREET,2005-06-25,YES,YES,YES,YES,1975-06-25,Same As Expected,3.0 - 4.0,Non - Profit Private
Kentucky,55027,187064,518 MAIN STREET SUITE 1,2005-07-01,YES,YES,YES,YES,1975-07-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Kentucky,53452,187058,2114 CHAMBER CENTER DRIVE,2005-07-14,YES,YES,YES,YES,1975-07-14,Worse Than Expected,1.0 - 2.5,Proprietary
Kentucky,54252,187059,13101 MAGISTERIAL DRIVE SUITE 101,2005-07-18,YES,YES,YES,YES,1975-07-18,Same As Expected,3.0 - 4.0,Proprietary
Kentucky,54877,187065,216 BOGGS LANE,2006-04-23,YES,YES,YES,YES,1976-04-23,Same As Expected,3.0 - 4.0,Government - State/ County
Kentucky,54702,187070,510 SOUTH MAIN STREET,2006-07-01,YES,YES,NO,YES,1976-07-01,Same As Expected,3.0 - 4.0,Government - State/ County
Kentucky,54027,187041,740 EAST LAUREL ROAD,2006-12-20,YES,YES,YES,YES,1976-12-20,Same As Expected,3.0 - 4.0,Non - Profit Religious
Kentucky,54927,187022,230 TOWER CIRCLE,2007-03-15,YES,YES,YES,YES,1977-03-15,Same As Expected,3.0 - 4.0,Proprietary
