state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Massachusetts,57827,227104,10 EMORY STREET,2001-05-01,YES,YES,YES,YES,1971-05-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Massachusetts,60702,227023,ONE ARSENAL MARKETPLACE,2001-07-01,YES,YES,YES,YES,1971-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Massachusetts,58077,227198,415 COLUMBIA ROAD MAIL STOP 415-1,2006-02-03,YES,YES,YES,YES,1976-02-03,Same As Expected,3.0 - 4.0,Non - Profit Private
Massachusetts,60902,227203,30 PERWAL STREET,2001-04-09,YES,YES,YES,YES,1981-04-09,Same As Expected,3.0 - 4.0,Proprietary
Massachusetts,58977,227206,360 MERRIMACK STREET BUILD 9,2001-09-08,YES,YES,YES,YES,1981-09-08,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Massachusetts,60677,227207,281 WINTER STREET SUITE 240,2001-10-08,YES,YES,YES,YES,1981-10-08,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Massachusetts,58177,227211,529 MAIN STREET SUITE 101,2002-04-08,YES,YES,YES,YES,1982-04-08,Same As Expected,3.0 - 4.0,Proprietary
Massachusetts,60502,227215,125 COUNTY STREET,2002-08-18,YES,YES,YES,YES,1982-08-18,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Massachusetts,60152,227302,512 MAIN STREET SUITE 211,2002-08-18,YES,YES,YES,YES,1982-08-18,Same As Expected,3.0 - 4.0,Proprietary
Massachusetts,60777,227218,150 FRONT STREET,2003-01-13,YES,YES,NO,YES,1983-01-13,Not Available,,Proprietary
Massachusetts,59877,227219,2 SOUTH STREET SUITE 180 BERKSHIRE COMMONS,2003-03-01,YES,YES,YES,YES,1983-03-01,Same As Expected,3.0 - 4.0,Proprietary
Massachusetts,60327,227224,2069 ROOSEVELT AVENUE,2003-08-15,YES,YES,YES,YES,1983-08-15,Not Available,,Proprietary
Massachusetts,60352,227229,110 FORT PLEASANT AVENUE,2004-03-21,YES,YES,YES,YES,1984-03-21,Not Available,,Proprietary
Massachusetts,59802,227241,120 LONGWATER CIRCLE,2005-07-31,YES,YES,YES,YES,1985-07-31,Better Than Expected,4.5 - 5.0,Non - Profit Private
Massachusetts,60852,227247,77 MILL STREET SUITE 207,2007-10-20,YES,YES,YES,YES,1987-10-20,Same As Expected,3.0 - 4.0,Non - Profit Private
Massachusetts,59902,227251,225 WATER STREET SUITE A150,2009-11-08,YES,YES,YES,YES,1989-11-08,Not Available,,Proprietary
Massachusetts,58627,227260,275 MARTINE STREET SUITE 104,2006-03-08,YES,YES,YES,YES,1991-03-08,Worse Than Expected,1.0 - 2.5,Proprietary
Massachusetts,59177,227263,210 MARKET STREET,2006-10-24,YES,YES,YES,YES,1991-10-24,Same As Expected,3.0 - 4.0,Non - Profit Private
Massachusetts,59602,227269,29 CRAFTS STREET SUITE 330,2007-08-11,YES,YES,YES,YES,1992-08-11,Same As Expected,3.0 - 4.0,Proprietary
Massachusetts,59052,227281,594 MARRETT ROAD #11,2008-08-03,YES,YES,NO,YES,1993-08-03,Not Available,,Proprietary
Massachusetts,58827,227283,145 WARD HILL,2008-09-07,YES,YES,YES,YES,1993-09-07,Same As Expected,3.0 - 4.0,Proprietary
