state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Michigan,68002,237052,630 PROGRESS STREET,1998-05-01,YES,YES,NO,YES,1968-05-01,Same As Expected,3.0 - 4.0,Government - Local
Michigan,66552,237059,1430 MILITARY SUITE A,2001-03-01,YES,YES,YES,YES,1971-03-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Michigan,63652,237051,300 EAST CHICAGO STREET,2002-01-01,YES,YES,YES,YES,1972-01-01,Worse Than Expected,1.0 - 2.5,Government - Local
Michigan,68152,237069,3075 CLARK ROAD SUITE 200,2007-09-21,YES,YES,YES,YES,1977-09-21,Worse Than Expected,1.0 - 2.5,Government - Combination Government & Voluntary
Michigan,64752,237007,1401 CEDAR NE,2008-01-01,YES,YES,YES,YES,1978-01-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Michigan,67677,237075,2075 WEST BIG BEAVER ROAD SUITE 602,2009-02-05,YES,YES,YES,YES,1979-02-05,Same As Expected,3.0 - 4.0,Non - Profit Private
Michigan,63352,237074,429 N STATE STREET SUITE 206,2009-02-21,YES,YES,NO,NO,1979-02-21,Same As Expected,3.0 - 4.0,Proprietary
Michigan,64702,237073,5445 ALI DRIVE DEPT 200,2009-05-18,YES,YES,YES,YES,1979-05-18,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Michigan,63602,237081,37650 GARFIELD,2000-08-15,YES,YES,YES,YES,1980-08-15,Same As Expected,3.0 - 4.0,Non - Profit Religious
Michigan,65427,237085,5148 LOVERS LANE STE 210,2001-11-10,YES,YES,YES,YES,1981-11-10,Same As Expected,3.0 - 4.0,Proprietary
Michigan,63877,237087,ONE FORD PLACE SUITE 4C,2001-11-12,YES,YES,YES,YES,1981-11-12,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Michigan,67677,237094,3290 WEST BIG BEAVER ROAD SUITE 260,2002-04-23,YES,YES,YES,YES,1982-04-23,Not Available,,Proprietary
Michigan,65902,237093,580 W COLLEGE AVE,2002-05-04,YES,YES,YES,YES,1982-05-04,Better Than Expected,4.5 - 5.0,Proprietary
Michigan,66477,237101,1975 W M-21 SUITE 102,2002-07-29,YES,YES,YES,YES,1982-07-29,Same As Expected,3.0 - 4.0,Non - Profit Other
Michigan,65277,237104,N10567 GRAND VIEW LANE,2002-11-03,YES,YES,YES,YES,1982-11-03,Better Than Expected,4.5 - 5.0,Non - Profit Private
Michigan,65827,237112,1410 E 14 MILE RD,2003-03-09,YES,YES,YES,YES,1983-03-09,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Michigan,63527,237122,7736 ORTONVILLE ROAD SUITE B,2003-03-18,YES,YES,YES,YES,1983-03-18,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Michigan,65752,237125,17197 NORTH LAUREL PARK DRIVE SUITE 555,2003-05-19,YES,YES,YES,YES,1983-05-19,Worse Than Expected,1.0 - 2.5,Proprietary
Michigan,64727,237126,1061 S BEACON BLVD SUITE 100,2003-07-19,YES,YES,YES,YES,1983-07-19,Same As Expected,3.0 - 4.0,Non - Profit Private
Michigan,62852,237124,2251 NORTH SQUIRREL ROAD SUITE 320,2003-08-11,YES,YES,YES,YES,1983-08-11,Worse Than Expected,1.0 - 2.5,Proprietary
Michigan,64527,237136,4458 OAKBRIDGE DRIVE SUITE B,2003-09-14,YES,YES,YES,YES,1983-09-14,Same As Expected,3.0 - 4.0,Proprietary
Michigan,63327,237144,2200 CANTON CENTER RD,2003-10-17,YES,YES,YES,YES,1983-10-17,Same As Expected,3.0 - 4.0,Proprietary
Michigan,67502,237151,716 GERMAN,2004-03-02,YES,YES,YES,YES,1984-03-02,Same As Expected,3.0 - 4.0,Non - Profit Religious
Michigan,67477,237145,600 S LAKEVIEW STE B01,2004-05-14,YES,YES,YES,YES,1984-05-14,Same As Expected,3.0 - 4.0,Government - Local
Michigan,63452,237160,761 LAFAYETTE AVE,2004-07-10,YES,YES,YES,YES,1984-07-10,Same As Expected,3.0 - 4.0,Non - Profit Other
Michigan,65802,237166,ONE NORTH ATKINSON DRIVE SUITE 202,2004-09-17,YES,YES,YES,YES,1984-09-17,Same As Expected,3.0 - 4.0,Non - Profit Private
Michigan,62902,237162,1426 STRAITS DRIVE,2004-09-19,YES,YES,NO,YES,1984-09-19,Same As Expected,3.0 - 4.0,Proprietary
Michigan,62952,237163,2550 MEADOWBROOK ROAD SUITE 110,2004-10-04,YES,YES,YES,YES,1984-10-04,Same As Expected,3.0 - 4.0,Non - Profit Other
Michigan,65627,237164,3315 E MICHIGAN AVENUE SUITE 4,2004-10-04,YES,YES,YES,YES,1984-10-04,Same As Expected,3.0 - 4.0,Non - Profit Other
Michigan,62827,237157,1601 BRIARWOOD CIRCLE SUITE 475,2004-10-25,YES,YES,YES,YES,1984-10-25,Same As Expected,3.0 - 4.0,Non - Profit Religious
Michigan,62927,237165,2110 16TH STREET 7,2004-11-01,YES,YES,YES,YES,1984-11-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Michigan,63377,237161,406 EAST ELM STREET,2004-11-13,YES,YES,YES,YES,1984-11-13,Same As Expected,3.0 - 4.0,Non - Profit Private
Michigan,64527,237169,2367 S LINDEN ROAD SUITE B,2005-03-14,YES,YES,YES,YES,1985-03-14,Not Available,,Proprietary
Michigan,67427,237172,12900 HALL ROAD SUITE 200,2005-04-02,YES,YES,YES,YES,1985-04-02,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Michigan,67252,237180,20245 WEST 12 MILE ROAD SUITE 100,2005-06-14,YES,YES,YES,YES,1985-06-14,Same As Expected,3.0 - 4.0,Proprietary
Michigan,65852,237182,226 SOUTH CEDAR STREET,2005-10-08,YES,YES,YES,YES,1985-10-08,Same As Expected,3.0 - 4.0,Proprietary
Michigan,66902,237186,3375 CARVER,2006-01-22,YES,YES,YES,YES,1986-01-22,Same As Expected,3.0 - 4.0,Proprietary
Michigan,65302,237187,510 MATHER AVE,2006-03-20,YES,YES,YES,YES,1986-03-20,Same As Expected,3.0 - 4.0,Proprietary
Michigan,67727,237192,1111 W LONG LAKE RD SUITE 102,2006-04-17,YES,YES,YES,YES,1986-04-17,Same As Expected,3.0 - 4.0,Non - Profit Religious
