state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Minnesota,69127,247040,3900 LONDON ROAD,1997-06-07,YES,YES,YES,YES,1967-06-07,Same As Expected,3.0 - 4.0,Non - Profit Other
Minnesota,71727,247047,BOX 519 400 MICHIGAN AVENUE,1997-12-04,YES,YES,NO,YES,1967-12-04,Not Available,,Government - State/ County
Minnesota,70677,247049,916  4TH AVENUE SW,1998-07-01,YES,YES,YES,YES,1968-07-01,Same As Expected,3.0 - 4.0,Government - Local
Minnesota,71552,247055,318 NORTH KNIGHT AVENUE,1999-11-20,YES,YES,YES,YES,1969-11-20,Not Available,,Government - State/ County
Minnesota,69827,247056,88 SOUTH PARK AVENUE,1999-12-22,YES,YES,YES,YES,1969-12-22,Not Available,,Government - State/ County
Minnesota,68377,247057,616 AMERICA AVENUE NORTHWEST SUITE 340,2000-01-13,YES,NO,NO,YES,1970-01-13,Not Available,,Government - Local
Minnesota,69902,247061,212 2ND AVENUE SOUTH,2000-12-08,YES,YES,YES,YES,1970-12-08,Not Available,,Government - State/ County
Minnesota,70402,247063,1117 CENTER STREET,2001-05-26,YES,NO,NO,YES,1971-05-26,Not Available,,Government - State/ County
Minnesota,68702,247074,611 VISTA DRIVE SUITE 1,2005-12-23,YES,YES,NO,YES,1975-12-23,Not Available,,Government - State/ County
Minnesota,70077,247078,2450  26TH AVENUE SOUTH,2006-11-26,YES,YES,YES,YES,1976-11-26,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Minnesota,69777,247079,402 WHITE STREET STE 201,2007-01-04,YES,YES,YES,YES,1977-01-04,Not Available,,Government - Local
Minnesota,70502,247080,105 SOUTH 5TH STREET SUITE 119H,2007-05-06,YES,YES,NO,YES,1977-05-06,Not Available,,Government - State/ County
Minnesota,70977,247082,2685 LONG LAKE ROAD SUITE 105,2007-09-01,YES,YES,YES,YES,1977-09-01,Same As Expected,3.0 - 4.0,Proprietary
Minnesota,68327,247083,212 MAIN AVENUE NORTH,2008-01-01,YES,YES,YES,YES,1978-01-01,Same As Expected,3.0 - 4.0,Government - State/ County
Minnesota,70952,247087,1910 WEST COUNTY ROAD D,2008-03-15,YES,YES,YES,YES,1978-03-15,Same As Expected,3.0 - 4.0,Non - Profit Religious
Minnesota,68927,247089,199 COON RAPIDS BOULEVARD STE 111,2008-09-08,YES,YES,YES,YES,1978-09-08,Not Available,,Proprietary
Minnesota,70977,247093,2778 CLEVELAND AVENUE NORTH,2009-03-09,YES,YES,YES,YES,1979-03-09,Same As Expected,3.0 - 4.0,Proprietary
Minnesota,70927,247094,715 DELMORE DRIVE,2009-04-19,YES,YES,YES,YES,1979-04-19,Not Available,,Non - Profit Private
Minnesota,71777,247096,26246 CRANE ROAD,2000-01-14,YES,YES,YES,YES,1980-01-14,Not Available,,Government - Local
Minnesota,69152,247098,220 NORTH SIXTH AVENUE EAST,2000-05-22,YES,YES,YES,YES,1980-05-22,Same As Expected,3.0 - 4.0,Non - Profit Private
Minnesota,69652,247103,1010 SOUTH BIRCH,2001-04-23,YES,YES,YES,YES,1981-04-23,Not Available,,Non - Profit Private
Minnesota,70977,247104,2680 ARTHUR STREET,2001-07-15,YES,YES,YES,YES,1981-07-15,Worse Than Expected,1.0 - 2.5,Proprietary
Minnesota,70027,247110,2525 CHICAGO AVENUE SOUTH,2001-08-28,YES,NO,NO,NO,1981-08-28,Not Available,,Non - Profit Other
Minnesota,70202,247113,3638 CENTRAL AVENUE NE,2001-11-09,YES,YES,NO,YES,1981-11-09,Not Available,,Proprietary
Minnesota,69952,247111,900 SECOND AVENUE,2002-02-25,YES,YES,YES,YES,1982-02-25,Not Available,,Non - Profit Religious
Minnesota,71052,247117,2035 15TH STREET NORTH  SUITE 110,2002-04-16,YES,YES,YES,YES,1982-04-16,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Minnesota,69627,247120,345 TENTH AVENUE,2002-11-17,YES,YES,YES,YES,1982-11-17,Same As Expected,3.0 - 4.0,Government - Local
Minnesota,71477,247124,401 EAST PRAIRIE AVENUE,2002-12-28,YES,YES,YES,YES,1982-12-28,Same As Expected,3.0 - 4.0,Non - Profit Other
Minnesota,69752,247127,6205 CROSSMAN LANE,2003-01-27,YES,YES,YES,YES,1983-01-27,Same As Expected,3.0 - 4.0,Proprietary
Minnesota,70352,247126,905 EAST FOREST AVENUE SUITE 127,2003-02-24,YES,YES,YES,NO,1983-02-24,Not Available,,Government - State/ County
Minnesota,71277,247137,520 FIRST STREET NORTHEAST,2003-05-05,YES,YES,YES,YES,1983-05-05,Same As Expected,3.0 - 4.0,Non - Profit Other
Minnesota,70377,247133,22 CENTRAL AVE E PO BOX 414,2003-06-30,YES,YES,YES,YES,1983-06-30,Same As Expected,3.0 - 4.0,Proprietary
Minnesota,70977,247145,1970 OAKCREST AVENUE,2003-09-23,YES,YES,YES,YES,1983-09-23,Same As Expected,3.0 - 4.0,Proprietary
Minnesota,70477,247138,1604 RIVERVIEW DRIVE,2003-10-17,YES,YES,YES,YES,1983-10-17,Same As Expected,3.0 - 4.0,Government - Local
Minnesota,71077,247151,6500 EXCELSIOR BOULEVARD,2003-12-01,YES,YES,YES,YES,1983-12-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Minnesota,68827,247152,1012 12TH AVENUE SUITE 201,2004-02-07,YES,YES,YES,YES,1984-02-07,Not Available,,Government - Local
Minnesota,69677,247158,503 EAST LINCOLN STREET,2004-03-12,YES,YES,YES,YES,1984-03-12,Not Available,,Non - Profit Other
